Func,Iteration,Epoc,Loss,FWtime,BWtime
tanf,0,0,4.480328,0.140884,0.049673
tanf,1000,0,2.420576,48.446316,52.757118
tanf,2000,0,2.178669,98.765022,112.245575
tanf,3000,0,1.993424,147.676407,166.234894
tanf,4000,0,1.883433,197.176498,219.897049
tanf,5000,0,1.846596,247.636093,278.364990
tanf,6000,0,1.756241,295.729828,330.746552
tanf,7000,0,1.755865,344.877716,388.212860
tanf,8000,0,1.692137,393.802032,444.256561
tanf,9000,0,1.637852,441.921265,497.692383
tanf,10000,0,1.588440,489.657654,548.397827
tanf,11000,0,1.654300,538.542542,599.371338
tanf,12000,0,1.679794,588.617554,649.946045
tanf,13000,0,1.705478,638.773621,703.520081
tanf,14000,0,1.675539,688.941284,757.006226
tanf,15000,0,1.623837,739.100769,810.984375
tanf,16000,0,1.563140,789.328064,869.340088
tanf,17000,0,1.549734,839.469421,924.647766
tanf,18000,0,1.508648,889.558228,976.736877
tanf,19000,0,1.540083,939.717773,1028.863647
tanf,20000,0,1.563846,989.904724,1084.386475
tanf,21000,0,1.484812,1040.031494,1138.026001
tanf,22000,0,1.455003,1089.969604,1192.452393
tanf,23000,0,1.750206,1139.846802,1243.068604
tanf,24000,0,1.644335,1189.743652,1294.455811
tanf,25000,0,1.610511,1239.627563,1346.366089
tanf,26000,0,1.607641,1289.528076,1398.453857
tanf,27000,0,1.584721,1339.433960,1448.940063
tanf,28000,0,1.567697,1389.346680,1502.693604
tanf,29000,0,1.588914,1439.238281,1555.510498
tanf,30000,0,1.497942,1489.126587,1606.666626
tanf,31000,0,1.430725,1539.022217,1658.978638
tanf,32000,0,1.428342,1588.912476,1710.937012
tanf,33000,0,1.380275,1638.813721,1763.511841
tanf,34000,0,1.406423,1688.734253,1813.670898
tanf,35000,0,1.396910,1738.679199,1867.457642
tanf,36000,0,1.411068,1788.578247,1919.982056
tanf,37000,0,1.319766,1838.489502,1972.614014
tanf,38000,0,1.352414,1888.376953,2025.570801
tanf,39000,0,1.320557,1938.278931,2086.311035
tanf,40000,0,1.346588,1988.154907,2156.058594
tanf,41000,1,1.439623,2038.030029,2228.379883
tanf,42000,1,1.420910,2074.530029,2302.671875
tanf,43000,1,1.445267,2099.867920,2377.010498
tanf,44000,1,1.365138,2124.283936,2450.940674
tanf,45000,1,1.489151,2146.792236,2522.891357
tanf,46000,1,1.405804,2174.517578,2596.135254
tanf,47000,1,1.391595,2196.084473,2665.992188
tanf,48000,1,1.331355,2231.859619,2744.191162
tanf,49000,1,1.422563,2253.414307,2815.067139
tanf,50000,1,1.357026,2276.524902,2886.213379
tanf,51000,1,1.366953,2295.238037,2956.392090
tanf,52000,1,1.297004,2324.400635,3029.531006
tanf,53000,1,1.443792,2350.820312,3101.898926
tanf,54000,1,1.421856,2374.494385,3174.492920
tanf,55000,1,1.407184,2404.317627,3250.246826
tanf,56000,1,1.403063,2428.759766,3323.189697
tanf,57000,1,1.355500,2454.817383,3396.064941
tanf,58000,1,1.397993,2483.361816,3470.425293
tanf,59000,1,1.302865,2505.107666,3542.369873
tanf,60000,1,1.367437,2531.073486,3614.666504
tanf,61000,1,1.341125,2560.309814,3689.348145
tanf,62000,1,1.356114,2580.824951,3760.254150
tanf,63000,1,1.568297,2605.963623,3832.575684
tanf,64000,1,1.565159,2643.922119,3910.677246
tanf,65000,1,1.436299,2666.280762,3981.180664
tanf,66000,1,1.427615,2683.167725,4049.819824
tanf,67000,1,1.499268,2714.336914,4096.228027
tanf,68000,1,1.420953,2738.860596,4096.959473
tanf,69000,1,1.478249,2762.901123,4097.664062
tanf,70000,1,1.388174,2794.822510,4098.921387
tanf,71000,1,1.314858,2820.513428,4099.694336
tanf,72000,1,1.303142,2840.204346,4100.001953
tanf,73000,1,1.288545,2860.536133,4100.347168
tanf,74000,1,1.300105,2878.677734,4100.784180
tanf,75000,1,1.256928,2901.011963,4101.311523
tanf,76000,1,1.236787,2933.037354,4102.130371
tanf,77000,1,1.342027,2960.898682,4102.858398
tanf,78000,1,1.317308,2984.459229,4103.360352
tanf,79000,1,1.245049,3007.351807,4103.822266
tanf,80000,1,1.263082,3034.228516,4104.405762
tanf,81000,1,1.238377,3062.533691,4104.939453
tanf,82000,2,1.420254,3086.723145,4105.387207
tanf,83000,2,1.314431,3112.079346,4105.861816
tanf,84000,2,1.320192,3139.438721,4106.625977
tanf,85000,2,1.353101,3158.825928,4107.113281
tanf,86000,2,1.286004,3180.800537,4107.526855
tanf,87000,2,1.291372,3205.135498,4108.005371
tanf,88000,2,1.425928,3232.546387,4108.933105
tanf,89000,2,1.304504,3256.750977,4109.398438
tanf,90000,2,1.289489,3285.183838,4109.982910
tanf,91000,2,1.271801,3314.096680,4111.052246
tanf,92000,2,1.239765,3329.560303,4111.179688
tanf,93000,2,1.269896,3349.673340,4111.432129
tanf,94000,2,1.335130,3367.042725,4111.650391
tanf,95000,2,1.258050,3389.810059,4112.266113
tanf,96000,2,1.278100,3418.920898,4113.049316
tanf,97000,2,1.335602,3447.671387,4114.983398
tanf,98000,2,1.276339,3485.142822,4122.043457
tanf,99000,2,1.322480,3507.637451,4123.925781
