Func,Iteration,Epoc,Loss,FWtime,BWtime
tanf,0,0,4.576674,0.185994,0.057276
tanf,1000,0,2.436376,62.381351,54.691051
tanf,2000,0,2.190412,123.533653,108.204636
tanf,3000,0,2.002879,183.959930,161.373154
tanf,4000,0,1.888769,244.377380,215.051178
tanf,5000,0,1.859022,304.192749,268.780945
tanf,6000,0,1.760324,363.515167,321.387054
tanf,7000,0,1.760054,422.659790,372.935974
tanf,8000,0,1.704403,481.804474,423.767395
tanf,9000,0,1.641560,543.294495,475.182983
tanf,10000,0,1.590654,606.705688,525.371582
tanf,11000,0,1.650412,670.932800,574.229248
tanf,12000,0,1.686349,737.202881,623.082458
tanf,13000,0,1.715016,803.656738,671.944641
tanf,14000,0,1.671695,867.535461,720.795898
tanf,15000,0,1.637806,932.922302,769.661072
tanf,16000,0,1.570508,998.377930,818.513672
tanf,17000,0,1.561137,1054.156860,867.367249
tanf,18000,0,1.514298,1103.989746,916.216064
tanf,19000,0,1.542360,1153.820190,965.057312
tanf,20000,0,1.558962,1203.625854,1013.886353
tanf,21000,0,1.492255,1253.430786,1062.714600
tanf,22000,0,1.464345,1303.236206,1111.542725
tanf,23000,0,1.751205,1353.041260,1160.370850
tanf,24000,0,1.652287,1402.846558,1209.198975
tanf,25000,0,1.612063,1452.658569,1258.028442
tanf,26000,0,1.604993,1502.481201,1306.858154
tanf,27000,0,1.589941,1552.323730,1355.689697
tanf,28000,0,1.586900,1602.185791,1404.520264
tanf,29000,0,1.596330,1652.016602,1453.351318
tanf,30000,0,1.506564,1701.837646,1502.184448
tanf,31000,0,1.434824,1751.671387,1551.014404
tanf,32000,0,1.433717,1801.515381,1599.843506
tanf,33000,0,1.386737,1851.349243,1648.673462
tanf,34000,0,1.409896,1901.195801,1697.503174
tanf,35000,0,1.396448,1951.053589,1746.332031
tanf,36000,0,1.416551,2000.890503,1795.160889
tanf,37000,0,1.323447,2053.429443,1843.990356
tanf,38000,0,1.357764,2153.038818,1892.819580
tanf,39000,0,1.317431,2252.648193,1941.650635
tanf,40000,0,1.348549,2352.257568,1990.480103
tanf,41000,1,1.439789,2451.798584,2039.276611
tanf,42000,1,1.427258,2551.407959,2108.580322
tanf,43000,1,1.444726,2651.017334,2182.284180
tanf,44000,1,1.376041,2750.626709,2255.992920
tanf,45000,1,1.492454,2850.236084,2329.770508
tanf,46000,1,1.410827,2949.845459,2403.520264
tanf,47000,1,1.405318,3049.454834,2477.291504
tanf,48000,1,1.343509,3149.064209,2551.075684
tanf,49000,1,1.426115,3248.673584,2624.805176
tanf,50000,1,1.353642,3348.282959,2698.545410
tanf,51000,1,1.372334,3447.892334,2772.182373
tanf,52000,1,1.299153,3547.501709,2845.812500
tanf,53000,1,1.455231,3647.111084,2919.444336
tanf,54000,1,1.435290,3746.720459,2993.087646
tanf,55000,1,1.429445,3846.329834,3066.812744
tanf,56000,1,1.412654,3945.939209,3140.734375
tanf,57000,1,1.362754,4045.548584,3214.469482
tanf,58000,1,1.396752,4096.000000,3288.189209
tanf,59000,1,1.299448,4096.000000,3361.956055
tanf,60000,1,1.373391,4096.000000,3435.664307
tanf,61000,1,1.337847,4096.000000,3509.539307
tanf,62000,1,1.360280,4096.000000,3585.020020
tanf,63000,1,1.579232,4096.000977,3659.127441
tanf,64000,1,1.567756,4096.000977,3732.750488
tanf,65000,1,1.437862,4096.000977,3806.382812
tanf,66000,1,1.436325,4096.000977,3880.029297
tanf,67000,1,1.496297,4096.000977,3953.679932
tanf,68000,1,1.432342,4096.000977,4027.355225
tanf,69000,1,1.485184,4096.001465,4096.000000
tanf,70000,1,1.383026,4096.001465,4096.000488
tanf,71000,1,1.323601,4096.001465,4096.000488
tanf,72000,1,1.308599,4096.002441,4096.000977
tanf,73000,1,1.286607,4096.003418,4096.000977
tanf,74000,1,1.303782,4096.003418,4096.000977
tanf,75000,1,1.256137,4096.003418,4096.000977
tanf,76000,1,1.239027,4096.004395,4096.000977
tanf,77000,1,1.348697,4096.004883,4096.000977
tanf,78000,1,1.326761,4096.004883,4096.001465
tanf,79000,1,1.241509,4096.004883,4096.001465
tanf,80000,1,1.255939,4096.004883,4096.001465
tanf,81000,1,1.241552,4096.004883,4096.001465
tanf,82000,2,1.430822,4096.005371,4096.001465
tanf,83000,2,1.315806,4096.005371,4096.001465
tanf,84000,2,1.323863,4096.005371,4096.001465
tanf,85000,2,1.351438,4096.005371,4096.001465
tanf,86000,2,1.288728,4096.006348,4096.001465
tanf,87000,2,1.294679,4096.006348,4096.001465
tanf,88000,2,1.416838,4096.006348,4096.001465
tanf,89000,2,1.302963,4096.006348,4096.001465
tanf,90000,2,1.289716,4096.006348,4096.001465
tanf,91000,2,1.277854,4096.006348,4096.001465
tanf,92000,2,1.241338,4096.006348,4096.001465
tanf,93000,2,1.268659,4096.006836,4096.001465
tanf,94000,2,1.346580,4096.006836,4096.001465
tanf,95000,2,1.260281,4096.007324,4096.001465
tanf,96000,2,1.293129,4096.007324,4096.001465
tanf,97000,2,1.341787,4096.007324,4096.001465
tanf,98000,2,1.279975,4096.007324,4096.001465
tanf,99000,2,1.325462,4096.007324,4096.001465
tanf,100000,2,1.284639,4096.007812,4096.001465
tanf,101000,2,1.273929,4096.008301,4096.001465
