Func,Iteration,Epoc,Loss,FWtime,BWtime
tanf,0,0,4.450756,0.154007,0.055850
tanf,1000,0,2.410741,52.517631,58.288919
tanf,2000,0,2.179300,103.735884,114.151295
tanf,3000,0,1.993114,154.441496,169.006325
tanf,4000,0,1.880463,205.266462,223.545273
tanf,5000,0,1.847761,256.312197,278.284662
tanf,6000,0,1.754903,307.788093,334.609092
tanf,7000,0,1.761122,358.489952,389.366278
tanf,8000,0,1.703571,409.351510,444.284132
tanf,9000,0,1.635487,459.956989,498.845201
tanf,10000,0,1.594726,510.449153,553.315948
tanf,11000,0,1.654688,561.029498,607.794251
tanf,12000,0,1.686014,612.000478,662.817872
tanf,13000,0,1.706798,662.718249,717.765942
tanf,14000,0,1.680490,713.395604,772.613521
tanf,15000,0,1.631488,764.389478,829.152842
tanf,16000,0,1.569088,816.186249,887.545631
tanf,17000,0,1.562518,867.354401,944.983200
tanf,18000,0,1.513915,917.931650,1001.611304
tanf,19000,0,1.535981,968.058016,1057.286033
tanf,20000,0,1.554402,1025.303590,1125.584581
tanf,21000,0,1.479447,1080.683974,1192.749446
tanf,22000,0,1.458366,1133.108152,1254.444626
tanf,23000,0,1.754047,1184.085568,1313.032951
tanf,24000,0,1.647697,1235.190642,1371.226434
tanf,25000,0,1.617365,1285.620351,1428.052022
tanf,26000,0,1.603712,1336.118423,1484.977866
tanf,27000,0,1.589749,1386.562098,1541.394000
tanf,28000,0,1.574476,1437.567045,1598.729565
tanf,29000,0,1.593083,1488.204876,1655.610313
tanf,30000,0,1.507437,1539.030620,1712.406203
tanf,31000,0,1.447326,1589.684736,1769.292503
tanf,32000,0,1.434225,1640.326185,1826.332973
tanf,33000,0,1.379549,1691.038592,1883.618516
tanf,34000,0,1.419452,1741.472968,1940.057682
tanf,35000,0,1.403710,1791.603802,1995.740593
tanf,36000,0,1.406894,1841.937701,2051.648263
tanf,37000,0,1.325248,1892.355468,2107.399969
tanf,38000,0,1.351723,1942.802089,2163.241276
tanf,39000,0,1.328202,1993.221111,2219.338065
tanf,40000,0,1.351190,2043.928473,2276.334724
tanf,41000,1,1.447064,2095.520363,2334.462775
tanf,42000,1,1.426449,2147.031934,2392.864358
tanf,43000,1,1.441296,2198.719028,2451.174107
tanf,44000,1,1.378368,2250.305911,2509.433731
tanf,45000,1,1.488968,2302.042017,2567.814096
tanf,46000,1,1.420879,2353.775540,2625.907338
tanf,47000,1,1.398704,2405.047295,2683.513504
tanf,48000,1,1.343266,2456.557605,2741.565572
tanf,49000,1,1.428769,2508.039838,2799.211630
tanf,50000,1,1.360395,2559.610562,2857.684338
tanf,51000,1,1.378299,2611.279162,2916.012934
tanf,52000,1,1.299946,2662.931354,2974.220034
tanf,53000,1,1.458970,2714.226015,3031.928229
tanf,54000,1,1.427899,2765.827451,3090.242434
tanf,55000,1,1.411992,2817.064225,3147.901352
tanf,56000,1,1.420525,2868.170513,3204.770896
tanf,57000,1,1.354355,2919.637161,3262.397661
tanf,58000,1,1.394780,2970.942731,3319.870910
tanf,59000,1,1.308842,3022.361308,3377.491874
tanf,60000,1,1.380028,3073.101704,3434.170521
