Func,Iteration,Epoc,Loss,FWtime,BWtime
tanf,0,0,4.462491,0.142680,0.078204
tanf,1000,0,2.422172,54.077733,103.921006
tanf,2000,0,2.197517,111.097484,223.344760
tanf,3000,0,2.009135,168.757639,341.278309
tanf,4000,0,1.900584,226.286059,459.310617
tanf,5000,0,1.874547,283.785730,576.913343
tanf,6000,0,1.774539,341.381833,695.273431
tanf,7000,0,1.771804,398.589645,811.184259
tanf,8000,0,1.716390,454.194050,916.370136
tanf,9000,0,1.655868,509.686843,1021.136063
tanf,10000,0,1.612392,565.119641,1125.972464
tanf,11000,0,1.664181,620.555360,1230.652256
tanf,12000,1,1.596492,676.337463,1337.145290
tanf,13000,1,1.551217,732.046642,1442.453892
tanf,14000,1,1.582285,787.515297,1548.002681
tanf,15000,1,1.503247,843.090663,1653.140574
tanf,16000,1,1.513874,898.600620,1758.265533
tanf,17000,1,1.506236,954.245665,1863.347760
tanf,18000,1,1.512015,1009.741647,1968.742821
tanf,19000,1,1.461620,1065.604260,2075.009140
tanf,20000,1,1.470319,1121.092370,2180.164722
tanf,21000,1,1.566110,1176.725222,2285.156551
tanf,22000,1,1.381577,1232.205653,2390.563874
tanf,23000,1,1.466370,1287.712784,2495.941920
tanf,24000,2,1.435826,1343.316183,2600.963467
tanf,25000,2,1.418098,1398.763523,2706.249303
tanf,26000,2,1.440343,1454.658424,2811.922849
tanf,27000,2,1.427456,1510.355810,2917.158201
tanf,28000,2,1.459037,1565.764428,3022.471608
tanf,29000,2,1.414087,1621.226902,3127.403447
tanf,30000,2,1.432940,1676.554313,3232.249563
tanf,31000,2,1.386828,1731.929126,3337.213087
tanf,32000,2,1.370004,1787.351109,3442.269511
tanf,33000,2,1.439905,1842.697224,3546.691152
tanf,34000,2,1.336923,1898.138963,3651.524913
tanf,35000,2,1.446126,1953.817140,3756.674247
tanf,36000,3,1.330376,2009.440788,3861.856312
tanf,37000,3,1.346943,2064.942214,3967.023162
tanf,38000,3,1.375283,2120.400390,4071.748997
tanf,39000,3,1.327510,2175.976196,4177.001353
tanf,40000,3,1.465269,2231.774506,4282.515267
tanf,41000,3,1.333559,2287.422088,4387.683579
tanf,42000,3,1.393159,2343.258892,4493.437325
tanf,43000,3,1.308604,2398.808166,4598.428930
