Func,Iteration,Epoc,Loss,FWtime,BWtime
tanf,0,0,4.670219,0.180221,0.061859
tanf,1000,0,2.419672,60.562813,59.572194
tanf,2000,0,2.172539,121.100033,119.215218
tanf,3000,0,1.987293,182.347888,179.495234
tanf,4000,0,1.873306,243.793140,239.704087
tanf,5000,0,1.840902,305.277147,300.011038
tanf,6000,0,1.745469,366.745480,360.160812
tanf,7000,0,1.745772,428.216406,420.404725
tanf,8000,0,1.695524,489.673831,480.526366
tanf,9000,0,1.633310,551.235344,540.905461
tanf,10000,0,1.589967,612.688112,601.054308
tanf,11000,0,1.641326,674.157927,661.304173
tanf,12000,0,1.674937,735.636067,721.502341
tanf,13000,0,1.704519,796.663543,781.522066
tanf,14000,0,1.678506,857.152362,841.115221
tanf,15000,0,1.628660,918.533977,901.287397
tanf,16000,0,1.569271,980.013967,961.544569
tanf,17000,0,1.562065,1041.522706,1022.557891
tanf,18000,0,1.513795,1103.055871,1084.195828
tanf,19000,0,1.537223,1164.185582,1145.614056
tanf,20000,0,1.559863,1224.740547,1206.492737
tanf,21000,0,1.485705,1285.791538,1267.784105
tanf,22000,0,1.458973,1347.270328,1329.346363
tanf,23000,0,1.741587,1408.795827,1390.987405
tanf,24000,0,1.647729,1470.297684,1452.588385
tanf,25000,0,1.607280,1531.220067,1513.863848
tanf,26000,0,1.602752,1591.713014,1574.649689
tanf,27000,0,1.576119,1653.020275,1636.108112
tanf,28000,0,1.572260,1714.572653,1697.753787
tanf,29000,0,1.588761,1776.100029,1758.980944
tanf,30000,0,1.487410,1837.597733,1819.194502
tanf,31000,0,1.431138,1899.105142,1879.522949
tanf,32000,0,1.433781,1960.598991,1939.818469
tanf,33000,0,1.378109,2022.236590,2000.389250
tanf,34000,0,1.406340,2083.744995,2060.650702
tanf,35000,0,1.396565,2145.273806,2120.982666
tanf,36000,0,1.411780,2206.780900,2181.289909
tanf,37000,0,1.320980,2268.299681,2241.689549
tanf,38000,0,1.354871,2329.796876,2301.967865
tanf,39000,0,1.328062,2391.294906,2362.136930
tanf,40000,0,1.352103,2452.815242,2422.496260
tanf,41000,1,1.440220,2514.282054,2482.792187
tanf,42000,1,1.424256,2575.799590,2543.106032
tanf,43000,1,1.448743,2637.228997,2603.378009
tanf,44000,1,1.370557,2697.869935,2663.186092
tanf,45000,1,1.491490,2758.395911,2722.737790
tanf,46000,1,1.411880,2818.884684,2782.272730
tanf,47000,1,1.401719,2880.352158,2842.515069
tanf,48000,1,1.336281,2941.843272,2902.713336
tanf,49000,1,1.428540,3003.328397,2962.888926
tanf,50000,1,1.355449,3064.822558,3023.084268
tanf,51000,1,1.373364,3125.421159,3082.661614
tanf,52000,1,1.288688,3185.784216,3141.812005
tanf,53000,1,1.452353,3247.038264,3201.825459
tanf,54000,1,1.422911,3308.540341,3262.031728
tanf,55000,1,1.411467,3370.050653,3322.240281
tanf,56000,1,1.407241,3431.618059,3383.029332
tanf,57000,1,1.365122,3492.534953,3443.121845
tanf,58000,1,1.397442,3553.428950,3503.146834
tanf,59000,1,1.303934,3614.663240,3563.335705
tanf,60000,1,1.372767,3676.225751,3623.628747
tanf,61000,1,1.340821,3737.781618,3684.026488
tanf,62000,1,1.357424,3799.313690,3744.358466
tanf,63000,1,1.572175,3860.866839,3804.729700
tanf,64000,1,1.560857,3922.415633,3865.107414
tanf,65000,1,1.433767,3983.956487,3925.387170
tanf,66000,1,1.436984,4045.511246,3985.840011
tanf,67000,1,1.495169,4107.070711,4046.163248
tanf,68000,1,1.427889,4167.839341,4106.007024
tanf,69000,1,1.474319,4228.999012,4167.320363
tanf,70000,1,1.388247,4290.582230,4228.943419
tanf,71000,1,1.325215,4352.131277,4290.562406
tanf,72000,1,1.307870,4413.647725,4351.293171
tanf,73000,1,1.287791,4475.164855,4411.663554
tanf,74000,1,1.297891,4536.680475,4472.020816
tanf,75000,1,1.259735,4598.181896,4532.346608
tanf,76000,1,1.238659,4659.681380,4592.678334
tanf,77000,1,1.340332,4720.789139,4652.731618
tanf,78000,1,1.325691,4781.171627,4712.018274
tanf,79000,1,1.247077,4842.107657,4771.886245
tanf,80000,1,1.262881,4903.612551,4832.054806
tanf,81000,1,1.250660,4965.122565,4892.291923
tanf,82000,2,1.417067,5026.586122,4952.432069
tanf,83000,2,1.310762,5088.115276,5012.720546
tanf,84000,2,1.322726,5149.620460,5072.923443
tanf,85000,2,1.349865,5211.131256,5133.159471
tanf,86000,2,1.283870,5272.630983,5193.374116
tanf,87000,2,1.295703,5334.155189,5253.609921
tanf,88000,2,1.421010,5395.666219,5313.813035
tanf,89000,2,1.302053,5457.177225,5374.030890
tanf,90000,2,1.285992,5518.694610,5434.214771
tanf,91000,2,1.278900,5580.202254,5494.395923
tanf,92000,2,1.236770,5641.720259,5554.608010
tanf,93000,2,1.270358,5703.227390,5614.806066
tanf,94000,2,1.343823,5764.733207,5674.940369
tanf,95000,2,1.262743,5826.239931,5735.097941
tanf,96000,2,1.288575,5887.745109,5795.262660
tanf,97000,2,1.327778,5949.237139,5855.443484
tanf,98000,2,1.279616,6010.749744,5915.633285
tanf,99000,2,1.332902,6071.488910,5975.460578
tanf,100000,2,1.279173,6131.921464,6034.719900
tanf,101000,2,1.276325,6193.236891,6094.824589
tanf,102000,2,1.258144,6254.753203,6155.064809
tanf,103000,2,1.277049,6316.268047,6215.300633
tanf,104000,2,1.535554,6377.790571,6275.530819
tanf,105000,2,1.420578,6439.314299,6335.760115
tanf,106000,2,1.408302,6500.844182,6396.008784
tanf,107000,2,1.358353,6562.468466,6457.196388
tanf,108000,2,1.495820,6623.957934,6518.797209
tanf,109000,2,1.391884,6684.771646,6579.915666
tanf,110000,2,1.367446,6745.622572,6641.030589
tanf,111000,2,1.395697,6807.191778,6702.662751
tanf,112000,2,1.251783,6868.782838,6764.307938
tanf,113000,2,1.259566,6930.406847,6825.979241
tanf,114000,2,1.258497,6991.969473,6887.636468
tanf,115000,2,1.226191,7052.804939,6948.799179
tanf,116000,2,1.184248,7113.593216,7009.857308
tanf,117000,2,1.240865,7175.148765,7071.452847
tanf,118000,2,1.192853,7236.762834,7133.138314
tanf,119000,2,1.169007,7298.332455,7194.403476
tanf,120000,2,1.221623,7359.887368,7254.679661
tanf,121000,2,1.239002,7421.439073,7315.030225
tanf,122000,2,1.288014,7483.003079,7375.221599
tanf,123000,3,1.370312,7544.507957,7435.423862
tanf,124000,3,1.253889,7606.059840,7495.726353
tanf,125000,3,1.234447,7667.612388,7556.011980
tanf,126000,3,1.314074,7729.153426,7616.253587
tanf,127000,3,1.271028,7790.693651,7676.468530
tanf,128000,3,1.282852,7852.244727,7736.718236
tanf,129000,3,1.291945,7913.799282,7797.078785
tanf,130000,3,1.234830,7975.372758,7857.448096
tanf,131000,3,1.296026,8036.930997,7917.636155
tanf,132000,3,1.321607,8098.583187,7978.202750
tanf,133000,3,1.259261,8160.181505,8038.661336
tanf,134000,3,1.299537,8221.758295,8098.960287
tanf,135000,3,1.316980,8283.326594,8159.242519
tanf,136000,3,1.300494,8344.864244,8219.392566
tanf,137000,3,1.263282,8406.406182,8279.640956
tanf,138000,3,1.284561,8467.969097,8339.936217
tanf,139000,3,1.261811,8529.514269,8400.175797
tanf,140000,3,1.281442,8591.066210,8460.390429
tanf,141000,3,1.314829,8652.633714,8520.690806
tanf,142000,3,1.263605,8714.197826,8580.985122
tanf,143000,3,1.217356,8775.758406,8641.351389
tanf,144000,3,1.243438,8837.309822,8701.601308
tanf,145000,3,1.472512,8898.865423,8761.884411
tanf,146000,3,1.448597,8960.423960,8822.196316
tanf,147000,3,1.359227,9021.973799,8882.449126
tanf,148000,3,1.376250,9083.516548,8942.717184
tanf,149000,3,1.365760,9145.059615,9002.984079
tanf,150000,3,1.380595,9206.600423,9063.223759
tanf,151000,3,1.396892,9268.117926,9123.444592
tanf,152000,3,1.283666,9329.630667,9183.666213
tanf,153000,3,1.238591,9391.146731,9243.839300
tanf,154000,3,1.160559,9452.663190,9304.018634
tanf,155000,3,1.246595,9514.181058,9364.227133
tanf,156000,3,1.204668,9575.789300,9424.701467
tanf,157000,3,1.174047,9637.347517,9485.010246
tanf,158000,3,1.272126,9698.909708,9545.299305
tanf,159000,3,1.157772,9760.455768,9605.530721
tanf,160000,3,1.247838,9822.013801,9665.745322
tanf,161000,3,1.152462,9883.559512,9725.991380
tanf,162000,3,1.198028,9945.115464,9786.279991
tanf,163000,4,1.281843,10006.641292,9846.580107
tanf,164000,4,1.266255,10068.185203,9906.798762
tanf,165000,4,1.278255,10129.756275,9967.146923
tanf,166000,4,1.261329,10191.301787,10027.315657
tanf,167000,4,1.321509,10252.865300,10087.609466
tanf,168000,4,1.275374,10314.409666,10147.857299
tanf,169000,4,1.235881,10375.973260,10208.223165
tanf,170000,4,1.230894,10437.536729,10268.543362
tanf,171000,4,1.216676,10499.099521,10328.811555
tanf,172000,4,1.274893,10560.642653,10389.028713
tanf,173000,4,1.201790,10622.188563,10449.332446
tanf,174000,4,1.286574,10683.759600,10509.603361
tanf,175000,4,1.335280,10745.305424,10569.826593
tanf,176000,4,1.258904,10806.849329,10630.060638
tanf,177000,4,1.290123,10868.457043,10690.513756
tanf,178000,4,1.252479,10930.011443,10750.767994
tanf,179000,4,1.192378,10991.568648,10811.012409
tanf,180000,4,1.266534,11053.124091,10871.267269
tanf,181000,4,1.231775,11114.767642,10931.783844
tanf,182000,4,1.270398,11176.326556,10992.129131
tanf,183000,4,1.289663,11237.895332,11052.508845
tanf,184000,4,1.281417,11299.447907,11112.734569
tanf,185000,4,1.351176,11360.995885,11172.935894
tanf,186000,4,1.428802,11422.537539,11233.186024
