Func,Iteration,Epoc,Loss,FWtime,BWtime
tanh,0,0,4.595194,0.144999,0.051722
tanh,1000,0,2.421862,51.280281,58.313332
tanh,2000,0,2.159783,101.878281,113.586853
tanh,3000,0,1.973539,151.617630,165.927155
tanh,4000,0,1.850895,203.654434,224.997269
tanh,5000,0,1.821546,253.146774,276.487335
tanh,6000,0,1.734861,302.988098,331.882874
tanh,7000,0,1.731047,353.647583,389.019653
tanh,8000,0,1.675072,401.813873,441.071594
tanh,9000,0,1.615088,450.223358,493.569275
tanh,10000,0,1.568046,498.449341,544.776428
tanh,11000,0,1.640597,548.002380,594.786377
tanh,12000,0,1.667167,598.184021,645.830444
tanh,13000,0,1.690152,648.437927,699.013000
tanh,14000,0,1.659078,698.771973,754.421936
tanh,15000,0,1.614596,749.418274,812.613831
tanh,16000,0,1.550548,799.741455,866.393982
tanh,17000,0,1.545528,850.132263,920.342529
tanh,18000,0,1.501677,900.405701,972.609070
tanh,19000,0,1.522449,950.871277,1028.168823
tanh,20000,0,1.542088,1001.237854,1081.053223
tanh,21000,0,1.482995,1051.356445,1135.843018
tanh,22000,0,1.444983,1101.271240,1187.298706
tanh,23000,0,1.743078,1151.191895,1238.594360
tanh,24000,0,1.643300,1201.114380,1289.482544
tanh,25000,0,1.604227,1251.042114,1341.101440
tanh,26000,0,1.601940,1300.942749,1392.683960
tanh,27000,0,1.576770,1350.883057,1447.181152
tanh,28000,0,1.568398,1400.811401,1498.334717
tanh,29000,0,1.579868,1450.726318,1551.203979
tanh,30000,0,1.492879,1500.628662,1602.056641
tanh,31000,0,1.430668,1550.562988,1654.845825
tanh,32000,0,1.430421,1600.482422,1707.588989
tanh,33000,0,1.372016,1650.431030,1757.715698
tanh,34000,0,1.404946,1700.441772,1809.807495
tanh,35000,0,1.394125,1750.360107,1864.276855
tanh,36000,0,1.408628,1800.317627,1917.277588
tanh,37000,0,1.312810,1850.229736,1970.257812
tanh,38000,0,1.349527,1900.132568,2020.350342
tanh,39000,0,1.316491,1950.013550,2075.368652
tanh,40000,0,1.343161,1999.916138,2140.582031
tanh,41000,1,1.436801,2050.055664,2208.900635
tanh,42000,1,1.417354,2100.268799,2278.125244
tanh,43000,1,1.439001,2159.161621,2347.269287
tanh,44000,1,1.366570,2212.089355,2414.568848
tanh,45000,1,1.483988,2266.240479,2481.312988
tanh,46000,1,1.403401,2324.364258,2548.174805
tanh,47000,1,1.387228,2379.653320,2618.532471
tanh,48000,1,1.332104,2431.008057,2685.031982
tanh,49000,1,1.415149,2489.175049,2754.042480
tanh,50000,1,1.354525,2540.761475,2819.951172
tanh,51000,1,1.367028,2598.113281,2889.566162
tanh,52000,1,1.284593,2650.591064,2958.717041
tanh,53000,1,1.444257,2704.928467,3028.466309
tanh,54000,1,1.420970,2758.189941,3096.291504
tanh,55000,1,1.415648,2816.886230,3165.885010
tanh,56000,1,1.395083,2874.888672,3235.313232
tanh,57000,1,1.355997,2934.724121,3303.783691
tanh,58000,1,1.399179,2988.637695,3368.658691
tanh,59000,1,1.304125,3048.355469,3440.597168
tanh,60000,1,1.368046,3098.958984,3508.598145
tanh,61000,1,1.339735,3158.565918,3579.345703
tanh,62000,1,1.354229,3214.833496,3647.539062
tanh,63000,1,1.570643,3275.282227,3721.131104
tanh,64000,1,1.566757,3335.524414,3790.413330
tanh,65000,1,1.433518,3387.925781,3855.013916
tanh,66000,1,1.427278,3445.367432,3926.383301
tanh,67000,1,1.484342,3501.060303,3994.285400
tanh,68000,1,1.419203,3555.393555,4060.579346
tanh,69000,1,1.481579,3612.849365,4096.677246
tanh,70000,1,1.382027,3667.019043,4097.427734
tanh,71000,1,1.316746,3719.357178,4097.820801
tanh,72000,1,1.306922,3772.682617,4098.140625
tanh,73000,1,1.283237,3827.562256,4098.640625
tanh,74000,1,1.291733,3880.816895,4099.079102
tanh,75000,1,1.244906,3941.586182,4100.052734
tanh,76000,1,1.232497,3999.658203,4100.977051
tanh,77000,1,1.342157,4056.666016,4101.502441
tanh,78000,1,1.315685,4096.020508,4101.987305
tanh,79000,1,1.239207,4096.075684,4102.686523
tanh,80000,1,1.256835,4096.131348,4103.363281
tanh,81000,1,1.237179,4096.189453,4103.835938
tanh,82000,2,1.420753,4096.247559,4104.302734
tanh,83000,2,1.309729,4096.339844,4105.075195
tanh,84000,2,1.311480,4096.395996,4105.580078
tanh,85000,2,1.348293,4096.461914,4105.981934
tanh,86000,2,1.289400,4096.545410,4106.450195
tanh,87000,2,1.288791,4096.615723,4107.384277
tanh,88000,2,1.416110,4096.667480,4107.818848
tanh,89000,2,1.301695,4096.723145,4108.503418
tanh,90000,2,1.289287,4096.791016,4109.573730
tanh,91000,2,1.271242,4096.841797,4109.722656
tanh,92000,2,1.232479,4096.911621,4110.020508
tanh,93000,2,1.266618,4096.978516,4110.189453
tanh,94000,2,1.340255,4097.081543,4110.778809
tanh,95000,2,1.267925,4097.161621,4111.608398
tanh,96000,2,1.287395,4097.369629,4113.394043
tanh,97000,2,1.329037,4098.105469,4120.043457
tanh,98000,2,1.269923,4099.016113,4121.915527
tanh,99000,2,1.326260,4100.071289,4123.903320
