Func,Iteration,Epoc,Loss,FWtime,BWtime
tanh,0,0,4.725273,0.182047,0.052942
tanh,1000,0,2.434870,62.650917,54.405518
tanh,2000,0,2.174881,124.399940,107.905830
tanh,3000,0,1.984260,185.435928,160.906815
tanh,4000,0,1.862941,246.680771,214.491913
tanh,5000,0,1.837722,306.362366,267.982666
tanh,6000,0,1.745372,365.535370,320.544739
tanh,7000,0,1.731659,424.742340,373.892761
tanh,8000,0,1.680591,483.952087,426.753265
tanh,9000,0,1.617878,547.015991,480.529266
tanh,10000,0,1.573919,612.926941,532.436218
tanh,11000,0,1.646194,678.718384,581.315918
tanh,12000,0,1.669442,742.290222,630.144653
tanh,13000,0,1.699357,806.992188,678.973267
tanh,14000,0,1.660440,870.679749,727.802002
tanh,15000,0,1.616019,933.979553,776.631531
tanh,16000,0,1.559420,997.405640,825.460388
tanh,17000,0,1.553611,1053.049072,874.289551
tanh,18000,0,1.510097,1102.854736,923.118042
tanh,19000,0,1.535395,1152.675049,971.957214
tanh,20000,0,1.557264,1202.498047,1020.813599
tanh,21000,0,1.484661,1252.335571,1069.643799
tanh,22000,0,1.455780,1302.171753,1118.473267
tanh,23000,0,1.746920,1352.010132,1167.303345
tanh,24000,0,1.648570,1401.847046,1216.133667
tanh,25000,0,1.608199,1451.670288,1264.965576
tanh,26000,0,1.603552,1501.475952,1313.793701
tanh,27000,0,1.585581,1551.282471,1362.621826
tanh,28000,0,1.575453,1601.088501,1411.450073
tanh,29000,0,1.592537,1650.894653,1460.278198
tanh,30000,0,1.496285,1700.700806,1509.106323
tanh,31000,0,1.429862,1750.506470,1557.934448
tanh,32000,0,1.431719,1800.311646,1606.762573
tanh,33000,0,1.375848,1850.116821,1655.590698
tanh,34000,0,1.409459,1899.923096,1704.418823
tanh,35000,0,1.398524,1949.728516,1753.247070
tanh,36000,0,1.414696,1999.533691,1802.075195
tanh,37000,0,1.324279,2050.678223,1850.903320
tanh,38000,0,1.351301,2150.287598,1899.731445
tanh,39000,0,1.318882,2249.896973,1948.559570
tanh,40000,0,1.352662,2349.506348,1997.387695
tanh,41000,1,1.444811,2449.047363,2046.181641
tanh,42000,1,1.420031,2548.656738,2118.734131
tanh,43000,1,1.447314,2648.266113,2192.224365
tanh,44000,1,1.374530,2747.875488,2265.719482
tanh,45000,1,1.482030,2847.484863,2339.222412
tanh,46000,1,1.415375,2947.094238,2412.707764
tanh,47000,1,1.405535,3046.703613,2486.196777
tanh,48000,1,1.336978,3146.312988,2559.702393
tanh,49000,1,1.418713,3245.922363,2633.183105
tanh,50000,1,1.354765,3345.531738,2706.620117
tanh,51000,1,1.374205,3445.141113,2780.019043
tanh,52000,1,1.293483,3544.750488,2853.384766
tanh,53000,1,1.449994,3644.359863,2926.766357
tanh,54000,1,1.419069,3743.969238,3000.157471
tanh,55000,1,1.410224,3843.578613,3073.587158
tanh,56000,1,1.405130,3943.187988,3147.064941
tanh,57000,1,1.354832,4042.797363,3220.563965
tanh,58000,1,1.393049,4096.000000,3294.046875
tanh,59000,1,1.304647,4096.000000,3367.540039
tanh,60000,1,1.372249,4096.000000,3441.008301
tanh,61000,1,1.345637,4096.000000,3514.535889
tanh,62000,1,1.357299,4096.000000,3588.229980
tanh,63000,1,1.575710,4096.000488,3661.797607
tanh,64000,1,1.568862,4096.000488,3735.191650
tanh,65000,1,1.438032,4096.000488,3808.540039
tanh,66000,1,1.434575,4096.000488,3881.934082
tanh,67000,1,1.495834,4096.000488,3955.304443
tanh,68000,1,1.427075,4096.000488,4028.730469
tanh,69000,1,1.479708,4096.000488,4096.000000
tanh,70000,1,1.387794,4096.000488,4096.000000
tanh,71000,1,1.322945,4096.000488,4096.000000
tanh,72000,1,1.311531,4096.000488,4096.000000
tanh,73000,1,1.286323,4096.000488,4096.000000
tanh,74000,1,1.295976,4096.000488,4096.000000
tanh,75000,1,1.249274,4096.000488,4096.000000
tanh,76000,1,1.236764,4096.000488,4096.000000
tanh,77000,1,1.345659,4096.000488,4096.000000
tanh,78000,1,1.323585,4096.000488,4096.000000
tanh,79000,1,1.247525,4096.000488,4096.000000
tanh,80000,1,1.258462,4096.000488,4096.000000
tanh,81000,1,1.241759,4096.000488,4096.000000
tanh,82000,2,1.430227,4096.000488,4096.000000
tanh,83000,2,1.313055,4096.000488,4096.000000
tanh,84000,2,1.321268,4096.000488,4096.000000
tanh,85000,2,1.356732,4096.000488,4096.000000
tanh,86000,2,1.284624,4096.000488,4096.000000
tanh,87000,2,1.289298,4096.000488,4096.000000
tanh,88000,2,1.420101,4096.000488,4096.000000
tanh,89000,2,1.306505,4096.001465,4096.000000
tanh,90000,2,1.289485,4096.001953,4096.000000
tanh,91000,2,1.276742,4096.001953,4096.000000
tanh,92000,2,1.239784,4096.001953,4096.000000
tanh,93000,2,1.263780,4096.001953,4096.000000
tanh,94000,2,1.341917,4096.001953,4096.000000
tanh,95000,2,1.266534,4096.001953,4096.000000
tanh,96000,2,1.287964,4096.001953,4096.000000
tanh,97000,2,1.332067,4096.001953,4096.000000
tanh,98000,2,1.279796,4096.001953,4096.000000
tanh,99000,2,1.333922,4096.001953,4096.000000
tanh,100000,2,1.281762,4096.001953,4096.000000
tanh,101000,2,1.275259,4096.001953,4096.000000
