Func,Iteration,Epoc,Loss,FWtime,BWtime
tanh,0,0,4.689603,0.139828,0.069487
tanh,1000,0,2.410608,49.748932,85.122181
tanh,2000,0,2.150504,99.341375,170.544647
tanh,3000,0,1.962758,148.955655,255.641279
tanh,4000,0,1.851845,198.487603,340.986409
tanh,5000,0,1.824226,248.107608,425.990452
tanh,6000,0,1.740562,297.669698,511.289609
tanh,7000,0,1.728649,347.225796,596.555481
tanh,8000,0,1.675910,397.499701,684.158453
tanh,9000,0,1.614714,447.774696,771.804210
tanh,10000,0,1.572620,498.078519,859.513444
tanh,11000,0,1.641474,548.442316,947.109087
tanh,12000,0,1.667258,598.732223,1034.684354
tanh,13000,0,1.692915,649.018867,1122.260350
tanh,14000,0,1.662488,699.319177,1209.762946
tanh,15000,0,1.614064,749.537895,1297.528583
tanh,16000,0,1.556502,799.860203,1385.100435
tanh,17000,0,1.547436,850.159944,1472.783293
tanh,18000,0,1.499587,900.454499,1560.335012
tanh,19000,0,1.534644,950.603853,1647.505117
tanh,20000,0,1.548110,1000.146221,1732.678659
tanh,21000,0,1.473433,1049.656316,1818.165686
tanh,22000,0,1.454723,1099.196509,1903.327012
tanh,23000,0,1.739581,1148.705383,1988.629241
tanh,24000,0,1.646659,1198.240057,2073.776040
tanh,25000,0,1.600435,1247.854436,2158.684284
tanh,26000,0,1.599801,1297.416671,2243.899772
tanh,27000,0,1.581999,1346.945718,2329.057425
tanh,28000,0,1.568384,1396.529591,2414.213955
tanh,29000,0,1.583746,1446.055086,2499.654750
tanh,30000,0,1.491243,1495.643819,2584.583947
tanh,31000,0,1.434562,1545.182204,2669.932711
tanh,32000,0,1.422744,1594.822863,2754.839361
tanh,33000,0,1.379679,1644.339619,2840.065457
tanh,34000,0,1.407923,1693.886179,2925.322915
tanh,35000,0,1.392291,1743.513320,3010.183934
tanh,36000,0,1.414076,1793.102204,3095.170761
tanh,37000,0,1.308996,1842.724180,3180.208620
tanh,38000,0,1.354083,1892.340322,3265.043912
tanh,39000,0,1.316416,1941.910357,3349.999216
tanh,40000,0,1.346152,1991.488155,3434.917504
tanh,41000,1,1.435858,2041.037092,3519.863542
tanh,42000,1,1.415736,2090.660046,3604.687732
tanh,43000,1,1.439601,2140.252439,3689.738510
tanh,44000,1,1.367395,2189.839809,3774.619341
tanh,45000,1,1.482805,2239.402915,3859.822088
tanh,46000,1,1.416690,2289.062421,3944.726673
tanh,47000,1,1.394707,2338.711179,4029.589902
tanh,48000,1,1.338811,2388.311800,4114.535817
tanh,49000,1,1.422491,2437.840931,4199.870018
tanh,50000,1,1.351658,2487.474282,4284.637490
tanh,51000,1,1.370297,2537.104242,4369.504782
tanh,52000,1,1.291062,2586.683524,4454.498455
tanh,53000,1,1.453458,2636.318562,4539.278093
tanh,54000,1,1.427551,2685.895614,4624.251895
tanh,55000,1,1.407818,2735.590998,4708.928549
tanh,56000,1,1.400704,2785.235475,4793.661981
tanh,57000,1,1.353448,2834.829541,4878.543644
tanh,58000,1,1.397146,2884.454826,4963.242131
tanh,59000,1,1.298152,2934.135866,5047.849349
tanh,60000,1,1.368169,2983.776411,5132.443178
tanh,61000,1,1.336551,3033.478333,5216.912206
tanh,62000,1,1.353878,3083.184425,5301.321912
tanh,63000,1,1.578365,3132.875644,5385.717153
tanh,64000,1,1.565931,3182.628916,5470.622646
tanh,65000,1,1.429616,3232.370299,5555.147687
tanh,66000,1,1.429900,3282.051233,5639.564190
tanh,67000,1,1.497255,3331.739062,5724.188334
tanh,68000,1,1.430351,3381.426042,5808.540834
tanh,69000,1,1.482692,3431.038663,5893.433392
tanh,70000,1,1.389239,3480.662655,5978.130784
tanh,71000,1,1.329313,3530.301628,6062.753794
tanh,72000,1,1.303158,3579.948832,6147.368106
tanh,73000,1,1.282058,3629.533188,6232.567672
tanh,74000,1,1.300077,3679.206112,6317.105083
tanh,75000,1,1.249575,3728.859036,6401.767518
tanh,76000,1,1.236717,3778.558720,6486.252757
tanh,77000,1,1.337289,3828.247963,6570.681334
tanh,78000,1,1.311769,3877.931057,6655.289728
tanh,79000,1,1.241892,3927.553539,6740.011675
tanh,80000,1,1.262251,3977.227367,6824.548790
tanh,81000,1,1.236945,4026.883270,6909.289671
tanh,82000,2,1.433841,4076.396128,6994.438551
tanh,83000,2,1.318112,4126.043600,7079.491834
tanh,84000,2,1.321806,4175.666689,7164.284378
tanh,85000,2,1.342374,4225.263931,7249.323447
tanh,86000,2,1.288753,4274.828883,7334.657816
tanh,87000,2,1.290531,4324.368567,7419.901532
tanh,88000,2,1.421759,4373.970914,7504.655426
tanh,89000,2,1.298046,4423.559090,7589.623660
tanh,90000,2,1.288229,4473.127929,7674.648306
tanh,91000,2,1.269414,4522.782354,7759.984690
tanh,92000,2,1.232731,4572.415052,7844.994675
tanh,93000,2,1.259188,4622.035742,7929.990690
tanh,94000,2,1.339210,4671.627324,8015.154687
tanh,95000,2,1.265873,4721.178403,8100.568373
tanh,96000,2,1.281118,4770.733415,8185.878828
tanh,97000,2,1.335266,4820.339038,8271.055972
tanh,98000,2,1.270558,4869.998094,8356.283061
tanh,99000,2,1.325092,4919.606597,8441.390274
