Func,Iteration,Epoc,Loss,FWtime,BWtime
tanh,0,0,4.410448,0.146540,0.049854
tanh,1000,0,2.427891,54.279544,59.974776
tanh,2000,0,2.181498,107.332825,117.595796
tanh,3000,0,1.997459,159.849243,174.071577
tanh,4000,0,1.873248,212.307765,230.603901
tanh,5000,0,1.855724,265.307663,287.836826
tanh,6000,0,1.757759,318.342612,345.298971
tanh,7000,0,1.757496,370.806808,401.885191
tanh,8000,0,1.702434,423.328273,458.537995
tanh,9000,0,1.635751,475.582139,514.600940
tanh,10000,0,1.589309,527.879579,570.549985
tanh,11000,0,1.651094,580.389296,626.850104
tanh,12000,0,1.679223,633.128626,683.505863
tanh,13000,0,1.714508,685.804315,740.091198
tanh,14000,0,1.677462,738.375895,796.259948
tanh,15000,0,1.643398,791.713921,853.290035
tanh,16000,0,1.577291,844.763294,909.466148
tanh,17000,0,1.565068,897.364748,965.179263
tanh,18000,0,1.519830,949.380606,1019.873378
tanh,19000,0,1.543133,1001.729358,1076.010458
tanh,20000,0,1.563237,1063.272879,1147.570764
tanh,21000,0,1.487996,1118.370379,1209.741932
tanh,22000,0,1.464196,1172.130149,1269.254241
tanh,23000,0,1.757977,1224.574728,1326.308870
tanh,24000,0,1.655259,1276.997098,1382.637234
tanh,25000,0,1.618136,1329.230576,1438.490719
tanh,26000,0,1.611681,1381.101475,1493.614493
tanh,27000,0,1.591000,1433.527342,1548.838495
tanh,28000,0,1.583468,1485.954713,1605.044376
tanh,29000,0,1.598352,1538.014639,1660.173635
tanh,30000,0,1.502180,1590.459649,1715.569982
tanh,31000,0,1.443394,1642.687020,1771.050602
tanh,32000,0,1.440868,1695.103214,1826.916371
tanh,33000,0,1.389029,1747.132821,1882.459436
tanh,34000,0,1.415897,1799.235722,1937.012027
tanh,35000,0,1.397292,1850.871703,1991.445723
tanh,36000,0,1.413761,1902.866892,2045.762023
tanh,37000,0,1.325376,1954.769580,2100.424862
tanh,38000,0,1.354257,2006.448435,2155.025066
tanh,39000,0,1.321784,2058.309890,2209.472123
tanh,40000,0,1.349145,2111.295842,2266.055258
tanh,41000,1,1.444000,2164.651674,2322.808477
tanh,42000,1,1.424129,2218.050816,2379.939109
tanh,43000,1,1.443257,2271.340703,2436.585457
tanh,44000,1,1.380049,2324.865403,2493.950518
tanh,45000,1,1.493832,2378.269723,2550.814426
tanh,46000,1,1.416449,2431.305977,2606.910254
tanh,47000,1,1.400148,2484.241033,2663.189065
tanh,48000,1,1.339513,2537.452833,2719.882451
tanh,49000,1,1.418326,2590.393667,2776.216181
tanh,50000,1,1.357099,2643.811933,2833.190986
tanh,51000,1,1.380389,2697.162525,2890.338118
tanh,52000,1,1.295342,2750.158758,2946.876700
tanh,53000,1,1.462687,2803.427654,3003.247513
tanh,54000,1,1.433424,2856.550088,3059.903878
tanh,55000,1,1.424777,2909.435431,3116.056840
tanh,56000,1,1.416798,2962.161146,3171.854384
tanh,57000,1,1.363052,3015.297602,3228.254111
tanh,58000,1,1.400082,3068.254317,3284.761271
tanh,59000,1,1.305083,3121.146797,3340.583363
tanh,60000,1,1.374756,3173.529168,3395.744334
tanh,61000,1,1.343479,3226.219262,3451.404147
tanh,62000,1,1.361996,3278.943218,3507.437786
tanh,63000,1,1.577601,3331.526349,3562.876383
tanh,64000,1,1.577504,3383.821192,3618.087469
tanh,65000,1,1.440231,3435.942718,3672.870790
tanh,66000,1,1.437493,3487.870071,3727.517193
tanh,67000,1,1.506710,3539.641146,3782.256877
tanh,68000,1,1.428051,3591.273315,3836.386827
tanh,69000,1,1.486466,3643.379433,3891.332740
tanh,70000,1,1.388454,3695.246757,3945.887721
tanh,71000,1,1.316063,3747.178031,4000.683849
tanh,72000,1,1.313501,3799.096969,4055.335606
tanh,73000,1,1.292076,3851.218303,4110.284425
tanh,74000,1,1.305215,3903.272257,4164.940444
tanh,75000,1,1.261832,3955.141786,4219.569116
tanh,76000,1,1.245125,4007.179790,4274.407045
tanh,77000,1,1.346481,4059.125858,4328.949122
tanh,78000,1,1.325114,4111.469877,4383.982965
tanh,79000,1,1.246831,4163.576489,4438.724442
tanh,80000,1,1.266696,4216.339300,4494.986283
tanh,81000,1,1.243556,4269.343533,4550.715793
tanh,82000,2,1.426049,4321.830109,4606.615914
tanh,83000,2,1.318032,4374.913562,4662.839231
tanh,84000,2,1.325267,4427.959266,4719.248596
tanh,85000,2,1.353862,4480.868921,4775.529907
tanh,86000,2,1.282529,4533.661879,4831.779767
tanh,87000,2,1.299813,4586.586905,4887.945633
tanh,88000,2,1.423500,4640.001777,4944.660750
tanh,89000,2,1.311221,4693.137114,5000.992027
tanh,90000,2,1.288260,4746.189018,5057.321063
tanh,91000,2,1.281860,4799.312084,5113.833101
tanh,92000,2,1.239411,4851.517510,5168.814625
tanh,93000,2,1.265175,4903.767813,5224.041283
tanh,94000,2,1.348228,4956.691125,5280.275471
tanh,95000,2,1.262406,5009.647595,5336.263091
tanh,96000,2,1.294913,5062.370167,5391.956289
tanh,97000,2,1.342269,5115.092697,5447.661617
tanh,98000,2,1.280994,5167.228724,5502.468871
tanh,99000,2,1.329251,5219.049273,5557.371689
tanh,100000,2,1.284445,5271.728076,5613.233428
tanh,101000,2,1.272906,5324.792037,5669.734541
tanh,102000,2,1.258862,5377.751493,5725.890952
tanh,103000,2,1.273339,5430.856336,5782.324618
tanh,104000,2,1.550488,5484.073635,5839.079827
tanh,105000,2,1.435283,5537.113084,5895.267312
tanh,106000,2,1.416412,5590.406185,5951.824381
tanh,107000,2,1.358087,5643.394345,6008.244161
tanh,108000,2,1.496392,5696.261056,6064.519888
tanh,109000,2,1.394428,5749.331795,6120.633360
tanh,110000,2,1.372438,5802.017327,6176.614380
tanh,111000,2,1.393818,5854.963542,6232.460526
tanh,112000,2,1.248677,5907.729724,6288.515323
tanh,113000,2,1.252144,5960.524753,6344.451271
tanh,114000,2,1.258082,6013.356443,6400.527741
tanh,115000,2,1.229541,6066.343846,6456.615629
