Func,Iteration,Epoc,Loss,FWtime,BWtime
tanh,0,0,4.541323,0.181824,0.061116
tanh,1000,0,2.415049,61.278591,60.065093
tanh,2000,0,2.139201,122.777818,120.654047
tanh,3000,0,1.938744,184.800982,181.437234
tanh,4000,0,1.836866,246.682996,242.151181
tanh,5000,0,1.808414,308.737335,302.798354
tanh,6000,0,1.719245,370.795366,363.497969
tanh,7000,0,1.723960,432.864976,424.110869
tanh,8000,0,1.665743,494.915096,484.655119
tanh,9000,0,1.599356,556.992859,545.323102
tanh,10000,0,1.556095,619.051750,605.890756
tanh,11000,0,1.622888,681.129119,666.494864
tanh,12000,0,1.657769,743.209495,727.122625
tanh,13000,0,1.674101,804.449300,787.106447
tanh,14000,0,1.649388,865.403655,846.795420
tanh,15000,0,1.609146,927.374874,907.372947
tanh,16000,0,1.545745,989.453252,968.000685
tanh,17000,0,1.539345,1051.560404,1029.470921
tanh,18000,0,1.490660,1113.678956,1091.399103
tanh,19000,0,1.523161,1175.455887,1153.187149
tanh,20000,0,1.534946,1236.684785,1214.451334
tanh,21000,0,1.462771,1298.417467,1276.117681
tanh,22000,0,1.444973,1360.594326,1338.086512
tanh,23000,0,1.734859,1422.743742,1400.044206
tanh,24000,0,1.636421,1484.902336,1462.007385
tanh,25000,0,1.597220,1546.451141,1523.585545
tanh,26000,0,1.596488,1607.617435,1584.783943
tanh,27000,0,1.573037,1669.661026,1646.688124
tanh,28000,0,1.563474,1731.797021,1708.591382
tanh,29000,0,1.583204,1793.945427,1769.998230
tanh,30000,0,1.487339,1856.055445,1830.640336
tanh,31000,0,1.421807,1918.169515,1891.270657
tanh,32000,0,1.426762,1980.251769,1951.849692
tanh,33000,0,1.369901,2042.406914,2012.633299
tanh,34000,0,1.400497,2104.508495,2073.317820
tanh,35000,0,1.385876,2166.619276,2133.955640
tanh,36000,0,1.402410,2228.725311,2194.510490
tanh,37000,0,1.308243,2290.816868,2255.116255
tanh,38000,0,1.346795,2352.929398,2315.706431
tanh,39000,0,1.309450,2415.044677,2376.311317
tanh,40000,0,1.343596,2477.156368,2436.896877
tanh,41000,1,1.433128,2539.239037,2497.535400
tanh,42000,1,1.411929,2601.361509,2558.157709
tanh,43000,1,1.439632,2663.513750,2618.890264
tanh,44000,1,1.363787,2724.940019,2679.102258
tanh,45000,1,1.478224,2786.074121,2738.938063
tanh,46000,1,1.406030,2847.870845,2799.231391
tanh,47000,1,1.389751,2910.028953,2859.819848
tanh,48000,1,1.334862,2972.181321,2920.384066
tanh,49000,1,1.413697,3034.328655,2980.984659
tanh,50000,1,1.343773,3096.344101,3041.525767
tanh,51000,1,1.361389,3157.923841,3101.745852
tanh,52000,1,1.288138,3219.465148,3162.093912
tanh,53000,1,1.445904,3281.614895,3222.671950
tanh,54000,1,1.416138,3343.779997,3283.265785
tanh,55000,1,1.408927,3405.894675,3343.760915
tanh,56000,1,1.397498,3468.075719,3404.807723
tanh,57000,1,1.352019,3529.798619,3465.264546
tanh,58000,1,1.388732,3591.434067,3525.946394
tanh,59000,1,1.300656,3653.562685,3586.675043
tanh,60000,1,1.366333,3715.687354,3647.404551
tanh,61000,1,1.329612,3777.808405,3708.119040
tanh,62000,1,1.349413,3839.943527,3768.914394
tanh,63000,1,1.571783,3902.086380,3829.626222
tanh,64000,1,1.558859,3964.214425,3890.349172
tanh,65000,1,1.432517,4026.357017,3951.078834
tanh,66000,1,1.436545,4088.501179,4011.877728
tanh,67000,1,1.502303,4149.771067,4072.073920
tanh,68000,1,1.422926,4210.958695,4132.526614
tanh,69000,1,1.473179,4273.111124,4194.459152
tanh,70000,1,1.385581,4335.261274,4256.331688
tanh,71000,1,1.319558,4397.504903,4318.145157
tanh,72000,1,1.303175,4459.670092,4378.892634
tanh,73000,1,1.285440,4521.833215,4439.635312
tanh,74000,1,1.295234,4583.998620,4500.407300
tanh,75000,1,1.247412,4646.176744,4561.143634
tanh,76000,1,1.233096,4708.342368,4621.874986
tanh,77000,1,1.339796,4769.875239,4682.294347
tanh,78000,1,1.315455,4831.222713,4742.393025
tanh,79000,1,1.239579,4893.441760,4803.141667
tanh,80000,1,1.259432,4955.607989,4863.724523
tanh,81000,1,1.238684,5017.788794,4924.365658
tanh,82000,2,1.424347,5080.015672,4985.205154
tanh,83000,2,1.312374,5142.181285,5045.785071
tanh,84000,2,1.321043,5204.374196,5106.379285
tanh,85000,2,1.346782,5266.555580,5166.999958
tanh,86000,2,1.278599,5328.738301,5227.624622
tanh,87000,2,1.287695,5390.915750,5288.217102
tanh,88000,2,1.417790,5453.092271,5348.809375
tanh,89000,2,1.297549,5515.264821,5409.408983
tanh,90000,2,1.284057,5577.431619,5470.021008
tanh,91000,2,1.271311,5639.608061,5530.675019
tanh,92000,2,1.231896,5701.785874,5591.279465
tanh,93000,2,1.267617,5763.956517,5651.855223
tanh,94000,2,1.338633,5826.131361,5712.470427
tanh,95000,2,1.263543,5888.312471,5773.085090
tanh,96000,2,1.279603,5950.475269,5833.703343
tanh,97000,2,1.324487,6012.657606,5894.304360
tanh,98000,2,1.268216,6074.573697,5954.809114
tanh,99000,2,1.326986,6135.741345,6014.660371
tanh,100000,2,1.278178,6197.902456,6075.271670
tanh,101000,2,1.274867,6260.078310,6135.882536
tanh,102000,2,1.262455,6322.242353,6196.486961
tanh,103000,2,1.271249,6384.418467,6257.095242
tanh,104000,2,1.531025,6446.591856,6317.688399
tanh,105000,2,1.426359,6508.763255,6378.260715
tanh,106000,2,1.412693,6571.041149,6439.757619
tanh,107000,2,1.342455,6633.145159,6501.642471
tanh,108000,2,1.489012,6694.596811,6563.047911
tanh,109000,2,1.393473,6755.954153,6624.313231
tanh,110000,2,1.366305,6818.123104,6686.207358
tanh,111000,2,1.387651,6880.309599,6748.102795
tanh,112000,2,1.245368,6942.481039,6809.958210
tanh,113000,2,1.245552,7004.595939,6871.793172
tanh,114000,2,1.255482,7066.021597,6933.200944
tanh,115000,2,1.222688,7127.385677,6994.470000
tanh,116000,2,1.189313,7189.580165,7056.377922
tanh,117000,2,1.239607,7251.745120,7118.251014
tanh,118000,2,1.194259,7313.944384,7179.745068
tanh,119000,2,1.159958,7376.093507,7240.364847
tanh,120000,2,1.221359,7438.231416,7300.930889
tanh,121000,2,1.233716,7500.372838,7361.548971
tanh,122000,2,1.292718,7562.520458,7422.153815
tanh,123000,3,1.374039,7624.612159,7482.682607
tanh,124000,3,1.249971,7686.754750,7543.265781
tanh,125000,3,1.229951,7748.890818,7603.863443
tanh,126000,3,1.316332,7811.042135,7664.514474
tanh,127000,3,1.271996,7873.176281,7725.085926
tanh,128000,3,1.283233,7935.303934,7785.631053
tanh,129000,3,1.287298,7997.439477,7846.254368
tanh,130000,3,1.236610,8059.585690,7906.930875
tanh,131000,3,1.280622,8121.754437,7967.671509
tanh,132000,3,1.319150,8183.897898,8028.242571
tanh,133000,3,1.254299,8246.065989,8088.978957
tanh,134000,3,1.303417,8308.201581,8149.598531
tanh,135000,3,1.312569,8370.335622,8210.170539
tanh,136000,3,1.287301,8432.462742,8270.737669
tanh,137000,3,1.263896,8494.599746,8331.351200
tanh,138000,3,1.276332,8556.730401,8391.887113
tanh,139000,3,1.258035,8618.871240,8452.503615
tanh,140000,3,1.278079,8680.998612,8513.102823
tanh,141000,3,1.314052,8743.129999,8573.738853
tanh,142000,3,1.260539,8805.258397,8634.296560
