Func,Iteration,Epoc,Loss,FWtime,BWtime
tanf,0,0,1.869540,0.133586,0.041110
tanf,1000,0,1.731984,45.745561,40.149511
tanf,2000,0,1.669229,91.009605,79.718086
tanf,3000,0,1.603222,136.848207,119.882396
tanf,4000,0,1.607705,182.895075,160.192882
tanf,5000,0,1.638304,229.108303,200.795348
tanf,6000,0,1.575416,275.526971,241.577691
tanf,7000,0,1.614083,322.004505,282.675186
tanf,8000,0,1.571850,368.533019,324.354475
tanf,9000,0,1.525980,414.534829,364.865127
tanf,10000,0,1.513946,461.003313,406.141069
tanf,11000,0,1.590453,507.333625,446.803185
tanf,12000,0,1.628834,553.282151,487.112795
tanf,13000,0,1.680868,599.168713,527.205368
tanf,14000,0,1.656507,645.162218,567.471617
tanf,15000,0,1.619812,691.060918,607.588095
tanf,16000,0,1.562810,736.960464,647.752956
tanf,17000,0,1.559556,782.859872,687.957861
tanf,18000,0,1.517750,828.785836,728.188187
tanf,19000,0,1.537382,874.725100,768.448764
tanf,20000,0,1.568572,921.063090,809.712473
tanf,21000,0,1.507049,967.229668,850.518628
tanf,22000,0,1.472435,1013.267495,891.023495
tanf,23000,0,1.764961,1059.368288,931.504589
tanf,24000,0,1.674359,1105.291850,971.547370
tanf,25000,0,1.637675,1151.225081,1011.558019
tanf,26000,0,1.633707,1197.146973,1051.615732
tanf,27000,0,1.602676,1243.095827,1091.671407
tanf,28000,0,1.600016,1289.086468,1131.814054
tanf,29000,0,1.628760,1335.088477,1171.974140
tanf,30000,0,1.519649,1381.127099,1212.312519
tanf,31000,0,1.463771,1427.049616,1252.376888
tanf,32000,0,1.455675,1473.050769,1292.580084
tanf,33000,0,1.411860,1519.076039,1332.870188
tanf,34000,0,1.439708,1565.023091,1373.045337
tanf,35000,0,1.430320,1610.909014,1413.205005
tanf,36000,0,1.446657,1656.665822,1453.289077
tanf,37000,0,1.358077,1702.517597,1493.411513
tanf,38000,0,1.382502,1748.412778,1533.453320
tanf,39000,0,1.352647,1794.313554,1573.497661
tanf,40000,0,1.379917,1840.122757,1613.538695
tanf,41000,1,1.461982,1885.617598,1653.323457
tanf,42000,1,1.440478,1931.387950,1693.343284
tanf,43000,1,1.463064,1977.301617,1733.570875
tanf,44000,1,1.393532,2023.143639,1773.726424
tanf,45000,1,1.513178,2068.930261,1813.861247
tanf,46000,1,1.436900,2114.778903,1854.011735
tanf,47000,1,1.419718,2160.613774,1894.152908
tanf,48000,1,1.365916,2206.530031,1934.339180
tanf,49000,1,1.442734,2252.317758,1974.418143
tanf,50000,1,1.386697,2297.899126,2014.278559
tanf,51000,1,1.403132,2343.628676,2054.262958
tanf,52000,1,1.317021,2389.318791,2094.177422
tanf,53000,1,1.479831,2435.041278,2134.155058
tanf,54000,1,1.454162,2480.670813,2174.132820
tanf,55000,1,1.447418,2526.296859,2214.116985
tanf,56000,1,1.443587,2571.910840,2254.029227
tanf,57000,1,1.396409,2617.442133,2293.804745
tanf,58000,1,1.430971,2663.059615,2333.740163
tanf,59000,1,1.340255,2708.746830,2373.662423
tanf,60000,1,1.405599,2754.274259,2413.392818
tanf,61000,1,1.374636,2800.084734,2453.316912
tanf,62000,1,1.395751,2845.700269,2493.280534
tanf,63000,1,1.606102,2891.422156,2533.370339
tanf,64000,1,1.606469,2937.298044,2573.473937
tanf,65000,1,1.473982,2983.194344,2613.662601
tanf,66000,1,1.471344,3028.811647,2653.602643
tanf,67000,1,1.545208,3074.555457,2693.669077
tanf,68000,1,1.464994,3120.320909,2733.731486
tanf,69000,1,1.515153,3165.858372,2773.540988
tanf,70000,1,1.433349,3211.311737,2813.303505
tanf,71000,1,1.357673,3257.363496,2853.819171
tanf,72000,1,1.342542,3303.237644,2894.008354
tanf,73000,1,1.318905,3349.004741,2934.001833
tanf,74000,1,1.340435,3394.884584,2974.166082
tanf,75000,1,1.284156,3440.525010,3014.157341
tanf,76000,1,1.269264,3486.023124,3053.953930
tanf,77000,1,1.373600,3531.712282,3093.980065
tanf,78000,1,1.351867,3577.145705,3133.682049
tanf,79000,1,1.281077,3622.927629,3173.800067
tanf,80000,1,1.298486,3668.624162,3213.819990
tanf,81000,1,1.281781,3714.178898,3253.689575
tanf,82000,2,1.456180,3759.521960,3293.316408
tanf,83000,2,1.341913,3804.898164,3332.925283
tanf,84000,2,1.354598,3850.151422,3372.409148
tanf,85000,2,1.386414,3895.598213,3412.167198
tanf,86000,2,1.310155,3941.040440,3451.917398
tanf,87000,2,1.318801,3986.556825,3491.715905
tanf,88000,2,1.454699,4031.997333,3531.460162
tanf,89000,2,1.326868,4077.561835,3571.272180
tanf,90000,2,1.322216,4123.632297,3611.541088
tanf,91000,2,1.309989,4169.676396,3651.779655
tanf,92000,2,1.275934,4215.720174,3692.029625
tanf,93000,2,1.299527,4261.753960,3732.265188
tanf,94000,2,1.369303,4307.549775,3772.365475
tanf,95000,2,1.306053,4353.434869,3812.535916
tanf,96000,2,1.327542,4399.375950,3852.558515
tanf,97000,2,1.370938,4445.243937,3892.529564
tanf,98000,2,1.307630,4490.863743,3932.384216
tanf,99000,2,1.365367,4536.447428,3972.137392
tanf,100000,2,1.329076,4582.159295,4011.999903
tanf,101000,2,1.312303,4628.127395,4052.070279
tanf,102000,2,1.294816,4674.088346,4092.138327
tanf,103000,2,1.308424,4720.055953,4132.220840
tanf,104000,2,1.580089,4765.949743,4172.247554
tanf,105000,2,1.471053,4811.666810,4212.163017
tanf,106000,2,1.462155,4857.323199,4252.043196
tanf,107000,2,1.405268,4902.849609,4291.776132
tanf,108000,2,1.533885,4948.514812,4331.626801
tanf,109000,2,1.437099,4993.748543,4371.039251
tanf,110000,2,1.407942,5039.089332,4410.578842
tanf,111000,2,1.431655,5084.421637,4450.143885
tanf,112000,2,1.285413,5130.309111,4490.090073
tanf,113000,2,1.289705,5176.275180,4530.082971
tanf,114000,2,1.292262,5222.241735,4570.074213
tanf,115000,2,1.261645,5268.202839,4610.107957
tanf,116000,2,1.224828,5314.172050,4650.102572
tanf,117000,2,1.268950,5360.110065,4690.101658
tanf,118000,2,1.240260,5405.946834,4730.207803
tanf,119000,2,1.203336,5451.765171,4770.288212
tanf,120000,2,1.260670,5497.573713,4810.333367
tanf,121000,2,1.268235,5543.261373,4850.356101
tanf,122000,2,1.321442,5588.887593,4890.282563
tanf,123000,3,1.400771,5634.499524,4930.121058
tanf,124000,3,1.285140,5680.248376,4970.158186
tanf,125000,3,1.268205,5725.982393,5010.184449
tanf,126000,3,1.354529,5771.813917,5050.282124
tanf,127000,3,1.302290,5817.484976,5090.210349
tanf,128000,3,1.320162,5863.127902,5130.060054
tanf,129000,3,1.324984,5909.177022,5170.284388
tanf,130000,3,1.269198,5955.211638,5210.447913
tanf,131000,3,1.320331,6001.242901,5250.557277
tanf,132000,3,1.352503,6047.280875,5290.712084
tanf,133000,3,1.291347,6093.277506,5330.831148
tanf,134000,3,1.331405,6139.153689,5370.785846
tanf,135000,3,1.352775,6184.369768,5410.199880
tanf,136000,3,1.327822,6229.679981,5449.687136
tanf,137000,3,1.302059,6275.641521,5489.773981
tanf,138000,3,1.324128,6321.678607,5529.917614
tanf,139000,3,1.294611,6367.716244,5570.090520
tanf,140000,3,1.325499,6413.763753,5610.256603
tanf,141000,3,1.350903,6459.794653,5650.404803
tanf,142000,3,1.301821,6505.646918,5690.425308
tanf,143000,3,1.252110,6551.257708,5730.181955
tanf,144000,3,1.268538,6597.069141,5770.084519
tanf,145000,3,1.510594,6642.464888,5809.767740
tanf,146000,3,1.487742,6688.082400,5849.572292
tanf,147000,3,1.398922,6734.025568,5889.551642
tanf,148000,3,1.430088,6779.997065,5929.604387
tanf,149000,3,1.411760,6826.041107,5969.756427
tanf,150000,3,1.418535,6872.083668,6009.905668
tanf,151000,3,1.441429,6917.943280,6049.995743
tanf,152000,3,1.313436,6963.563816,6089.941501
tanf,153000,3,1.279100,7009.292844,6129.948069
tanf,154000,3,1.198410,7054.890877,6169.829824
tanf,155000,3,1.278651,7100.376242,6209.635741
tanf,156000,3,1.241582,7145.829519,6249.369496
tanf,157000,3,1.210055,7191.505429,6289.241944
tanf,158000,3,1.307536,7237.535977,6329.361196
tanf,159000,3,1.198304,7283.574891,6369.519892
tanf,160000,3,1.277848,7329.619905,6409.665766
tanf,161000,3,1.189683,7375.657181,6449.815849
tanf,162000,3,1.225785,7421.522383,6489.880689
tanf,163000,4,1.308869,7467.346778,6529.896348
tanf,164000,4,1.296292,7513.164664,6569.894720
tanf,165000,4,1.309904,7558.616992,6609.603455
tanf,166000,4,1.297432,7604.131386,6649.413090
tanf,167000,4,1.353349,7649.463320,6689.003270
tanf,168000,4,1.313237,7695.239995,6728.870567
tanf,169000,4,1.271484,7741.208874,6768.895377
tanf,170000,4,1.261926,7787.166359,6808.887383
tanf,171000,4,1.254680,7833.143358,6848.893685
tanf,172000,4,1.308872,7879.122308,6888.899660
tanf,173000,4,1.241627,7925.076301,6928.917543
tanf,174000,4,1.322401,7971.003959,6968.931643
tanf,175000,4,1.375736,8016.879708,7008.882086
tanf,176000,4,1.292645,8062.289323,7048.523726
tanf,177000,4,1.328072,8107.684738,7088.199168
tanf,178000,4,1.289473,8153.361243,7128.161078
tanf,179000,4,1.226133,8199.395160,7168.300142
tanf,180000,4,1.301887,8245.437487,7208.441980
tanf,181000,4,1.269923,8291.557834,7248.673938
tanf,182000,4,1.307974,8337.740510,7288.992108
tanf,183000,4,1.317359,8383.696172,7329.105934
tanf,184000,4,1.316489,8429.349765,7369.077347
tanf,185000,4,1.388255,8475.024752,7408.993255
tanf,186000,4,1.476885,8520.454074,7448.729200
tanf,187000,4,1.431951,8565.923102,7488.521706
tanf,188000,4,1.372372,8611.539041,7528.433722
tanf,189000,4,1.454047,8656.951272,7568.116934
tanf,190000,4,1.375383,8702.267407,7607.715460
tanf,191000,4,1.347996,8748.261159,7647.844181
tanf,192000,4,1.365303,8794.309364,7688.003343
tanf,193000,4,1.311619,8840.349551,7728.168865
tanf,194000,4,1.236665,8886.378522,7768.303055
tanf,195000,4,1.217496,8932.301647,7808.318994
tanf,196000,4,1.231784,8978.109190,7848.256398
tanf,197000,4,1.188252,9023.578853,7887.949677
tanf,198000,4,1.173024,9069.064052,7927.614838
tanf,199000,4,1.276196,9114.862366,7967.595439
tanf,200000,4,1.177079,9160.747914,8007.682204
tanf,201000,4,1.185969,9206.332839,8047.531774
tanf,202000,4,1.222508,9252.255665,8087.624549
tanf,203000,4,1.170993,9298.300403,8127.781845
tanf,204000,5,1.353803,9344.303225,8167.916524
tanf,205000,5,1.311297,9390.349159,8208.082949
tanf,206000,5,1.299322,9436.381565,8248.243723
tanf,207000,5,1.318914,9482.358975,8288.391463
tanf,208000,5,1.255232,9527.951231,8328.279370
tanf,209000,5,1.258695,9573.765786,8368.288022
tanf,210000,5,1.396502,9619.404237,8408.245256
tanf,211000,5,1.249337,9664.927038,8448.079112
tanf,212000,5,1.298119,9710.340037,8487.820711
tanf,213000,5,1.202561,9756.004427,8527.732224
tanf,214000,5,1.209038,9802.031221,8567.832835
tanf,215000,5,1.220500,9848.062020,8607.965466
tanf,216000,5,1.301788,9894.099647,8648.106231
tanf,217000,5,1.289380,9940.125128,8688.271267
tanf,218000,5,1.263355,9986.080471,8728.362808
tanf,219000,5,1.327894,10031.794476,8768.239344
tanf,220000,5,1.248359,10077.417268,8808.012668
tanf,221000,5,1.315075,10123.116554,8847.911712
tanf,222000,5,1.223402,10168.553585,8887.585233
tanf,223000,5,1.275717,10214.164530,8927.360680
tanf,224000,5,1.205009,10259.706877,8967.047482
tanf,225000,5,1.252984,10305.676338,9007.063637
tanf,226000,5,1.493275,10351.653480,9047.108716
tanf,227000,5,1.397578,10397.692524,9087.239320
tanf,228000,5,1.403046,10443.736607,9127.414236
tanf,229000,5,1.367007,10489.743364,9167.524421
tanf,230000,5,1.392074,10535.768910,9207.663229
tanf,231000,5,1.297802,10581.531696,9247.672310
tanf,232000,5,1.371875,10627.235940,9287.644740
tanf,233000,5,1.364207,10672.965037,9327.650607
tanf,234000,5,1.185973,10718.599669,9367.522940
tanf,235000,5,1.212214,10763.894916,9406.995556
tanf,236000,5,1.183906,10809.861590,9446.992071
tanf,237000,5,1.188163,10855.828397,9487.001133
tanf,238000,5,1.171491,10901.790181,9527.015460
tanf,239000,5,1.257806,10947.750459,9567.037364
