Func,Iteration,Epoc,Loss,FWtime,BWtime
tanf,0,0,4.649711,0.004607,0.001659
tanf,1000,0,3.056335,1.060936,0.935766
tanf,2000,0,2.912500,2.125323,1.905122
tanf,3000,0,2.753495,3.148011,2.806416
tanf,4000,0,2.617655,4.217220,3.785614
tanf,5000,0,2.564645,5.279911,4.750241
tanf,6000,0,2.498347,6.364716,5.757599
tanf,7000,0,2.486548,7.439718,6.746980
tanf,8000,0,2.443215,8.541808,7.774963
tanf,9000,0,2.429968,9.563402,8.676045
tanf,10000,0,2.400788,10.700014,9.766176
tanf,11000,0,2.396534,11.743812,10.704120
tanf,12000,0,2.404296,12.763765,11.603169
tanf,13000,0,2.432275,13.785982,12.505524
tanf,14000,0,2.387419,14.879609,13.522978
tanf,15000,0,2.387892,15.974518,14.539933
tanf,16000,0,2.356217,17.063361,15.552669
tanf,17000,0,2.365330,18.090320,16.454997
tanf,18000,0,2.304978,19.182828,17.472809
tanf,19000,0,2.293731,20.315429,18.554529
tanf,20000,0,2.324176,21.437537,19.618462
tanf,21000,0,2.304275,22.740733,20.977551
tanf,22000,0,2.282496,23.766975,21.884894
tanf,23000,0,2.371898,24.790519,22.786164
tanf,24000,0,2.323797,25.822542,23.703255
tanf,25000,0,2.289540,27.028580,24.910373
tanf,26000,0,2.287223,28.177952,26.023453
tanf,27000,0,2.259607,29.182706,26.908452
tanf,28000,0,2.289086,30.193390,27.799950
tanf,29000,0,2.283281,31.475053,29.115466
tanf,30000,0,2.214893,32.603874,30.188078
tanf,31000,0,2.199918,33.725972,31.263662
tanf,32000,0,2.172339,34.737457,32.156834
tanf,33000,0,2.158438,35.815007,33.144287
tanf,34000,0,2.165832,36.845404,34.050204
tanf,35000,0,2.161577,38.090772,35.307877
tanf,36000,0,2.176575,39.323970,36.545228
tanf,37000,0,2.135265,40.369367,37.482473
tanf,38000,0,2.117712,41.444022,38.469162
tanf,39000,0,2.092982,42.502225,39.433447
tanf,40000,0,2.123709,43.565570,40.395743
tanf,41000,1,2.151270,44.781396,41.563473
tanf,42000,1,2.133961,45.926571,42.636268
tanf,43000,1,2.166664,46.945767,43.534853
tanf,44000,1,2.139117,48.324028,44.927413
tanf,45000,1,2.144526,49.504598,46.047943
tanf,46000,1,2.155755,50.525858,46.948951
tanf,47000,1,2.110402,51.693856,48.054042
tanf,48000,1,2.097815,52.752089,49.007610
tanf,49000,1,2.150989,53.969038,50.177282
tanf,50000,1,2.134187,55.072557,51.192261
tanf,51000,1,2.113344,56.196429,52.232003
tanf,52000,1,2.100601,57.217765,53.132565
tanf,53000,1,2.181534,58.312263,54.138939
tanf,54000,1,2.159442,59.332463,55.038482
tanf,55000,1,2.128682,60.652812,56.351141
tanf,56000,1,2.143767,61.902001,57.567045
tanf,57000,1,2.130426,63.055324,58.646059
tanf,58000,1,2.127185,64.257301,59.801116
tanf,59000,1,2.106410,65.343191,60.793742
tanf,60000,1,2.097784,66.446726,61.811260
tanf,61000,1,2.106289,67.645164,62.961248
tanf,62000,1,2.098432,68.678173,63.881362
tanf,63000,1,2.192770,69.697266,64.780635
tanf,64000,1,2.191971,70.848952,65.860570
tanf,65000,1,2.122012,71.920621,66.833709
tanf,66000,1,2.110434,72.940675,67.731882
tanf,67000,1,2.144116,74.006149,68.692925
tanf,68000,1,2.094503,75.234398,69.879609
tanf,69000,1,2.148787,76.331864,70.882999
tanf,70000,1,2.142834,77.591209,72.115975
tanf,71000,1,2.026433,78.661332,73.085543
tanf,72000,1,2.024345,79.759029,74.088087
tanf,73000,1,2.000280,80.808440,75.026060
tanf,74000,1,2.042430,82.047273,76.226732
tanf,75000,1,2.016309,83.449056,77.651111
tanf,76000,1,2.019690,84.775536,78.976432
tanf,77000,1,2.032131,85.959535,80.100177
tanf,78000,1,2.028138,87.204500,81.308207
tanf,79000,1,1.968599,88.245316,82.233477
tanf,80000,1,1.992989,89.270014,83.138983
tanf,81000,1,1.986365,90.406235,84.199494
tanf,82000,2,2.081413,91.696851,85.470736
tanf,83000,2,2.039185,92.927773,86.661673
tanf,84000,2,2.045052,93.978773,87.602384
tanf,85000,2,2.080364,95.112592,88.656631
tanf,86000,2,1.969714,96.549872,90.130263
tanf,87000,2,2.047286,97.987750,91.599844
tanf,88000,2,2.115629,99.278349,92.870987
tanf,89000,2,2.018995,100.655072,94.255986
tanf,90000,2,2.015172,101.930309,95.503305
tanf,91000,2,2.024687,102.998390,96.468540
tanf,92000,2,2.001138,104.074087,97.441754
tanf,93000,2,2.022734,105.132623,98.397263
tanf,94000,2,2.045635,106.189698,99.352562
tanf,95000,2,1.996632,107.478645,100.630399
tanf,96000,2,2.041949,108.999081,102.247113
tanf,97000,2,2.076465,110.145322,103.327886
tanf,98000,2,2.041607,111.166658,104.232474
tanf,99000,2,2.024857,112.443174,105.495150
