Func,Iteration,Epoc,Loss,FWtime,BWtime
tanh,0,0,4.741957,0.013708,0.004550
tanh,1000,0,2.902536,4.688936,4.443850
tanh,2000,0,2.645654,9.458680,8.973714
tanh,3000,0,2.543251,14.317619,13.620470
tanh,4000,0,2.427544,19.331124,18.445007
tanh,5000,0,2.384087,24.173219,23.060094
tanh,6000,0,2.305749,29.385874,28.175283
tanh,7000,0,2.279679,34.231606,32.781219
tanh,8000,0,2.226555,38.930449,37.174490
tanh,9000,0,2.205865,43.622219,41.562046
tanh,10000,0,2.156520,48.406106,46.072307
tanh,11000,0,2.169562,53.168283,50.576405
tanh,12000,0,2.181955,58.164010,55.398096
tanh,13000,0,2.213088,62.883016,59.813558
tanh,14000,0,2.167445,67.622587,64.267302
tanh,15000,0,2.157950,72.931301,69.506200
tanh,16000,0,2.108725,77.792880,74.173541
tanh,17000,0,2.096046,82.742526,78.918398
tanh,18000,0,2.033257,87.607107,83.543178
tanh,19000,0,2.021684,92.760285,88.573900
tanh,20000,0,2.061751,97.493758,93.031729
tanh,21000,0,2.004993,102.466163,97.810376
tanh,22000,0,1.979887,107.241050,102.312486
tanh,23000,0,2.159661,112.252334,107.132145
tanh,24000,0,2.098309,117.721991,112.628249
tanh,25000,0,2.049319,122.665338,117.333896
tanh,26000,0,2.045940,127.689653,122.213346
tanh,27000,0,2.014263,133.065932,127.542586
tanh,28000,0,2.031371,137.794855,131.956510
tanh,29000,0,2.030003,142.528026,136.393005
tanh,30000,0,1.957419,147.575349,141.291510
tanh,31000,0,1.924030,152.515821,146.028579
tanh,32000,0,1.892982,158.025645,151.550190
tanh,33000,0,1.863843,163.056051,156.369666
tanh,34000,0,1.892184,168.319244,161.563833
tanh,35000,0,1.869785,172.984313,165.904508
tanh,36000,0,1.885187,178.222761,171.084876
tanh,37000,0,1.819390,183.810329,176.730563
tanh,38000,0,1.808687,188.511570,181.138329
tanh,39000,0,1.786032,194.489245,187.353600
tanh,40000,0,1.819797,199.188433,191.737027
tanh,41000,1,1.875220,204.077632,196.352317
tanh,42000,1,1.857189,209.413705,201.626024
tanh,43000,1,1.876899,214.708211,206.832122
tanh,44000,1,1.823537,219.524653,211.362573
tanh,45000,1,1.883917,224.715401,216.440513
tanh,46000,1,1.865975,230.142597,221.841768
tanh,47000,1,1.809087,234.868894,226.283109
tanh,48000,1,1.765478,239.909509,231.135249
tanh,49000,1,1.836323,245.279807,236.468894
tanh,50000,1,1.798387,250.781217,241.979343
tanh,51000,1,1.802916,255.510965,246.418024
tanh,52000,1,1.739098,260.365056,251.011889
tanh,53000,1,1.894089,265.311176,255.771061
tanh,54000,1,1.857718,270.334057,260.595191
tanh,55000,1,1.835345,275.706433,265.889713
tanh,56000,1,1.824654,280.619162,270.557783
tanh,57000,1,1.790575,285.685736,275.470788
tanh,58000,1,1.818307,290.841096,280.552873
tanh,59000,1,1.745199,295.870254,285.435654
tanh,60000,1,1.783357,300.872164,290.261913
tanh,61000,1,1.779733,305.550178,294.632709
tanh,62000,1,1.783885,310.502818,299.413508
tanh,63000,1,1.954520,315.666514,304.471822
tanh,64000,1,1.941377,320.995528,309.727404
tanh,65000,1,1.831162,325.650135,314.094796
tanh,66000,1,1.844596,330.944260,319.308311
tanh,67000,1,1.893179,335.972045,324.179376
tanh,68000,1,1.806723,340.942087,328.959719
tanh,69000,1,1.879434,345.700943,333.409002
tanh,70000,1,1.823562,350.588779,338.048711
tanh,71000,1,1.711001,355.888238,343.286576
tanh,72000,1,1.703401,361.114056,348.405531
tanh,73000,1,1.681665,365.844830,352.834079
tanh,74000,1,1.712481,371.008003,357.890946
tanh,75000,1,1.667768,376.030219,362.724415
tanh,76000,1,1.663892,380.997173,367.486992
tanh,77000,1,1.716758,385.886903,372.147419
tanh,78000,1,1.716310,391.165979,377.354405
tanh,79000,1,1.624835,396.156185,382.149292
tanh,80000,1,1.655731,400.837923,386.518434
tanh,81000,1,1.652117,405.844702,391.343433
tanh,82000,2,1.790119,411.002499,396.381567
tanh,83000,2,1.698952,415.682712,400.780217
tanh,84000,2,1.718076,420.932679,405.952974
tanh,85000,2,1.729889,425.793081,410.594943
tanh,86000,2,1.650620,430.644537,415.226149
tanh,87000,2,1.680346,435.720823,420.139578
tanh,88000,2,1.811355,440.601842,424.802634
tanh,89000,2,1.682246,445.700965,429.783553
tanh,90000,2,1.672558,450.583050,434.455550
tanh,91000,2,1.663734,455.980106,439.859655
tanh,92000,2,1.629344,461.037619,444.766456
tanh,93000,2,1.660798,465.824600,449.292750
tanh,94000,2,1.714537,470.505711,453.662800
tanh,95000,2,1.644102,475.663797,458.713650
tanh,96000,2,1.692849,480.778442,463.726035
tanh,97000,2,1.736180,486.371402,469.405141
tanh,98000,2,1.689712,492.121858,475.270020
tanh,99000,2,1.684292,497.209260,480.193666
