Func,Iteration,Epoc,Loss,FWtime,BWtime
tanh,0,0,4.589775,0.124346,0.107170
tanh,1000,0,2.410261,42.505601,79.070358
tanh,2000,0,2.182042,85.222713,157.750285
tanh,3000,0,1.989148,127.772342,235.423388
tanh,4000,0,1.890866,170.365523,313.335309
tanh,5000,0,1.879152,212.737612,392.393615
tanh,6000,0,1.774215,255.387892,471.000305
tanh,7000,0,1.769999,297.519878,547.641764
tanh,8000,0,1.724723,339.332003,618.603884
tanh,9000,0,1.659610,381.101437,689.661134
tanh,10000,0,1.615384,423.175564,761.170802
tanh,11000,0,1.677533,465.123537,832.799714
tanh,12000,0,1.707289,507.259788,904.855416
tanh,13000,0,1.732893,549.417656,976.494227
tanh,14000,0,1.706868,591.483949,1049.242375
tanh,15000,0,1.669988,633.768714,1121.156219
tanh,16000,0,1.595629,675.873024,1192.784200
tanh,17000,0,1.594384,717.804914,1263.999431
tanh,18000,0,1.552552,759.799375,1335.445865
tanh,19000,0,1.568822,801.919457,1406.473164
tanh,20000,0,1.586652,843.931608,1477.565681
tanh,21000,0,1.521986,886.107861,1549.451089
tanh,22000,0,1.487817,928.338832,1622.640713
tanh,23000,0,1.779267,970.608864,1695.278287
tanh,24000,0,1.679875,1012.692931,1768.046911
tanh,25000,0,1.644120,1054.932187,1840.558591
tanh,26000,0,1.637687,1097.123809,1911.856431
tanh,27000,0,1.609489,1139.281598,1984.743326
tanh,28000,0,1.599854,1181.738798,2057.863024
tanh,29000,0,1.616982,1224.017558,2130.450011
tanh,30000,0,1.525496,1266.087360,2203.102954
tanh,31000,0,1.462164,1308.210260,2276.155073
tanh,32000,0,1.457165,1350.522542,2349.185745
tanh,33000,0,1.405675,1392.838130,2421.622380
tanh,34000,0,1.433665,1434.835607,2494.213094
tanh,35000,0,1.417227,1476.923109,2566.797705
tanh,36000,0,1.437791,1519.046457,2638.376050
tanh,37000,0,1.341483,1561.229630,2710.902123
tanh,38000,0,1.373316,1603.511399,2782.762235
tanh,39000,0,1.340585,1645.650815,2855.904229
tanh,40000,0,1.371703,1687.567542,2927.500698
tanh,41000,1,1.454123,1729.469580,2998.064382
tanh,42000,1,1.439412,1771.461821,3069.889344
tanh,43000,1,1.468259,1813.482964,3141.116725
tanh,44000,1,1.396152,1855.257082,3211.651917
tanh,45000,1,1.509158,1897.077000,3282.354848
tanh,46000,1,1.436665,1939.008878,3353.289160
tanh,47000,1,1.423770,1983.137429,3426.519242
tanh,48000,1,1.361553,2027.024967,3499.266908
tanh,49000,1,1.439868,2070.929636,3571.936030
