Func,Iteration,Epoc,Loss,FWtime,BWtime
tanf,0,0,4.456823,0.029149,0.011155
tanf,1000,0,2.597216,10.299581,11.968820
tanf,2000,0,2.414275,20.649502,24.049392
tanf,3000,0,2.292706,31.052549,36.197803
tanf,4000,0,2.163759,41.442390,48.316465
tanf,5000,0,2.129268,51.740015,60.369297
tanf,6000,0,2.047086,61.978609,72.320939
tanf,7000,0,2.039441,72.230852,84.292807
tanf,8000,0,1.988203,82.547681,96.289291
tanf,9000,0,1.937144,92.846594,108.287120
tanf,10000,0,1.897323,103.143489,120.278955
tanf,11000,0,1.924896,113.439650,132.262660
tanf,12000,0,1.952685,123.716977,144.351085
tanf,13000,0,1.985903,134.054858,156.595421
tanf,14000,0,1.946441,144.346366,168.743649
tanf,15000,0,1.924078,154.701184,181.024479
tanf,16000,0,1.860281,164.999720,193.157319
tanf,17000,0,1.839842,175.241566,205.214894
tanf,18000,0,1.805998,185.581876,217.453242
tanf,19000,0,1.801027,195.897643,229.630504
tanf,20000,0,1.826122,206.342628,242.019731
tanf,21000,0,1.765711,216.693807,254.283078
tanf,22000,0,1.736955,226.990797,266.481036
tanf,23000,0,1.972567,237.212940,278.554300
tanf,24000,0,1.900678,247.482174,290.687291
tanf,25000,0,1.863167,257.891502,303.012967
tanf,26000,0,1.858466,268.378990,315.396859
tanf,27000,0,1.823239,278.814557,327.772082
tanf,28000,0,1.830744,289.262721,340.117408
tanf,29000,0,1.833540,299.767557,352.536564
tanf,30000,0,1.752378,310.079141,364.720608
tanf,31000,0,1.708141,320.494360,377.027104
tanf,32000,0,1.697952,330.912366,389.289376
tanf,33000,0,1.635160,341.416563,401.650122
tanf,34000,0,1.661217,351.809030,413.933431
tanf,35000,0,1.655465,362.235628,426.255413
tanf,36000,0,1.669509,372.834013,438.816671
tanf,37000,0,1.578702,383.270030,451.160599
tanf,38000,0,1.596269,393.873191,463.670558
tanf,39000,0,1.557753,404.374541,476.081810
tanf,40000,0,1.594093,414.843693,488.484271
tanf,41000,1,1.663920,425.277410,500.742815
tanf,42000,1,1.645437,435.675246,512.992438
tanf,43000,1,1.670510,446.084579,525.282961
tanf,44000,1,1.611598,456.481975,537.594127
tanf,45000,1,1.687605,466.877112,549.858056
tanf,46000,1,1.654196,477.235272,562.105249
tanf,47000,1,1.601926,487.657700,574.428399
tanf,48000,1,1.556666,498.085911,586.688228
tanf,49000,1,1.645008,508.590186,599.132299
