Func,Iteration,Epoc,Loss,FWtime,BWtime
tanf,0,0,4.504012,0.145075,0.087901
tanf,1000,0,2.418722,49.494769,85.989712
tanf,2000,0,2.166966,98.771955,171.930611
tanf,3000,0,1.985064,148.084205,257.495922
tanf,4000,0,1.863660,197.353295,343.296783
tanf,5000,0,1.847994,246.662359,428.924497
tanf,6000,0,1.751950,295.952756,514.747897
tanf,7000,0,1.754866,345.214909,600.491839
tanf,8000,0,1.702973,395.194632,688.720190
tanf,9000,0,1.638791,445.145790,776.998983
tanf,10000,0,1.597818,495.122072,865.315610
tanf,11000,0,1.651945,545.162731,953.441605
tanf,12000,0,1.685410,595.105453,1041.700869
tanf,13000,0,1.713274,645.052981,1129.846111
tanf,14000,0,1.682063,695.023343,1217.874128
tanf,15000,0,1.646393,744.959988,1306.116367
tanf,16000,0,1.565372,794.915886,1394.415888
tanf,17000,0,1.561236,844.913129,1482.522131
tanf,18000,0,1.521097,894.871811,1570.700194
tanf,19000,0,1.546107,944.688224,1658.355404
tanf,20000,0,1.556146,993.933959,1744.268524
tanf,21000,0,1.490871,1043.176506,1830.218204
tanf,22000,0,1.461815,1092.424416,1915.911117
tanf,23000,0,1.750332,1141.656662,2001.694804
tanf,24000,0,1.655442,1190.897134,2087.430744
tanf,25000,0,1.618287,1240.164621,2172.992543
tanf,26000,0,1.617392,1289.423463,2258.735292
tanf,27000,0,1.589298,1338.687523,2344.401885
tanf,28000,0,1.585510,1387.939181,2430.192337
tanf,29000,0,1.594450,1437.180839,2516.158829
tanf,30000,0,1.501504,1486.462458,2601.474028
tanf,31000,0,1.437881,1535.702935,2687.344216
tanf,32000,0,1.437461,1584.972975,2772.937742
tanf,33000,0,1.386574,1634.224130,2858.572302
tanf,34000,0,1.416986,1683.459798,2944.351084
tanf,35000,0,1.401134,1732.769244,3029.778062
tanf,36000,0,1.421684,1782.046370,3115.127282
tanf,37000,0,1.329982,1831.354273,3200.682006
tanf,38000,0,1.364443,1880.653479,3286.091595
tanf,39000,0,1.325244,1929.946452,3371.544095
tanf,40000,0,1.354326,1979.226750,3457.047401
tanf,41000,1,1.446666,2028.467290,3542.416470
tanf,42000,1,1.427750,2077.783538,3627.575508
tanf,43000,1,1.448856,2127.066066,3713.020937
tanf,44000,1,1.378524,2176.345948,3798.325697
tanf,45000,1,1.493709,2225.586690,3884.136190
tanf,46000,1,1.419215,2274.906636,3969.561470
tanf,47000,1,1.404195,2324.221101,4055.215004
tanf,48000,1,1.340757,2373.508427,4140.749710
tanf,49000,1,1.425505,2422.768804,4226.272307
tanf,50000,1,1.362766,2472.105843,4311.395564
tanf,51000,1,1.374087,2521.393457,4396.812402
tanf,52000,1,1.298958,2570.675775,4482.242821
tanf,53000,1,1.450525,2620.001725,4567.628965
tanf,54000,1,1.429053,2669.302431,4653.231239
tanf,55000,1,1.417279,2718.663246,4738.300719
tanf,56000,1,1.405807,2767.996913,4823.462948
tanf,57000,1,1.363794,2817.282567,4908.846796
tanf,58000,1,1.404465,2866.595995,4994.138842
tanf,59000,1,1.306623,2915.946159,5079.263156
tanf,60000,1,1.378602,2965.308373,5164.051075
tanf,61000,1,1.347821,3014.664864,5248.824974
tanf,62000,1,1.360802,3064.045368,5333.617180
tanf,63000,1,1.580089,3113.373650,5418.627457
tanf,64000,1,1.564619,3162.802988,5503.724080
tanf,65000,1,1.441692,3212.192693,5588.521589
tanf,66000,1,1.449128,3261.544730,5673.392685
tanf,67000,1,1.498252,3310.886744,5758.341470
tanf,68000,1,1.435442,3360.220382,5843.185831
tanf,69000,1,1.484475,3409.528048,5928.680306
tanf,70000,1,1.398667,3458.869859,6013.687929
tanf,71000,1,1.327569,3508.191019,6098.746774
tanf,72000,1,1.311249,3557.536346,6183.777721
tanf,73000,1,1.291722,3606.829600,6269.578466
tanf,74000,1,1.300741,3656.168769,6354.320684
tanf,75000,1,1.258859,3705.495345,6439.481545
tanf,76000,1,1.244161,3754.830271,6524.315453
tanf,77000,1,1.347579,3804.170362,6609.215242
tanf,78000,1,1.316172,3853.502563,6694.144904
tanf,79000,1,1.250820,3902.817877,6779.321078
tanf,80000,1,1.269232,3952.144675,6864.260628
tanf,81000,1,1.248436,4001.447771,6949.425972
tanf,82000,2,1.426027,4050.693294,7035.312578
tanf,83000,2,1.321998,4100.020316,7120.823942
tanf,84000,2,1.328352,4149.348447,7206.164542
tanf,85000,2,1.356100,4198.626239,7291.635203
tanf,86000,2,1.290319,4247.873940,7377.507686
tanf,87000,2,1.301900,4297.133162,7463.107858
tanf,88000,2,1.431928,4346.438875,7548.436952
tanf,89000,2,1.305904,4395.725450,7633.899514
tanf,90000,2,1.296584,4444.971622,7719.657789
tanf,91000,2,1.277947,4494.344884,7805.319679
tanf,92000,2,1.241575,4543.672613,7890.840111
tanf,93000,2,1.262419,4592.987070,7976.282937
tanf,94000,2,1.345243,4642.256671,8062.148347
tanf,95000,2,1.268015,4691.535194,8147.989845
tanf,96000,2,1.293082,4740.775618,8233.862940
tanf,97000,2,1.339628,4790.059342,8319.645572
tanf,98000,2,1.278489,4839.455720,8405.001393
tanf,99000,2,1.333570,4888.731851,8490.647047
