Func,Iteration,Epoc,Loss,FWtime,BWtime
tanf,0,0,4.622358,0.183249,0.054742
tanf,1000,0,2.435208,62.344122,54.772237
tanf,2000,0,2.209641,122.763710,107.059853
tanf,3000,0,2.038154,183.015817,159.204888
tanf,4000,0,1.904479,243.226656,211.322819
tanf,5000,0,1.876415,303.437351,263.438206
tanf,6000,0,1.786325,363.654311,315.601639
tanf,7000,0,1.777519,423.897986,367.792688
tanf,8000,0,1.722828,484.122553,419.963340
tanf,9000,0,1.651552,544.379587,472.248540
tanf,10000,0,1.606977,604.718695,524.674656
tanf,11000,0,1.664872,665.031010,577.118707
tanf,12000,0,1.698164,725.418757,629.691990
tanf,13000,0,1.732159,785.816538,682.176849
tanf,14000,0,1.692578,846.219583,734.678351
tanf,15000,0,1.645875,907.023583,787.565701
tanf,16000,0,1.587417,968.056166,840.561616
tanf,17000,0,1.573177,1028.616578,893.185211
tanf,18000,0,1.528406,1088.983964,945.645054
tanf,19000,0,1.553127,1149.606157,998.337405
tanf,20000,0,1.572674,1210.262096,1051.070620
tanf,21000,0,1.500445,1270.789542,1103.629990
tanf,22000,0,1.471787,1331.223825,1156.196871
tanf,23000,0,1.758907,1391.684500,1208.682803
tanf,24000,0,1.666217,1452.297299,1261.323121
tanf,25000,0,1.625306,1512.805446,1314.025839
tanf,26000,0,1.624262,1573.626919,1366.863425
tanf,27000,0,1.602675,1634.656870,1419.779958
tanf,28000,0,1.589929,1695.833849,1472.838844
tanf,29000,0,1.600319,1756.900021,1525.797719
tanf,30000,0,1.519040,1818.052960,1578.822747
tanf,31000,0,1.445676,1879.131115,1631.774568
tanf,32000,0,1.445570,1940.261995,1684.767261
tanf,33000,0,1.391032,2001.249743,1737.708267
tanf,34000,0,1.423535,2062.224901,1790.632357
tanf,35000,0,1.411127,2123.408770,1843.661610
tanf,36000,0,1.427584,2184.301727,1896.552999
tanf,37000,0,1.334306,2245.194967,1949.427802
tanf,38000,0,1.362447,2306.203667,2002.360544
tanf,39000,0,1.333797,2367.121513,2055.187254
tanf,40000,0,1.362190,2428.104379,2108.083721
tanf,41000,1,1.455519,2489.114139,2160.969296
tanf,42000,1,1.426757,2550.035730,2213.814640
tanf,43000,1,1.460836,2611.171962,2266.738117
tanf,44000,1,1.382710,2672.154979,2319.617001
tanf,45000,1,1.494098,2733.303292,2372.684599
tanf,46000,1,1.421262,2794.497299,2425.772713
tanf,47000,1,1.403631,2855.712465,2478.880037
tanf,48000,1,1.346524,2916.880878,2531.978279
tanf,49000,1,1.431540,2978.023814,2585.067038
tanf,50000,1,1.366510,3039.180916,2638.124398
tanf,51000,1,1.384511,3100.364814,2691.239224
tanf,52000,1,1.299123,3161.597641,2744.372873
tanf,53000,1,1.457542,3223.055725,2797.634861
tanf,54000,1,1.427280,3284.370384,2850.706473
tanf,55000,1,1.428309,3345.491595,2903.647511
tanf,56000,1,1.412843,3406.902509,2956.837007
tanf,57000,1,1.369129,3468.222659,3009.887754
tanf,58000,1,1.406805,3529.448314,3062.890691
tanf,59000,1,1.314867,3590.610184,3115.871239
tanf,60000,1,1.379385,3651.733904,3168.806843
tanf,61000,1,1.350758,3713.072455,3221.873335
tanf,62000,1,1.365772,3774.362873,3274.915905
tanf,63000,1,1.579626,3835.629854,3327.931528
tanf,64000,1,1.570907,3896.959683,3381.002121
tanf,65000,1,1.440720,3958.318415,3434.094429
tanf,66000,1,1.446382,4019.693761,3487.186292
tanf,67000,1,1.507293,4080.761985,3540.136223
tanf,68000,1,1.433529,4141.980256,3593.241609
tanf,69000,1,1.488112,4203.236327,3646.366589
tanf,70000,1,1.396919,4264.416538,3699.442263
tanf,71000,1,1.331304,4325.707282,3752.606720
tanf,72000,1,1.316519,4387.000113,3805.744174
tanf,73000,1,1.290072,4448.276098,3858.876590
tanf,74000,1,1.308764,4509.564147,3912.019183
tanf,75000,1,1.258945,4570.110273,3964.518124
tanf,76000,1,1.249762,4630.427954,4016.706397
tanf,77000,1,1.352594,4691.111412,4069.256803
tanf,78000,1,1.317384,4751.592010,4121.743952
tanf,79000,1,1.252354,4812.643872,4174.681406
tanf,80000,1,1.262476,4873.947831,4227.803117
tanf,81000,1,1.248485,4934.855580,4280.549164
tanf,82000,2,1.430651,4996.152066,4333.629587
tanf,83000,2,1.313506,5057.450288,4386.709866
tanf,84000,2,1.326623,5119.117435,4440.109298
tanf,85000,2,1.359001,5180.192730,4493.093994
tanf,86000,2,1.288380,5240.717140,4545.464245
tanf,87000,2,1.298569,5301.171777,4597.771786
tanf,88000,2,1.428051,5361.498760,4649.946375
tanf,89000,2,1.301705,5421.766990,4702.083676
tanf,90000,2,1.295512,5482.027415,4754.211350
tanf,91000,2,1.281223,5542.387820,4806.436166
tanf,92000,2,1.248974,5602.664839,4858.579770
tanf,93000,2,1.273954,5662.925079,4910.703454
tanf,94000,2,1.344415,5723.551278,4963.264517
tanf,95000,2,1.271071,5784.426825,5016.115354
tanf,96000,2,1.298392,5846.305359,5069.848106
tanf,97000,2,1.342298,5906.949847,5122.404220
tanf,98000,2,1.279104,5967.487078,5174.774690
tanf,99000,2,1.338602,6027.945130,5227.090493
tanf,100000,2,1.281030,6088.211331,5279.204393
tanf,101000,2,1.278845,6148.476548,5331.315950
tanf,102000,2,1.269630,6208.763089,5383.461085
tanf,103000,2,1.286281,6269.457946,5436.125637
tanf,104000,2,1.539233,6330.693854,5489.245066
tanf,105000,2,1.430671,6391.537702,5542.000948
