func,type,layers,neurons,iteration,epoc,loss,forward_cpu,forward_time,back_cpu,back_time,adam_cpu,adam_time
tanf,Single-threaded,4,128,0,0,4.430784,0.140983,0.143429,0.072762,0.072837,0.007064,0.007066
tanf,Single-threaded,4,128,1000,0,2.427294,48.190063,48.271861,80.400573,80.619281,4.027516,4.034113
tanf,Single-threaded,4,128,2000,0,2.187174,98.022765,98.146340,177.194681,177.606286,8.695302,8.704358
tanf,Single-threaded,4,128,3000,0,2.010487,148.528838,148.692508,274.274776,274.874896,13.354319,13.365994
tanf,Single-threaded,4,128,4000,0,1.894137,199.516555,199.722155,371.029557,371.816919,18.091621,18.105698
tanf,Single-threaded,4,128,5000,0,1.869772,250.506857,250.748058,468.383434,469.349285,22.776500,22.792521
tanf,Single-threaded,4,128,6000,0,1.773923,301.653772,301.930751,564.982088,566.123706,27.467095,27.484921
tanf,Single-threaded,4,128,7000,0,1.771473,353.467136,353.779975,659.829701,661.142987,32.232138,32.251948
tanf,Single-threaded,4,128,8000,0,1.715452,404.748505,405.096474,755.671878,757.164555,36.978734,37.000588
tanf,Single-threaded,4,128,9000,0,1.653725,455.137270,455.521519,849.135109,850.804376,41.641042,41.664938
tanf,Single-threaded,4,128,10000,0,1.601761,505.551088,505.970064,943.484063,945.315655,46.359094,46.384720
tanf,Single-threaded,4,128,11000,0,1.666471,556.508752,556.963736,1037.576345,1039.570403,51.038676,51.066183
tanf,Single-threaded,4,128,12000,0,1.687341,607.160134,607.649976,1131.904315,1134.060447,55.701183,55.730665
tanf,Single-threaded,4,128,13000,0,1.709992,657.461628,657.986381,1226.172059,1228.489289,60.342843,60.374088
tanf,Single-threaded,4,128,14000,0,1.683854,707.616750,708.175219,1320.538759,1323.017026,65.015487,65.048462
tanf,Single-threaded,4,128,15000,0,1.637132,757.860571,758.452835,1414.823871,1417.462331,69.737730,69.772545
tanf,Single-threaded,4,128,16000,0,1.561939,808.231353,808.857189,1508.891206,1511.688042,74.457071,74.493631
tanf,Single-threaded,4,128,17000,0,1.567447,858.619738,859.279435,1603.002103,1605.957263,79.171054,79.209377
tanf,Single-threaded,4,128,18000,0,1.520652,908.805004,909.497755,1697.420408,1700.535267,83.863192,83.903201
tanf,Single-threaded,4,128,19000,0,1.554238,959.182426,959.908821,1791.945895,1795.223277,88.521071,88.562884
tanf,Single-threaded,4,128,20000,0,1.565056,1009.784446,1010.546202,1886.411894,1889.854444,93.275949,93.319709
tanf,Single-threaded,4,128,21000,0,1.492109,1060.390154,1061.188761,1980.238584,1983.842485,97.994488,98.040267
tanf,Single-threaded,4,128,22000,0,1.465807,1110.648495,1111.481035,2074.549959,2078.313890,102.679874,102.727373
tanf,Single-threaded,4,128,23000,0,1.751035,1160.895917,1161.763256,2168.924691,2172.849346,107.329268,107.378551
tanf,Single-threaded,4,128,24000,0,1.660244,1211.202328,1212.102999,2263.110837,2267.193268,112.009583,112.060551
tanf,Single-threaded,4,128,25000,0,1.619260,1261.490189,1262.425204,2357.377453,2361.619109,116.672480,116.725240
tanf,Single-threaded,4,128,26000,0,1.615922,1311.785785,1312.759672,2451.429211,2455.837428,121.383564,121.438481
tanf,Single-threaded,4,128,27000,0,1.599662,1362.170624,1363.179827,2545.566388,2550.133712,126.063269,126.119998
tanf,Single-threaded,4,128,28000,0,1.587873,1412.489428,1413.531347,2639.804463,2644.529451,130.761472,130.819876
tanf,Single-threaded,4,128,29000,0,1.601611,1462.760350,1463.836825,2734.143099,2739.027486,135.451239,135.511421
tanf,Single-threaded,4,128,30000,0,1.499228,1512.747962,1513.857758,2828.894241,2833.939636,140.138495,140.200410
tanf,Single-threaded,4,128,31000,0,1.448605,1562.994838,1564.137367,2923.236089,2928.439491,144.851966,144.915557
tanf,Single-threaded,4,128,32000,0,1.443745,1613.387819,1614.565627,3017.217274,3022.580916,149.611061,149.676621
tanf,Single-threaded,4,128,33000,0,1.390567,1664.061275,1665.280765,3110.901810,3116.442025,154.312294,154.379709
tanf,Single-threaded,4,128,34000,0,1.416301,1714.490924,1715.747520,3204.454972,3210.158106,159.010036,159.079512
tanf,Single-threaded,4,128,35000,0,1.400429,1764.761558,1766.053463,3298.061384,3303.925499,163.704554,163.775900
tanf,Single-threaded,4,128,36000,0,1.422176,1816.357783,1817.688322,3390.695849,3396.711546,168.449047,168.522189
tanf,Single-threaded,4,128,37000,0,1.332729,1867.336743,1868.706233,3484.897485,3491.072789,172.523223,172.597993
tanf,Single-threaded,4,128,38000,0,1.364577,1917.783622,1919.190458,3579.664373,3586.001091,177.076418,177.152991
tanf,Single-threaded,4,128,39000,0,1.332033,1970.335337,1971.782269,3674.501199,3680.993441,182.123087,182.201602
tanf,Single-threaded,4,128,40000,0,1.356859,2021.756499,2023.240621,3771.558103,3778.215803,186.953013,187.033453
tanf,Single-threaded,4,128,41000,1,1.452814,2073.757858,2075.280094,3869.170563,3875.991237,191.801263,191.883651
tanf,Single-threaded,4,128,42000,1,1.432796,2125.253364,2126.811461,3967.136751,3974.118875,196.579364,196.663472
tanf,Single-threaded,4,128,43000,1,1.450669,2177.026909,2178.622352,4065.267147,4072.408625,201.411028,201.496933
tanf,Single-threaded,4,128,44000,1,1.387766,2227.510715,2229.141550,4161.428472,4168.728790,206.100486,206.188108
tanf,Single-threaded,4,128,45000,1,1.494533,2277.969423,2279.635352,4256.957529,4264.418692,210.754534,210.843997
tanf,Single-threaded,4,128,46000,1,1.429929,2329.540091,2331.244500,4351.900501,4359.520849,215.530940,215.622573
tanf,Single-threaded,4,128,47000,1,1.402471,2380.180867,2381.918765,4446.697629,4454.481411,220.239352,220.332829
tanf,Single-threaded,4,128,48000,1,1.343969,2430.563424,2432.334023,4541.657711,4549.607423,224.868168,224.963348
tanf,Single-threaded,4,128,49000,1,1.432586,2480.890466,2482.694082,4636.788031,4644.905509,229.492326,229.589228
tanf,Single-threaded,4,128,50000,1,1.366373,2531.255383,2533.093399,4732.317121,4740.605433,234.181176,234.280158
tanf,Single-threaded,4,128,51000,1,1.381995,2583.426309,2585.307480,4827.661519,4836.124798,239.234158,239.335915
tanf,Single-threaded,4,128,52000,1,1.303181,2634.659517,2636.582870,4923.293037,4931.933915,244.027931,244.132025
tanf,Single-threaded,4,128,53000,1,1.459653,2685.824778,2687.790187,5019.188591,5028.010074,248.472415,248.579083
tanf,Single-threaded,4,128,54000,1,1.438666,2737.175978,2739.181240,5114.467416,5123.466096,253.267858,253.376760
tanf,Single-threaded,4,128,55000,1,1.421521,2787.449452,2789.493858,5211.667635,5220.848580,258.088481,258.199443
tanf,Single-threaded,4,128,56000,1,1.417498,2839.106391,2841.193548,5306.643890,5316.003218,262.769392,262.882629
tanf,Single-threaded,4,128,57000,1,1.363303,2890.178642,2892.307520,5402.390475,5411.931204,267.497151,267.612361
tanf,Single-threaded,4,128,58000,1,1.410012,2941.293490,2943.462055,5498.004675,5507.724166,272.161154,272.278506
tanf,Single-threaded,4,128,59000,1,1.310434,2992.088521,2994.296876,5594.434373,5604.332499,277.168567,277.288625
tanf,Single-threaded,4,128,60000,1,1.379316,3043.618606,3045.869354,5689.794134,5699.871473,282.228036,282.351167
tanf,Single-threaded,4,128,61000,1,1.341724,3094.699220,3096.988716,5785.556856,5795.811570,287.177167,287.302896
tanf,Single-threaded,4,128,62000,1,1.365878,3146.042017,3148.376071,5880.792341,5891.226537,292.006849,292.135224
tanf,Single-threaded,4,128,63000,1,1.583286,3197.100796,3199.479951,5976.749185,5987.369799,296.959629,297.090897
tanf,Single-threaded,4,128,64000,1,1.573700,3248.197652,3250.620814,6072.839800,6083.646275,301.903614,302.037745
tanf,Single-threaded,4,128,65000,1,1.445087,3298.711248,3301.177387,6169.831474,6180.828900,306.710455,306.847703
tanf,Single-threaded,4,128,66000,1,1.437874,3350.298582,3352.807387,6264.725545,6275.897896,311.649202,311.789133
tanf,Single-threaded,4,128,67000,1,1.498228,3402.499416,3405.055337,6358.919613,6370.268741,316.607369,316.749895
tanf,Single-threaded,4,128,68000,1,1.438542,3455.070487,3457.669360,6455.198638,6466.731215,321.598434,321.743487
tanf,Single-threaded,4,128,69000,1,1.491080,3507.677572,3510.315436,6555.126277,6566.843561,326.542497,326.689845
tanf,Single-threaded,4,128,70000,1,1.398781,3563.243718,3565.929418,6659.790992,6671.695521,331.790099,331.939932
tanf,Single-threaded,4,128,71000,1,1.329251,3619.127064,3621.845766,6770.983679,6783.071621,337.283974,337.435862
tanf,Single-threaded,4,128,72000,1,1.320587,3673.659458,3676.414332,6872.509049,6884.771179,342.574660,342.728557
tanf,Single-threaded,4,128,73000,1,1.292332,3726.125808,3728.918768,6967.364134,6979.797929,347.323223,347.479135
tanf,Single-threaded,4,128,74000,1,1.303177,3776.775489,3779.604700,7063.438733,7076.049301,352.021584,352.179414
tanf,Single-threaded,4,128,75000,1,1.259720,3828.528368,3831.395312,7159.744097,7172.529357,356.861585,357.021546
tanf,Single-threaded,4,128,76000,1,1.240628,3880.904805,3883.812710,7257.589187,7270.552241,361.770117,361.932591
tanf,Single-threaded,4,128,77000,1,1.348168,3932.974075,3935.917574,7354.297410,7367.429498,366.598134,366.762485
tanf,Single-threaded,4,128,78000,1,1.321499,3988.088873,3991.072251,7459.050719,7472.369290,371.784617,371.951544
tanf,Single-threaded,4,128,79000,1,1.250539,4042.206404,4045.229665,7560.635661,7574.125938,376.875272,377.044182
tanf,Single-threaded,4,128,80000,1,1.272994,4095.548270,4098.612055,7658.500633,7672.168227,381.729997,381.901291
tanf,Single-threaded,4,128,81000,1,1.247101,4147.520513,4150.623755,7754.022245,7767.864556,386.307034,386.480496
tanf,Single-threaded,4,128,82000,2,1.438062,4198.535608,4201.676421,7848.855721,7862.871398,390.883941,391.059342
tanf,Single-threaded,4,128,83000,2,1.318742,4249.029205,4252.206866,7943.486010,7957.673887,395.566843,395.744531
tanf,Single-threaded,4,128,84000,2,1.330665,4300.675535,4303.897669,8038.330979,8052.696048,400.483422,400.663747
tanf,Single-threaded,4,128,85000,2,1.353991,4351.510150,4354.772457,8134.700352,8149.248152,405.291480,405.474605
tanf,Single-threaded,4,128,86000,2,1.292870,4403.261605,4406.566766,8229.490501,8244.212962,410.299479,410.485156
tanf,Single-threaded,4,128,87000,2,1.302669,4454.772855,4458.122114,8324.956771,8339.861066,415.250992,415.439672
tanf,Single-threaded,4,128,88000,2,1.437062,4505.521091,4508.911929,8420.858055,8435.946798,420.101148,420.292382
tanf,Single-threaded,4,128,89000,2,1.309328,4556.812562,4560.246009,8515.861959,8531.129287,425.022993,425.216606
