Func,Iteration,Epoc,Loss,FWtime,BWtime
tanf,0,0,4.623666,0.139234,0.050790
tanf,1000,0,2.465812,47.978584,52.065872
tanf,2000,0,2.213467,96.879915,107.704706
tanf,3000,0,2.029832,144.712250,159.644733
tanf,4000,0,1.896987,193.414549,215.121677
tanf,5000,0,1.872518,241.549049,268.792000
tanf,6000,0,1.779306,290.529814,326.522253
tanf,7000,0,1.773723,339.159883,381.741416
tanf,8000,0,1.716749,386.775226,433.564749
tanf,9000,0,1.650423,434.993377,487.031539
tanf,10000,0,1.605414,483.805922,542.752669
tanf,11000,0,1.663586,531.800839,595.481885
tanf,12000,0,1.692402,579.499070,646.659173
tanf,13000,0,1.728370,627.624519,699.949426
tanf,14000,0,1.685994,676.283674,755.160510
tanf,15000,0,1.643891,724.122099,807.834055
tanf,16000,0,1.574232,772.087531,861.166797
tanf,17000,0,1.570537,820.040252,914.404701
tanf,18000,0,1.529506,868.255673,968.398395
tanf,19000,0,1.544931,916.040935,1020.741783
tanf,20000,0,1.567656,964.468441,1075.057124
tanf,21000,0,1.495229,1012.530482,1128.147614
tanf,22000,0,1.468463,1061.328896,1184.493956
tanf,23000,0,1.754811,1109.685839,1239.151128
tanf,24000,0,1.669931,1158.050989,1293.585191
tanf,25000,0,1.619645,1206.712715,1348.276808
tanf,26000,0,1.627261,1254.690935,1400.520639
tanf,27000,0,1.598429,1303.144151,1454.469295
tanf,28000,0,1.588389,1351.128663,1506.816327
tanf,29000,0,1.599021,1398.964360,1558.439601
tanf,30000,0,1.507834,1446.696477,1610.431135
tanf,31000,0,1.446663,1494.745696,1662.946018
tanf,32000,0,1.447357,1543.905666,1720.063287
tanf,33000,0,1.388854,1591.379167,1770.910666
tanf,34000,0,1.419708,1640.242858,1827.060814
tanf,35000,0,1.406845,1688.009509,1878.889574
tanf,36000,0,1.425686,1736.585521,1933.896811
tanf,37000,0,1.324439,1784.821972,1986.890012
tanf,38000,0,1.363243,1832.293731,2038.341399
tanf,39000,0,1.327499,1880.952572,2093.985821
tanf,40000,0,1.355847,1929.112268,2148.064637
tanf,41000,1,1.450856,1976.821250,2200.541722
tanf,42000,1,1.431644,2025.562173,2256.061873
tanf,43000,1,1.447488,2074.415659,2312.434538
tanf,44000,1,1.376663,2124.461891,2372.794590
tanf,45000,1,1.494963,2172.821721,2426.736469
tanf,46000,1,1.422002,2221.598256,2482.745157
tanf,47000,1,1.406847,2269.144807,2534.515246
tanf,48000,1,1.344105,2318.093907,2590.982414
tanf,49000,1,1.425956,2366.354213,2644.380953
tanf,50000,1,1.360968,2414.327807,2696.906904
tanf,51000,1,1.375728,2461.978666,2748.282860
tanf,52000,1,1.305165,2510.358634,2802.109419
tanf,53000,1,1.466196,2557.759583,2852.550793
tanf,54000,1,1.437200,2605.734556,2905.545493
tanf,55000,1,1.419078,2653.383848,2956.893948
tanf,56000,1,1.420719,2700.757395,3007.565566
tanf,57000,1,1.363699,2748.958530,3060.719487
tanf,58000,1,1.407432,2797.036069,3113.995661
tanf,59000,1,1.309556,2845.910404,3170.135778
tanf,60000,1,1.383989,2893.670584,3222.726526
tanf,61000,1,1.342799,2941.955451,3276.228768
tanf,62000,1,1.365033,2990.248285,3330.049605
tanf,63000,1,1.579730,3038.116955,3382.027967
tanf,64000,1,1.576915,3085.658254,3433.690500
tanf,65000,1,1.442428,3133.009769,3484.163816
tanf,66000,1,1.446169,3181.814701,3539.592195
tanf,67000,1,1.504806,3230.289141,3594.057017
tanf,68000,1,1.433222,3278.904372,3648.014431
tanf,69000,1,1.482128,3325.950527,3698.385848
tanf,70000,1,1.398784,3374.845777,3754.363469
tanf,71000,1,1.320161,3423.597567,3809.726725
tanf,72000,1,1.307754,3471.773680,3862.853182
tanf,73000,1,1.293394,3520.106547,3917.369383
tanf,74000,1,1.309157,3568.999893,3973.437695
tanf,75000,1,1.255680,3617.326561,4027.306950
tanf,76000,1,1.242100,3666.037311,4082.899550
tanf,77000,1,1.347208,3713.219547,4133.116639
tanf,78000,1,1.323982,3760.776594,4184.159304
tanf,79000,1,1.248715,3808.906381,4238.120853
tanf,80000,1,1.266270,3856.758345,4290.057437
tanf,81000,1,1.256678,3904.498797,4341.390238
tanf,82000,2,1.426178,3953.936952,4399.165148
tanf,83000,2,1.323105,4001.260372,4449.501624
tanf,84000,2,1.329141,4048.802952,4500.361630
tanf,85000,2,1.356821,4096.886616,4553.452479
tanf,86000,2,1.291773,4144.977820,4606.347732
tanf,87000,2,1.289232,4194.436244,4664.193424
tanf,88000,2,1.433772,4243.014701,4719.342153
tanf,89000,2,1.304131,4290.655974,4771.056839
tanf,90000,2,1.296015,4338.383526,4823.725036
tanf,91000,2,1.285960,4387.170158,4879.904066
tanf,92000,2,1.246959,4435.689213,4935.039325
tanf,93000,2,1.267901,4484.293267,4989.819241
tanf,94000,2,1.349769,4532.139902,5042.067434
tanf,95000,2,1.269891,4579.954403,5094.861061
tanf,96000,2,1.293810,4627.996635,5147.927912
tanf,97000,2,1.344834,4675.542194,5199.676547
tanf,98000,2,1.281981,4723.269661,5251.740957
tanf,99000,2,1.336834,4771.046085,5304.090082
tanf,100000,2,1.287655,4819.110002,5357.219114
tanf,101000,2,1.281745,4867.389118,5411.098806
tanf,102000,2,1.269057,4915.486715,5463.961470
tanf,103000,2,1.277544,4963.918928,5518.952562
tanf,104000,2,1.543833,5011.579127,5570.885844
tanf,105000,2,1.426267,5059.736137,5624.018167
tanf,106000,2,1.426587,5108.366818,5679.146980
tanf,107000,2,1.364177,5156.731493,5733.015322
tanf,108000,2,1.490436,5205.974097,5790.095375
tanf,109000,2,1.393284,5255.136352,5846.634003
tanf,110000,2,1.370015,5302.959787,5898.973238
tanf,111000,2,1.393831,5351.753044,5953.954123
tanf,112000,2,1.252054,5400.799369,6010.167697
tanf,113000,2,1.253070,5448.710935,6062.017508
tanf,114000,2,1.266086,5496.444841,6113.505220
tanf,115000,2,1.222507,5544.889537,6167.915319
tanf,116000,2,1.191002,5592.208998,6218.690425
tanf,117000,2,1.242513,5641.303865,6274.295375
tanf,118000,2,1.202806,5689.117673,6326.707614
tanf,119000,2,1.167999,5738.535413,6383.267148
tanf,120000,2,1.222281,5787.795843,6440.202648
tanf,121000,2,1.241999,5835.928523,6492.356231
tanf,122000,2,1.297234,5884.811856,6548.007350
tanf,123000,3,1.370797,5932.769407,6600.297458
tanf,124000,3,1.255294,5981.280695,6654.429773
tanf,125000,3,1.236839,6029.122709,6706.488520
tanf,126000,3,1.331002,6077.402959,6760.347452
tanf,127000,3,1.269052,6124.675593,6811.124564
tanf,128000,3,1.287017,6173.000525,6865.898886
tanf,129000,3,1.300975,6221.435073,6920.802223
tanf,130000,3,1.239147,6269.075041,6972.368728
tanf,131000,3,1.292928,6316.318025,7022.769553
tanf,132000,3,1.326789,6363.424141,7073.040564
tanf,133000,3,1.256294,6411.149355,7125.162689
tanf,134000,3,1.304615,6458.333295,7175.444111
tanf,135000,3,1.321224,6506.811810,7229.715940
tanf,136000,3,1.291042,6554.843549,7282.393185
tanf,137000,3,1.265084,6602.373995,7333.812212
tanf,138000,3,1.287106,6649.507038,7384.055586
tanf,139000,3,1.271912,6696.960925,7434.989466
tanf,140000,3,1.284395,6744.167862,7485.292475
tanf,141000,3,1.319207,6792.769831,7540.402931
tanf,142000,3,1.266546,6840.958345,7594.192590
tanf,143000,3,1.213749,6889.880510,7650.276883
tanf,144000,3,1.242285,6937.547669,7702.190383
tanf,145000,3,1.483220,6985.817056,7755.773686
tanf,146000,3,1.461245,7034.134856,7809.732560
tanf,147000,3,1.362845,7082.073322,7862.384152
tanf,148000,3,1.386907,7130.110719,7915.304145
tanf,149000,3,1.374112,7178.454309,7968.616486
tanf,150000,3,1.388144,7226.505397,8021.474622
tanf,151000,3,1.407203,7274.789983,8074.788172
tanf,152000,3,1.284230,7323.778913,8129.974042
tanf,153000,3,1.242482,7373.203453,8186.745287
tanf,154000,3,1.164172,7421.325299,8240.057517
tanf,155000,3,1.246826,7471.574183,8299.102978
tanf,156000,3,1.210504,7519.449490,8350.981303
tanf,157000,3,1.170795,7567.806814,8404.970916
tanf,158000,3,1.273236,7617.451931,8461.989963
tanf,159000,3,1.154268,7666.232295,8517.027768
tanf,160000,3,1.252568,7714.729621,8571.469118
tanf,161000,3,1.154670,7763.685713,8626.882604
tanf,162000,3,1.191109,7811.665618,8679.835876
tanf,163000,4,1.282721,7859.937069,8733.615950
tanf,164000,4,1.264662,7907.601592,8784.917921
tanf,165000,4,1.281249,7956.264059,8839.426243
tanf,166000,4,1.261709,8004.504995,8892.922112
tanf,167000,4,1.329998,8052.016390,8943.986189
tanf,168000,4,1.284927,8100.387268,8998.232143
tanf,169000,4,1.237438,8147.693766,9048.489050
tanf,170000,4,1.233059,8196.025461,9102.092986
tanf,171000,4,1.207494,8243.217222,9153.086592
tanf,172000,4,1.282900,8290.367389,9203.302868
tanf,173000,4,1.204111,8338.477175,9256.230251
tanf,174000,4,1.297809,8387.090392,9311.599461
tanf,175000,4,1.345021,8434.792649,9363.256518
tanf,176000,4,1.263131,8483.200751,9417.713188
tanf,177000,4,1.287999,8531.939643,9472.748757
tanf,178000,4,1.253979,8581.517455,9531.023814
tanf,179000,4,1.196103,8629.669566,9583.881475
tanf,180000,4,1.274680,8679.158543,9640.149447
tanf,181000,4,1.225440,8727.633150,9694.255858
tanf,182000,4,1.278341,8776.387700,9749.538988
tanf,183000,4,1.276001,8824.706994,9802.925095
tanf,184000,4,1.293962,8873.227928,9857.292220
tanf,185000,4,1.357099,8921.834293,9911.903775
tanf,186000,4,1.430070,8970.761489,9967.608061
tanf,187000,4,1.392564,9019.685428,10023.635952
tanf,188000,4,1.331121,9067.530398,10075.924087
tanf,189000,4,1.422417,9115.327947,10127.952393
tanf,190000,4,1.340748,9163.015695,10179.387187
tanf,191000,4,1.312084,9211.398729,10233.210777
tanf,192000,4,1.331088,9258.952225,10285.177680
tanf,193000,4,1.274724,9306.982727,10338.294737
tanf,194000,4,1.205563,9355.105966,10392.078284
tanf,195000,4,1.188629,9402.646829,10443.517687
tanf,196000,4,1.189209,9450.174104,10495.162819
tanf,197000,4,1.153366,9498.413571,10549.485078
tanf,198000,4,1.140364,9546.999551,10604.473465
tanf,199000,4,1.240862,9594.754029,10656.245830
