Func,Iteration,Epoc,Loss,FWtime,BWtime
tanh,0,0,4.502264,0.179624,0.052579
tanh,1000,0,2.406959,62.836018,55.115578
tanh,2000,0,2.144338,123.776325,107.713726
tanh,3000,0,1.971952,184.532922,160.128970
tanh,4000,0,1.858809,245.267354,212.540355
tanh,5000,0,1.836988,305.989546,264.954245
tanh,6000,0,1.740617,366.712222,317.376728
tanh,7000,0,1.739708,427.476002,369.883697
tanh,8000,0,1.691106,488.193098,422.297893
tanh,9000,0,1.621592,548.914463,474.728964
tanh,10000,0,1.582214,609.673425,527.199399
tanh,11000,0,1.650084,670.396498,579.621998
tanh,12000,0,1.681544,731.123285,632.050463
tanh,13000,0,1.702335,791.879809,684.533649
tanh,14000,0,1.673100,852.852639,737.285391
tanh,15000,0,1.624386,914.078609,790.314414
tanh,16000,0,1.558293,975.799863,843.725288
tanh,17000,0,1.556118,1037.136467,896.832260
tanh,18000,0,1.503159,1098.419365,949.915551
tanh,19000,0,1.534654,1159.767535,1003.044134
tanh,20000,0,1.551535,1220.982181,1056.084822
tanh,21000,0,1.480691,1282.340009,1109.224450
tanh,22000,0,1.463311,1343.809809,1162.493405
tanh,23000,0,1.742332,1405.091624,1215.623007
tanh,24000,0,1.646491,1466.306267,1268.658741
tanh,25000,0,1.609930,1527.786308,1321.973725
tanh,26000,0,1.610396,1589.142461,1375.205443
tanh,27000,0,1.582449,1650.776736,1428.566443
tanh,28000,0,1.582699,1712.020185,1481.755573
tanh,29000,0,1.590068,1773.173085,1534.858997
tanh,30000,0,1.496142,1834.517571,1588.051514
tanh,31000,0,1.434572,1895.691598,1641.173188
tanh,32000,0,1.434564,1957.023990,1694.397631
tanh,33000,0,1.382670,2018.337882,1747.570230
tanh,34000,0,1.414791,2079.508073,1800.677227
tanh,35000,0,1.400207,2140.780595,1853.886304
tanh,36000,0,1.417615,2202.446969,1907.223941
tanh,37000,0,1.324043,2263.618316,1960.302143
tanh,38000,0,1.358777,2324.964442,2013.484307
tanh,39000,0,1.321737,2386.331719,2066.661742
tanh,40000,0,1.354781,2447.846116,2119.922974
tanh,41000,1,1.451938,2509.050250,2172.974130
tanh,42000,1,1.421069,2570.461115,2226.196560
tanh,43000,1,1.456645,2631.793310,2279.387730
tanh,44000,1,1.381819,2693.240948,2332.642424
tanh,45000,1,1.487725,2754.868954,2386.043362
tanh,46000,1,1.416996,2816.592524,2439.470549
tanh,47000,1,1.403204,2878.368143,2492.956164
tanh,48000,1,1.344708,2940.066101,2546.372795
tanh,49000,1,1.427291,3001.773405,2599.814019
tanh,50000,1,1.362173,3063.540468,2653.284847
tanh,51000,1,1.372686,3125.211622,2706.704816
tanh,52000,1,1.295961,3186.986123,2760.168277
tanh,53000,1,1.445909,3248.609581,2813.490114
tanh,54000,1,1.430933,3310.322946,2866.813727
tanh,55000,1,1.414568,3371.931258,2920.158495
tanh,56000,1,1.409000,3433.548932,2973.462969
tanh,57000,1,1.364101,3494.750328,3026.575533
tanh,58000,1,1.405112,3556.107839,3079.797487
tanh,59000,1,1.308158,3617.363036,3132.954299
tanh,60000,1,1.377075,3678.781874,3186.154501
tanh,61000,1,1.345550,3740.106234,3239.314654
tanh,62000,1,1.356534,3801.423620,3292.482724
tanh,63000,1,1.579508,3862.918097,3345.742491
tanh,64000,1,1.576101,3924.347590,3399.012584
tanh,65000,1,1.448231,3985.810941,3452.261731
tanh,66000,1,1.438796,4047.167098,3505.469711
tanh,67000,1,1.503117,4108.782075,3558.814987
tanh,68000,1,1.430305,4170.516047,3612.257276
tanh,69000,1,1.483592,4232.356007,3665.763481
tanh,70000,1,1.392762,4294.230036,3719.292580
tanh,71000,1,1.330372,4356.092886,3772.797135
tanh,72000,1,1.313885,4417.924789,3826.280340
tanh,73000,1,1.295323,4479.753709,3879.773201
tanh,74000,1,1.312156,4541.423209,3933.113867
tanh,75000,1,1.260056,4602.366923,3985.756857
tanh,76000,1,1.243137,4663.222152,4038.281561
tanh,77000,1,1.343070,4724.034690,4090.760144
tanh,78000,1,1.316281,4785.318204,4143.745107
tanh,79000,1,1.247061,4846.505543,4196.736833
tanh,80000,1,1.268971,4908.091462,4250.029349
tanh,81000,1,1.242386,4969.496370,4303.171011
tanh,82000,2,1.429701,5031.008815,4356.443622
tanh,83000,2,1.320039,5092.602440,4409.771403
tanh,84000,2,1.328684,5154.605181,4463.424839
tanh,85000,2,1.353909,5215.428774,4515.935585
tanh,86000,2,1.291399,5276.220173,4568.385377
tanh,87000,2,1.297240,5337.106410,4620.930050
tanh,88000,2,1.428606,5398.351136,4673.851122
tanh,89000,2,1.312570,5459.448586,4726.626976
tanh,90000,2,1.298640,5520.536948,4779.396761
tanh,91000,2,1.281813,5581.521317,4832.040203
tanh,92000,2,1.243528,5642.602796,4884.813724
tanh,93000,2,1.271149,5703.721834,4937.621022
tanh,94000,2,1.340624,5764.890572,4990.529143
tanh,95000,2,1.264676,5827.137366,5044.481024
tanh,96000,2,1.289083,5888.665006,5097.745760
tanh,97000,2,1.338899,5949.461649,5150.208074
tanh,98000,2,1.283209,6010.251853,5202.650191
tanh,99000,2,1.339003,6071.223142,5255.290019
tanh,100000,2,1.289507,6132.293997,5308.009425
tanh,101000,2,1.285716,6193.312738,5360.677736
tanh,102000,2,1.262573,6254.611105,5413.717148
tanh,103000,2,1.275177,6316.390026,5467.188419
tanh,104000,2,1.542122,6377.847401,5520.328924
tanh,105000,2,1.432299,6438.658694,5572.811593
tanh,106000,2,1.428477,6499.651856,5625.455222
tanh,107000,2,1.360485,6560.745666,5678.217031
tanh,108000,2,1.503399,6621.824480,5730.967586
tanh,109000,2,1.395973,6682.911982,5783.727679
tanh,110000,2,1.375041,6744.017998,5836.483845
tanh,111000,2,1.397590,6805.087417,5889.234782
tanh,112000,2,1.255049,6866.139986,5941.957110
tanh,113000,2,1.256214,6927.237145,5994.704705
tanh,114000,2,1.262602,6988.613127,6047.750168
tanh,115000,2,1.229237,7049.550769,6100.361632
tanh,116000,2,1.192243,7110.449372,6152.898219
tanh,117000,2,1.245380,7171.343154,6205.438162
tanh,118000,2,1.198989,7232.245008,6257.976207
tanh,119000,2,1.170050,7293.147042,6310.516832
tanh,120000,2,1.227719,7354.175552,6363.204526
tanh,121000,2,1.242804,7415.789556,6416.444535
tanh,122000,2,1.291469,7477.629077,6469.903142
tanh,123000,3,1.381834,7538.775104,6522.765649
tanh,124000,3,1.260321,7599.737432,6575.372187
tanh,125000,3,1.244912,7660.528033,6627.797951
tanh,126000,3,1.326305,7721.305387,6680.221776
tanh,127000,3,1.266756,7782.076389,6732.633602
tanh,128000,3,1.282933,7842.867416,6785.070225
tanh,129000,3,1.300318,7904.076927,6837.972360
tanh,130000,3,1.238207,7965.368677,6891.141963
tanh,131000,3,1.296128,8026.863439,6944.415432
tanh,132000,3,1.328990,8087.882606,6997.071530
tanh,133000,3,1.257617,8148.665475,7049.501407
tanh,134000,3,1.299546,8209.453679,7101.939072
tanh,135000,3,1.318915,8270.237019,7154.371181
tanh,136000,3,1.301361,8331.026587,7206.806289
tanh,137000,3,1.264809,8391.953875,7259.428448
tanh,138000,3,1.282306,8453.365900,7312.625758
tanh,139000,3,1.263698,8515.165786,7366.098027
tanh,140000,3,1.282923,8576.580757,7419.172135
tanh,141000,3,1.320631,8637.431919,7471.670828
tanh,142000,3,1.266903,8698.202660,7524.064343
tanh,143000,3,1.216296,8758.975685,7576.451976
tanh,144000,3,1.245434,8819.775776,7628.893918
tanh,145000,3,1.480297,8880.717400,7681.617480
tanh,146000,3,1.458805,8941.890583,7734.580792
tanh,147000,3,1.367091,9002.931554,7787.539741
tanh,148000,3,1.393657,9064.385335,7840.768571
tanh,149000,3,1.379299,9125.627373,7893.829686
tanh,150000,3,1.386360,9187.149898,7947.117856
tanh,151000,3,1.404451,9248.057032,7999.866908
tanh,152000,3,1.280118,9308.841931,8052.291134
tanh,153000,3,1.241712,9369.630127,8104.735853
tanh,154000,3,1.167779,9430.412339,8157.153073
tanh,155000,3,1.245974,9491.204354,8209.596060
tanh,156000,3,1.210231,9552.172482,8262.339279
tanh,157000,3,1.173155,9613.080708,8315.050952
tanh,158000,3,1.280400,9674.044470,8367.793361
tanh,159000,3,1.162785,9735.364426,8420.938420
tanh,160000,3,1.247528,9797.076100,8474.254862
tanh,161000,3,1.151411,9858.628990,8527.392681
tanh,162000,3,1.194333,9920.259088,8580.613362
tanh,163000,4,1.280387,9981.899974,8633.832587
tanh,164000,4,1.263869,10043.439780,8686.921865
tanh,165000,4,1.290271,10105.066068,8740.120780
tanh,166000,4,1.267239,10166.731645,8793.354057
tanh,167000,4,1.327699,10228.563500,8846.728104
tanh,168000,4,1.280797,10290.183145,8899.914947
tanh,169000,4,1.236163,10351.908163,8953.245763
tanh,170000,4,1.225615,10413.458748,9006.454071
tanh,171000,4,1.219384,10474.323390,9058.939549
tanh,172000,4,1.281788,10535.155890,9111.396508
tanh,173000,4,1.210697,10595.969678,9163.852501
tanh,174000,4,1.287842,10657.025959,9216.653693
tanh,175000,4,1.343291,10718.404373,9269.751994
tanh,176000,4,1.263187,10780.053332,9323.092836
tanh,177000,4,1.293983,10841.722133,9376.360726
tanh,178000,4,1.249408,10903.228151,9429.465808
tanh,179000,4,1.191727,10965.020411,9482.813278
tanh,180000,4,1.273075,11026.717937,9536.125367
tanh,181000,4,1.234352,11088.514437,9589.480880
tanh,182000,4,1.279028,11150.304900,9642.833564
tanh,183000,4,1.279536,11212.093082,9696.209545
tanh,184000,4,1.286074,11273.894274,9749.575978
tanh,185000,4,1.355969,11335.702957,9802.937025
tanh,186000,4,1.432922,11397.475342,9856.267174
tanh,187000,4,1.396532,11458.523065,9909.126279
tanh,188000,4,1.335018,11519.350477,9961.589997
tanh,189000,4,1.413631,11580.168513,10014.045579
tanh,190000,4,1.338987,11641.053478,10066.625665
tanh,191000,4,1.309817,11702.228718,10119.672108
tanh,192000,4,1.329800,11763.844859,10172.960972
tanh,193000,4,1.273751,11825.522241,10226.232844
tanh,194000,4,1.205168,11887.196520,10279.521311
tanh,195000,4,1.189591,11948.768355,10332.712671
tanh,196000,4,1.200170,12010.380197,10385.951160
tanh,197000,4,1.157254,12071.931851,10439.117359
tanh,198000,4,1.138304,12133.591523,10492.480136
tanh,199000,4,1.235363,12194.413951,10544.941615
