func,type,layers,neurons,iteration,epoc,loss,forward_cpu,forward_time,back_cpu,back_time,adam_cpu,adam_time
tanh,Single-threaded,4,128,0,0,4.538687,0.163988,0.164087,0.107758,0.107978,0.008496,0.008498
tanh,Single-threaded,4,128,1000,0,2.412677,52.201343,52.247481,98.460212,98.698755,4.805388,4.808704
tanh,Single-threaded,4,128,2000,0,2.142185,104.944149,105.062629,196.118490,196.638614,9.710576,9.720402
tanh,Single-threaded,4,128,3000,0,1.949901,157.979830,158.144502,294.325815,295.080504,14.593913,14.607780
tanh,Single-threaded,4,128,4000,0,1.841641,211.165771,211.396571,392.856770,393.891459,19.495562,19.514364
tanh,Single-threaded,4,128,5000,0,1.820291,264.527855,264.854840,491.237057,492.614171,24.383197,24.409760
tanh,Single-threaded,4,128,6000,0,1.720999,318.288862,318.666239,587.716566,589.332096,29.338581,29.368004
tanh,Single-threaded,4,128,7000,0,1.729158,371.877611,372.296181,686.021371,687.860459,34.226404,34.258894
tanh,Single-threaded,4,128,8000,0,1.668218,424.326791,424.779617,781.699825,783.741914,38.992577,39.027280
tanh,Single-threaded,4,128,9000,0,1.614195,476.845365,477.340943,875.459553,877.715059,43.746222,43.783305
tanh,Single-threaded,4,128,10000,0,1.570764,529.291649,529.824080,969.528304,971.994965,48.528813,48.568227
tanh,Single-threaded,4,128,11000,0,1.635949,581.766898,582.335877,1063.405755,1066.081504,53.308485,53.350060
tanh,Single-threaded,4,128,12000,0,1.672668,634.076181,634.681293,1157.178585,1160.063190,58.064787,58.108645
tanh,Single-threaded,4,128,13000,0,1.677589,686.382617,687.024575,1250.960092,1254.056550,62.797051,62.843270
tanh,Single-threaded,4,128,14000,0,1.665734,738.762429,739.441014,1344.707667,1348.012527,67.527414,67.575801
tanh,Single-threaded,4,128,15000,0,1.606940,791.175087,791.890680,1438.348792,1441.863921,72.267226,72.317707
tanh,Single-threaded,4,128,16000,0,1.551314,843.539452,844.293392,1532.003352,1535.730084,77.016095,77.068875
tanh,Single-threaded,4,128,17000,0,1.548084,895.727829,896.520565,1625.880868,1629.822188,81.730007,81.785273
tanh,Single-threaded,4,128,18000,0,1.500057,947.961576,948.791683,1719.948693,1724.104607,86.464027,86.521709
