Func,Iteration,Epoc,Loss,FWtime,BWtime
tanh,0,0,4.617793,0.139439,0.049095
tanh,1000,0,2.403725,49.041669,51.326626
tanh,2000,0,2.127442,98.612878,105.206950
tanh,3000,0,1.935778,148.158150,158.588076
tanh,4000,0,1.832433,198.044258,213.511778
tanh,5000,0,1.813425,247.545923,267.185639
tanh,6000,0,1.719278,297.830698,323.309474
tanh,7000,0,1.727666,348.861697,381.484083
tanh,8000,0,1.660382,398.085095,434.602910
tanh,9000,0,1.609141,447.049858,486.455414
tanh,10000,0,1.570016,497.884481,543.746254
tanh,11000,0,1.623364,547.260189,596.964340
tanh,12000,0,1.658180,596.098124,648.282187
tanh,13000,0,1.665829,645.928525,702.522986
tanh,14000,0,1.654048,696.048696,757.877615
tanh,15000,0,1.602514,745.195736,810.854976
tanh,16000,0,1.543155,794.819330,864.959388
tanh,17000,0,1.537120,844.084005,918.058800
tanh,18000,0,1.493620,893.958789,972.966672
tanh,19000,0,1.520369,943.035592,1025.473895
tanh,20000,0,1.547055,992.748740,1080.122382
tanh,21000,0,1.465853,1041.760667,1132.375831
tanh,22000,0,1.441095,1092.465731,1189.902293
tanh,23000,0,1.735578,1142.380079,1244.851508
tanh,24000,0,1.635616,1192.222563,1299.595774
tanh,25000,0,1.603445,1242.281282,1354.414739
tanh,26000,0,1.601777,1291.563536,1407.140763
tanh,27000,0,1.572119,1340.976059,1460.572929
tanh,28000,0,1.568003,1390.098665,1513.186894
tanh,29000,0,1.587394,1439.032366,1564.904209
tanh,30000,0,1.490900,1488.215718,1617.300577
tanh,31000,0,1.429693,1537.499341,1670.433130
tanh,32000,0,1.422201,1588.099633,1727.249265
tanh,33000,0,1.374776,1636.828054,1778.363379
tanh,34000,0,1.395249,1687.562007,1834.980531
tanh,35000,0,1.390744,1736.963286,1888.070595
tanh,36000,0,1.401164,1786.562651,1942.720710
tanh,37000,0,1.314072,1835.887871,1995.518891
tanh,38000,0,1.341963,1884.718775,2047.545985
tanh,39000,0,1.313305,1934.769838,2103.072101
tanh,40000,0,1.339363,1984.651986,2157.877033
tanh,41000,1,1.428563,2033.948957,2210.911406
tanh,42000,1,1.411360,2084.115497,2266.477334
tanh,43000,1,1.435446,2135.617623,2326.653620
tanh,44000,1,1.354880,2186.158026,2383.774632
tanh,45000,1,1.481844,2236.316655,2439.127950
tanh,46000,1,1.404921,2286.098728,2493.890578
tanh,47000,1,1.393519,2336.237789,2549.970111
tanh,48000,1,1.330739,2385.288263,2602.235108
tanh,49000,1,1.410753,2434.824503,2655.831604
tanh,50000,1,1.344917,2484.001615,2708.287918
tanh,51000,1,1.364104,2533.119254,2760.492440
tanh,52000,1,1.285532,2582.642849,2813.936044
tanh,53000,1,1.448166,2631.840685,2866.656506
tanh,54000,1,1.428715,2680.987491,2919.050571
tanh,55000,1,1.403084,2729.558115,2969.704852
tanh,56000,1,1.403121,2778.378993,3020.908739
tanh,57000,1,1.350214,2828.261503,3075.117945
tanh,58000,1,1.387743,2879.125538,3132.510314
tanh,59000,1,1.291500,2928.358125,3185.173792
tanh,60000,1,1.364715,2978.122367,3239.621925
tanh,61000,1,1.336570,3027.287070,3292.415059
tanh,62000,1,1.354025,3076.662901,3345.228729
tanh,63000,1,1.573112,3126.165359,3398.678055
tanh,64000,1,1.562393,3175.193250,3450.178667
tanh,65000,1,1.430742,3224.907049,3504.238714
tanh,66000,1,1.428567,3274.584168,3558.210224
tanh,67000,1,1.487183,3324.362016,3612.287641
tanh,68000,1,1.414326,3374.283211,3666.256271
tanh,69000,1,1.467024,3423.994871,3720.271143
tanh,70000,1,1.376778,3474.568546,3777.056182
tanh,71000,1,1.315273,3524.321476,3830.881096
tanh,72000,1,1.297944,3574.432091,3885.862631
tanh,73000,1,1.279190,3624.126809,3940.367991
tanh,74000,1,1.294935,3674.482476,3996.387423
tanh,75000,1,1.246542,3724.974723,4052.478933
tanh,76000,1,1.234768,3773.931282,4103.513347
tanh,77000,1,1.334369,3822.723690,4154.867610
tanh,78000,1,1.312610,3872.639518,4209.324355
tanh,79000,1,1.238173,3921.593678,4261.337251
tanh,80000,1,1.251137,3970.325901,4312.559701
tanh,81000,1,1.239789,4021.603126,4370.725915
tanh,82000,2,1.423679,4070.157369,4421.510180
tanh,83000,2,1.304363,4118.486102,4472.088588
tanh,84000,2,1.315861,4167.739975,4525.345281
tanh,85000,2,1.347868,4216.853150,4578.033466
tanh,86000,2,1.282965,4268.010728,4637.019655
tanh,87000,2,1.291907,4318.092788,4691.969694
tanh,88000,2,1.416958,4367.061799,4744.192254
tanh,89000,2,1.298015,4416.771573,4797.757644
tanh,90000,2,1.285834,4467.629662,4854.810339
tanh,91000,2,1.269276,4517.793835,4910.208466
tanh,92000,2,1.223784,4568.071302,4965.692796
tanh,93000,2,1.257780,4616.986740,5017.310187
tanh,94000,2,1.336684,4666.634670,5070.857212
tanh,95000,2,1.253942,4716.419368,5124.891493
tanh,96000,2,1.281451,4765.687366,5177.215311
tanh,97000,2,1.328567,4814.611828,5229.205410
tanh,98000,2,1.274441,4863.979843,5282.238537
tanh,99000,2,1.321393,4913.356942,5335.479759
tanh,100000,2,1.270413,4963.802671,5391.006103
tanh,101000,2,1.269140,5013.530037,5445.312189
tanh,102000,2,1.257418,5062.831990,5498.512915
tanh,103000,2,1.268191,5112.468561,5552.234000
tanh,104000,2,1.527848,5162.467609,5607.041174
tanh,105000,2,1.418073,5211.710698,5659.875338
tanh,106000,2,1.410124,5262.783003,5718.214762
tanh,107000,2,1.340297,5311.944307,5770.285893
tanh,108000,2,1.497198,5363.237226,5828.918748
tanh,109000,2,1.382231,5412.687462,5882.294420
tanh,110000,2,1.363222,5462.961849,5937.891745
tanh,111000,2,1.391830,5512.333107,5990.972145
tanh,112000,2,1.244746,5561.587961,6043.590576
tanh,113000,2,1.251552,5610.501078,6095.734155
tanh,114000,2,1.246608,5660.117776,6149.634597
tanh,115000,2,1.220290,5709.601848,6202.989381
tanh,116000,2,1.182134,5759.260438,6257.182010
tanh,117000,2,1.235191,5809.929788,6314.180737
tanh,118000,2,1.187497,5860.042907,6369.326967
tanh,119000,2,1.158421,5909.781230,6423.522190
tanh,120000,2,1.220493,5959.363701,6477.508274
tanh,121000,2,1.229517,6008.970711,6530.786554
tanh,122000,2,1.278904,6058.236078,6583.224064
tanh,123000,3,1.362427,6108.351734,6638.516874
tanh,124000,3,1.247394,6158.152054,6692.816358
tanh,125000,3,1.227424,6207.177890,6744.514383
tanh,126000,3,1.313928,6256.487949,6797.216607
tanh,127000,3,1.256702,6307.802574,6855.274796
tanh,128000,3,1.272467,6356.712317,6907.277221
tanh,129000,3,1.290037,6405.227055,6957.875517
tanh,130000,3,1.228277,6453.877909,7008.749769
tanh,131000,3,1.281433,6502.894255,7060.955277
tanh,132000,3,1.312421,6551.732408,7112.034874
tanh,133000,3,1.247672,6601.972841,7167.258249
tanh,134000,3,1.294874,6650.281725,7217.762197
tanh,135000,3,1.309350,6699.842579,7271.449430
tanh,136000,3,1.292438,6748.306502,7321.979302
tanh,137000,3,1.257281,6797.021715,7373.073533
tanh,138000,3,1.273625,6845.519098,7423.726155
tanh,139000,3,1.249830,6895.581488,7478.880146
tanh,140000,3,1.263230,6945.217138,7532.951865
tanh,141000,3,1.310198,6995.625113,7589.022718
tanh,142000,3,1.258542,7044.786051,7641.496230
tanh,143000,3,1.202629,7094.531051,7695.711204
tanh,144000,3,1.235299,7144.132441,7749.475377
tanh,145000,3,1.469912,7193.719809,7803.216898
tanh,146000,3,1.445770,7243.018194,7855.851357
tanh,147000,3,1.350124,7292.739750,7909.963668
tanh,148000,3,1.372483,7341.795627,7962.137814
tanh,149000,3,1.364278,7391.445890,8015.738828
tanh,150000,3,1.369643,7442.197755,8072.506953
tanh,151000,3,1.398211,7492.563093,8128.495614
tanh,152000,3,1.277922,7542.194518,8182.362597
tanh,153000,3,1.235881,7593.670614,8240.737230
tanh,154000,3,1.153754,7642.977680,8293.423708
tanh,155000,3,1.240469,7692.680102,8347.540852
tanh,156000,3,1.194226,7743.062776,8403.487165
tanh,157000,3,1.160601,7793.206049,8458.876461
tanh,158000,3,1.264223,7843.722361,8515.062780
tanh,159000,3,1.143134,7893.537611,8569.541407
tanh,160000,3,1.242181,7942.974162,8623.303475
tanh,161000,3,1.140009,7992.345477,8676.844212
tanh,162000,3,1.185681,8041.723878,8729.868068
tanh,163000,4,1.271213,8091.824590,8785.052114
tanh,164000,4,1.260300,8140.869316,8837.105125
tanh,165000,4,1.276504,8190.385359,8890.859500
tanh,166000,4,1.255223,8239.181327,8942.425768
tanh,167000,4,1.315272,8288.020914,8993.906447
tanh,168000,4,1.273466,8337.240902,9046.630801
tanh,169000,4,1.225088,8386.436028,9098.796447
