Func,Iteration,Epoc,Loss,FWtime,BWtime
tanh,0,0,4.512695,0.171733,0.119193
tanh,1000,0,2.382701,59.073388,112.866069
tanh,2000,0,2.143953,118.519503,226.718428
tanh,3000,0,1.968878,178.046133,339.254637
tanh,4000,0,1.844611,237.263603,451.173910
tanh,5000,0,1.823186,296.701032,562.638364
tanh,6000,0,1.737095,355.995560,674.797486
tanh,7000,0,1.728549,414.756438,785.425275
tanh,8000,0,1.675442,473.033218,893.069542
tanh,9000,0,1.619550,531.307555,1000.327500
tanh,10000,0,1.573122,589.735934,1107.456324
tanh,11000,0,1.641269,648.033775,1214.860178
tanh,12000,1,1.570842,706.737779,1323.430346
tanh,13000,1,1.527348,765.254660,1431.871297
tanh,14000,1,1.549716,823.517154,1539.365266
tanh,15000,1,1.473660,881.913970,1646.963207
tanh,16000,1,1.485193,940.426152,1754.647724
tanh,17000,1,1.480741,998.919255,1862.374738
tanh,18000,1,1.483917,1057.605452,1971.094623
tanh,19000,1,1.428886,1116.059759,2078.492612
tanh,20000,1,1.438548,1174.598099,2186.198366
tanh,21000,1,1.544987,1232.794862,2293.769858
tanh,22000,1,1.364601,1291.090010,2401.783850
tanh,23000,1,1.449493,1349.630797,2509.497307
tanh,24000,2,1.418177,1407.830813,2616.889554
tanh,25000,2,1.401018,1466.470767,2724.499793
tanh,26000,2,1.417497,1525.141917,2832.901062
tanh,27000,2,1.414797,1583.323873,2940.676374
tanh,28000,2,1.449010,1641.571821,3048.454732
tanh,29000,2,1.405820,1699.818686,3155.915166
tanh,30000,2,1.416646,1758.114792,3263.315123
tanh,31000,2,1.377451,1816.420976,3370.830775
tanh,32000,2,1.349920,1874.630201,3477.815964
tanh,33000,2,1.417201,1932.972670,3585.132280
tanh,34000,2,1.324276,1991.411428,3692.917332
tanh,35000,2,1.434555,2049.788398,3801.125180
tanh,36000,3,1.325310,2108.157736,3908.830924
tanh,37000,3,1.333563,2166.529560,4016.726134
tanh,38000,3,1.361899,2225.032359,4124.849686
tanh,39000,3,1.315403,2284.047636,4233.039953
tanh,40000,3,1.452377,2342.797084,4341.536556
tanh,41000,3,1.320931,2401.381836,4449.664228
tanh,42000,3,1.386055,2460.138996,4557.391163
tanh,43000,3,1.295882,2518.739279,4665.460712
tanh,44000,3,1.298892,2577.518037,4773.432589
tanh,45000,3,1.330444,2636.056589,4881.986538
tanh,46000,3,1.294350,2694.563032,4990.295183
tanh,47000,3,1.287429,2753.110003,5098.602989
tanh,48000,4,1.267508,2811.572695,5206.683177
tanh,49000,4,1.286848,2870.207749,5315.202275
tanh,50000,4,1.303644,2928.832753,5423.583342
tanh,51000,4,1.250142,2987.504769,5532.219364
tanh,52000,4,1.411103,3046.261144,5640.578471
tanh,53000,4,1.310743,3104.812024,5749.041533
tanh,54000,4,1.305597,3163.545841,5857.672324
tanh,55000,4,1.255223,3222.628893,5966.140818
tanh,56000,4,1.355885,3282.962633,6077.478890
tanh,57000,4,1.289193,3342.219881,6186.343172
tanh,58000,4,1.264071,3401.568950,6295.800931
tanh,59000,4,1.185635,3460.434622,6404.515399
tanh,60000,5,1.242216,3519.174530,6512.992047
tanh,61000,5,1.254232,3577.864682,6620.735030
tanh,62000,5,1.324804,3636.636308,6729.234171
tanh,63000,5,1.302703,3695.338724,6836.915821
tanh,64000,5,1.309241,3753.907481,6944.662811
tanh,65000,5,1.247183,3812.502897,7052.640730
tanh,66000,5,1.313655,3871.462222,7161.001003
tanh,67000,5,1.271839,3930.503907,7269.820058
tanh,68000,5,1.299819,3989.227050,7377.817368
tanh,69000,5,1.237017,4047.775199,7485.300904
tanh,70000,5,1.200583,4106.305764,7592.798415
tanh,71000,5,1.220381,4164.702700,7700.378093
tanh,72000,6,1.289375,4223.114019,7807.887777
tanh,73000,6,1.261012,4281.568539,7915.344431
tanh,74000,6,1.232761,4340.076495,8022.356686
tanh,75000,6,1.295862,4398.614854,8130.433703
tanh,76000,6,1.255019,4457.153048,8237.894710
tanh,77000,6,1.219331,4515.510446,8345.668924
tanh,78000,6,1.356028,4573.850197,8453.262112
tanh,79000,6,1.206473,4632.444844,8560.841649
tanh,80000,6,1.256956,4691.181904,8669.635415
tanh,81000,6,1.167720,4749.628823,8777.450060
tanh,82000,6,1.167605,4808.312920,8885.369651
tanh,83000,6,1.183258,4866.765717,8993.308024
tanh,84000,7,1.320207,4925.193230,9101.112667
