func,type,layers,neurons,iteration,epoc,loss,forward_cpu,forward_time,back_cpu,back_time,adam_cpu,adam_time
tanh,Multi-threaded,1,16,0,0,4.455248,0.025143,0.034855,0.008792,0.011733,0.000192,0.000227
tanh,Multi-threaded,1,16,100,0,4.382970,0.727626,1.000842,0.695154,0.954797,0.013157,0.015457
tanh,Multi-threaded,1,16,200,0,4.020411,1.422288,1.962944,1.375630,1.900105,0.026517,0.031545
tanh,Multi-threaded,1,16,300,0,3.681481,2.117021,2.925244,2.053470,2.836376,0.039031,0.046422
tanh,Multi-threaded,1,16,400,0,3.441121,2.813180,3.885005,2.734297,3.774511,0.051907,0.061794
tanh,Multi-threaded,1,16,500,0,3.293453,3.509803,4.850375,3.413688,4.717219,0.064660,0.076985
tanh,Multi-threaded,1,16,600,0,3.199877,4.204980,5.811183,4.095103,5.665410,0.077130,0.091921
tanh,Multi-threaded,1,16,700,0,3.141746,4.905586,6.776527,4.782626,6.614560,0.090007,0.106938
tanh,Multi-threaded,1,16,800,0,3.158211,5.604893,7.739194,5.464826,7.554310,0.103254,0.122852
tanh,Multi-threaded,1,16,900,0,3.090459,6.300230,8.701075,6.141444,8.490211,0.115761,0.137818
tanh,Multi-threaded,1,16,1000,0,3.074963,6.994482,9.660845,6.818713,9.428078,0.128473,0.153154
tanh,Multi-threaded,1,32,0,0,4.495043,0.021792,0.031598,0.007111,0.009797,0.000131,0.000174
tanh,Multi-threaded,1,32,100,0,4.417060,0.731706,1.023266,0.708934,0.987749,0.012465,0.015761
tanh,Multi-threaded,1,32,200,0,3.953242,1.436446,2.016603,1.410375,1.968121,0.024777,0.031483
tanh,Multi-threaded,1,32,300,0,3.536818,2.141984,3.004551,2.106928,2.942882,0.037733,0.047699
tanh,Multi-threaded,1,32,400,0,3.299229,2.847394,3.992664,2.807068,3.921471,0.050123,0.063561
tanh,Multi-threaded,1,32,500,0,3.170523,3.554987,4.985626,3.506623,4.895098,0.062385,0.079569
tanh,Multi-threaded,1,32,600,0,3.100628,4.265012,5.981060,4.210478,5.877894,0.075090,0.096206
tanh,Multi-threaded,1,32,700,0,3.055279,4.973299,6.974913,4.910400,6.855660,0.088094,0.112713
tanh,Multi-threaded,1,32,800,0,3.081743,5.674668,7.960563,5.610575,7.837607,0.100701,0.128891
