func,type,layers,neurons,iteration,epoc,loss,forward_cpu,forward_time,back_cpu,back_time,adam_cpu,adam_time
tanh,Multi-threaded,1,16,0,0,4.459129,0.029070,0.017664,0.008857,0.005449,0.000145,0.000082
tanh,Multi-threaded,1,16,100,0,4.415545,0.578505,0.499598,0.521895,0.472806,0.009064,0.005969
tanh,Multi-threaded,1,16,200,0,4.297095,1.123920,0.986790,1.033209,0.945060,0.018200,0.011999
tanh,Multi-threaded,1,16,300,0,3.943372,1.650754,1.468357,1.533048,1.413173,0.027066,0.017889
tanh,Multi-threaded,1,16,400,0,3.569620,2.179584,1.949434,2.031425,1.881116,0.035817,0.023759
tanh,Multi-threaded,1,16,500,0,3.333158,2.708112,2.428142,2.530553,2.348447,0.044577,0.029554
tanh,Multi-threaded,1,16,600,0,3.202118,3.268376,2.887324,3.056984,2.794105,0.053746,0.035257
tanh,Multi-threaded,1,16,700,0,3.128451,3.805257,3.371194,3.562489,3.262520,0.062660,0.041114
tanh,Multi-threaded,1,16,800,0,3.138487,4.336779,3.853133,4.062915,3.731871,0.071428,0.046953
tanh,Multi-threaded,1,16,900,0,3.062075,4.868097,4.335967,4.566688,4.199740,0.080179,0.052762
tanh,Multi-threaded,1,16,1000,0,3.040619,5.398766,4.818692,5.067853,4.668678,0.088874,0.058589
tanh,Multi-threaded,1,32,0,0,4.443331,0.032291,0.019351,0.010219,0.006133,0.000242,0.000096
tanh,Multi-threaded,1,32,100,0,4.373349,0.709972,0.529939,0.632781,0.495071,0.011866,0.006514
tanh,Multi-threaded,1,32,200,0,3.907852,1.377789,1.039649,1.249401,0.985296,0.023377,0.012929
tanh,Multi-threaded,1,32,300,0,3.503617,2.048148,1.549652,1.869292,1.477689,0.035193,0.019463
tanh,Multi-threaded,1,32,400,0,3.276494,2.718524,2.057131,2.487234,1.965603,0.046728,0.025857
tanh,Multi-threaded,1,32,500,0,3.153576,3.385811,2.565294,3.104895,2.456376,0.058245,0.032289
tanh,Multi-threaded,1,32,600,0,3.086242,4.053462,3.075332,3.721608,2.946916,0.069746,0.038711
tanh,Multi-threaded,1,32,700,0,3.037474,4.729270,3.586468,4.343795,3.439332,0.081560,0.045264
tanh,Multi-threaded,1,32,800,0,3.060793,5.400443,4.095289,4.961954,3.930060,0.093068,0.051676
tanh,Multi-threaded,1,32,900,0,2.980468,6.069763,4.601345,5.579668,4.417121,0.104607,0.058074
tanh,Multi-threaded,1,32,1000,0,2.963284,6.741126,5.111344,6.198247,4.908142,0.116162,0.064536
tanh,Multi-threaded,1,64,0,0,4.423023,0.038672,0.021782,0.012345,0.007461,0.000397,0.000139
tanh,Multi-threaded,1,64,100,0,4.086754,1.027319,0.688485,0.919788,0.577356,0.024176,0.011026
tanh,Multi-threaded,1,64,200,0,3.548682,2.013786,1.355067,1.832502,1.149417,0.048057,0.022071
tanh,Multi-threaded,1,64,300,0,3.286593,2.993416,2.022743,2.737516,1.720227,0.071666,0.032961
tanh,Multi-threaded,1,64,400,0,3.146751,3.983274,2.688874,3.648215,2.289559,0.095411,0.043746
tanh,Multi-threaded,1,64,500,0,3.065363,4.967241,3.353530,4.553588,2.858476,0.118875,0.054518
tanh,Multi-threaded,1,64,600,0,3.005432,5.949045,4.019709,5.460879,3.427952,0.142696,0.065351
tanh,Multi-threaded,1,64,700,0,2.952071,6.930560,4.686452,6.367149,3.996300,0.166416,0.076232
tanh,Multi-threaded,1,64,800,0,2.963716,7.914551,5.356088,7.274005,4.566273,0.190083,0.087108
tanh,Multi-threaded,1,64,900,0,2.876013,8.902336,6.018077,8.187667,5.136113,0.214110,0.097918
tanh,Multi-threaded,1,64,1000,0,2.848946,9.884038,6.685593,9.090938,5.703961,0.237640,0.108751
tanh,Multi-threaded,1,100,0,0,4.481978,0.051486,0.025949,0.017678,0.009006,0.000573,0.000176
tanh,Multi-threaded,1,100,100,0,3.988672,1.614024,0.822697,1.375943,0.797490,0.049001,0.020970
tanh,Multi-threaded,1,100,200,0,3.472998,3.157457,1.621819,2.725432,1.580322,0.096004,0.041356
tanh,Multi-threaded,1,100,300,0,3.249433,4.712138,2.420796,4.089170,2.369165,0.144543,0.062175
tanh,Multi-threaded,1,100,400,0,3.124037,6.264772,3.221682,5.435329,3.154488,0.192755,0.082794
tanh,Multi-threaded,1,100,500,0,3.041845,7.821493,4.023840,6.803488,3.947013,0.241283,0.102829
tanh,Multi-threaded,1,100,600,0,2.977783,9.373198,4.826691,8.157774,4.732818,0.289127,0.123145
tanh,Multi-threaded,1,100,700,0,2.917901,10.929835,5.625755,9.503566,5.514451,0.336415,0.144066
tanh,Multi-threaded,1,100,800,0,2.927871,12.471604,6.421630,10.853340,6.296569,0.383971,0.164577
tanh,Multi-threaded,1,100,900,0,2.834525,14.029701,7.219882,12.211300,7.085419,0.432289,0.185661
tanh,Multi-threaded,1,100,1000,0,2.801120,15.598438,8.019055,13.569408,7.874326,0.480459,0.206624
tanh,Multi-threaded,1,128,0,0,4.444840,0.066479,0.030769,0.022555,0.010372,0.000733,0.000200
tanh,Multi-threaded,1,128,100,0,3.838389,2.073177,0.997978,1.858867,1.028887,0.070685,0.028536
tanh,Multi-threaded,1,128,200,0,3.388278,4.075646,1.963538,3.708111,2.050105,0.142136,0.056708
tanh,Multi-threaded,1,128,300,0,3.195078,6.077244,2.922576,5.551921,3.072686,0.213046,0.085351
tanh,Multi-threaded,1,128,400,0,3.072311,8.079703,3.882960,7.394838,4.091716,0.285932,0.113476
tanh,Multi-threaded,1,128,500,0,2.989984,10.082564,4.841867,9.238207,5.111204,0.356049,0.141304
tanh,Multi-threaded,1,128,600,0,2.916157,12.086945,5.806359,11.082808,6.133171,0.427168,0.170784
tanh,Multi-threaded,1,128,700,0,2.849628,14.078371,6.777273,12.922491,7.154586,0.497237,0.199292
tanh,Multi-threaded,1,128,800,0,2.859704,16.073845,7.742747,14.759939,8.175070,0.567647,0.227337
tanh,Multi-threaded,1,128,900,0,2.757505,18.083073,8.711036,16.602939,9.194872,0.638686,0.256182
