func,type,layers,neurons,iteration,epoc,loss,forward_cpu,forward_time,back_cpu,back_time,adam_cpu,adam_time
tanh,Multi-threaded,1,16,0,0,4.444787,0.019417,0.011568,0.005551,0.003596,0.000147,0.000082
tanh,Multi-threaded,1,16,100,0,4.378039,0.587053,0.381599,0.571925,0.374430,0.020836,0.010576
tanh,Multi-threaded,1,16,200,0,4.115126,1.158811,0.754384,1.145281,0.754247,0.040304,0.019826
tanh,Multi-threaded,1,16,300,0,3.805022,1.727681,1.124809,1.712924,1.130453,0.060031,0.030297
tanh,Multi-threaded,1,16,400,0,3.554536,2.306866,1.500393,2.293586,1.520269,0.080470,0.040209
tanh,Multi-threaded,1,16,500,0,3.375127,2.894587,1.885930,2.880783,1.909700,0.100330,0.049580
tanh,Multi-threaded,1,16,600,0,3.253181,3.495704,2.277036,3.478960,2.305678,0.121374,0.059534
tanh,Multi-threaded,1,16,700,0,3.169418,4.087856,2.664866,4.069854,2.690643,0.142063,0.069203
tanh,Multi-threaded,1,16,800,0,3.165656,4.664960,3.040526,4.646072,3.070930,0.162990,0.078830
tanh,Multi-threaded,1,16,900,0,3.087325,5.242513,3.413431,5.222166,3.450878,0.183176,0.088540
tanh,Multi-threaded,1,16,1000,0,3.068089,5.823274,3.788364,5.801013,3.833090,0.203105,0.098460
tanh,Multi-threaded,1,32,0,0,4.442946,0.020422,0.012224,0.007049,0.004292,0.000354,0.000133
tanh,Multi-threaded,1,32,100,0,4.370110,0.696159,0.416135,0.680176,0.419368,0.030529,0.011249
tanh,Multi-threaded,1,32,200,0,3.959348,1.371191,0.820982,1.353932,0.837379,0.058150,0.021849
tanh,Multi-threaded,1,32,300,0,3.584394,2.052821,1.225498,2.026935,1.252265,0.086890,0.032305
tanh,Multi-threaded,1,32,400,0,3.321538,2.728133,1.629552,2.698171,1.665039,0.114337,0.042332
tanh,Multi-threaded,1,32,500,0,3.166768,3.402371,2.029360,3.372081,2.084311,0.143495,0.053467
tanh,Multi-threaded,1,32,600,0,3.075514,4.080704,2.434404,4.045312,2.501820,0.172907,0.064697
tanh,Multi-threaded,1,32,700,0,3.015945,4.755521,2.840006,4.715882,2.916616,0.201476,0.075159
tanh,Multi-threaded,1,32,800,0,3.026890,5.433248,3.241316,5.390403,3.334751,0.232501,0.086079
tanh,Multi-threaded,1,32,900,0,2.939029,6.106622,3.643206,6.065256,3.747947,0.261253,0.096348
tanh,Multi-threaded,1,32,1000,0,2.909239,6.783102,4.046787,6.736918,4.158523,0.290228,0.106550
tanh,Multi-threaded,1,64,0,0,4.446850,0.030338,0.014927,0.011158,0.005623,0.000899,0.000261
tanh,Multi-threaded,1,64,100,0,4.104453,0.983130,0.493268,1.017449,0.512398,0.065478,0.017422
tanh,Multi-threaded,1,64,200,0,3.549960,1.933320,0.971262,2.016644,1.017122,0.130288,0.033948
tanh,Multi-threaded,1,64,300,0,3.282363,2.883248,1.447953,3.014214,1.524943,0.193481,0.050283
tanh,Multi-threaded,1,64,400,0,3.143805,3.840713,1.939182,4.022843,2.044310,0.255876,0.066013
tanh,Multi-threaded,1,64,500,0,3.062820,4.798916,2.429260,5.033742,2.564820,0.320035,0.082817
tanh,Multi-threaded,1,64,600,0,3.004575,5.748269,2.906451,6.028075,3.064713,0.385163,0.099516
tanh,Multi-threaded,1,64,700,0,2.952178,6.709617,3.391650,7.032191,3.571420,0.451641,0.116789
tanh,Multi-threaded,1,64,800,0,2.964194,7.667176,3.874407,8.040901,4.077712,0.514906,0.133132
tanh,Multi-threaded,1,64,900,0,2.872530,8.622201,4.359038,9.051257,4.595511,0.579979,0.150968
tanh,Multi-threaded,1,64,1000,0,2.845080,9.581428,4.844576,10.055700,5.105496,0.645737,0.170475
tanh,Multi-threaded,1,100,0,0,4.453251,0.045115,0.018995,0.015927,0.006640,0.002417,0.000631
tanh,Multi-threaded,1,100,100,0,3.952396,1.432168,0.619495,1.514312,0.653306,0.134188,0.033647
tanh,Multi-threaded,1,100,200,0,3.450585,2.820902,1.217912,3.015403,1.301735,0.267642,0.066298
tanh,Multi-threaded,1,100,300,0,3.230176,4.202963,1.815804,4.513607,1.942208,0.399638,0.097910
tanh,Multi-threaded,1,100,400,0,3.101092,5.582007,2.412917,6.003289,2.579766,0.530102,0.128861
tanh,Multi-threaded,1,100,500,0,3.019004,6.960063,3.007857,7.487418,3.213613,0.659961,0.161013
tanh,Multi-threaded,1,100,600,0,2.956289,8.348608,3.606172,8.973638,3.854035,0.792184,0.192392
tanh,Multi-threaded,1,100,700,0,2.893893,9.734474,4.205169,10.463743,4.497384,0.924363,0.223962
tanh,Multi-threaded,1,100,800,0,2.909338,11.128113,4.807712,11.976468,5.148627,1.051938,0.254726
tanh,Multi-threaded,1,100,900,0,2.817040,12.511373,5.402988,13.474674,5.793891,1.182994,0.287049
tanh,Multi-threaded,1,100,1000,0,2.788294,13.902114,6.006950,14.972166,6.436250,1.315467,0.319511
tanh,Multi-threaded,1,128,0,0,4.455812,0.055457,0.022510,0.022437,0.009389,0.003813,0.000905
tanh,Multi-threaded,1,128,100,0,3.874459,1.817443,0.736400,2.006827,0.807221,0.193787,0.046551
tanh,Multi-threaded,1,128,200,0,3.400876,3.603122,1.469614,3.981841,1.602229,0.383158,0.092532
tanh,Multi-threaded,1,128,300,0,3.194139,5.380325,2.198759,5.958559,2.397605,0.579434,0.140410
tanh,Multi-threaded,1,128,400,0,3.064219,7.159175,2.924970,7.939204,3.193792,0.772854,0.187629
tanh,Multi-threaded,1,128,500,0,2.976643,8.926242,3.643528,9.893959,3.975362,0.966920,0.234252
tanh,Multi-threaded,1,128,600,0,2.905728,10.700186,4.367513,11.859444,4.763572,1.160808,0.279947
tanh,Multi-threaded,1,128,700,0,2.836833,12.466844,5.089866,13.832730,5.552849,1.354687,0.326687
tanh,Multi-threaded,1,128,800,0,2.848294,14.268353,5.829230,15.817812,6.349889,1.550939,0.374972
tanh,Multi-threaded,1,128,900,0,2.752602,16.062281,6.561217,17.807738,7.148957,1.747938,0.422387
tanh,Multi-threaded,1,128,1000,0,2.718603,17.852833,7.294129,19.791366,7.940470,1.945680,0.469842
tanh,Multi-threaded,1,200,0,0,4.476745,0.090275,0.032474,0.044816,0.015148,0.008371,0.001999
tanh,Multi-threaded,1,200,100,0,3.790605,3.039449,1.101265,4.110321,1.427092,0.489409,0.119719
tanh,Multi-threaded,1,200,200,0,3.357927,6.005210,2.182260,8.175721,2.834894,0.982595,0.239343
tanh,Multi-threaded,1,200,300,0,3.161942,8.968791,3.259548,12.235417,4.242349,1.457208,0.354348
tanh,Multi-threaded,1,200,400,0,3.033153,11.926177,4.332820,16.295902,5.651657,1.929115,0.468544
tanh,Multi-threaded,1,200,500,0,2.949577,14.882863,5.407011,20.339389,7.050782,2.414601,0.587040
tanh,Multi-threaded,1,200,600,0,2.879578,17.822785,6.469786,24.371388,8.449403,2.889384,0.702741
tanh,Multi-threaded,1,200,700,0,2.806013,20.765461,7.540364,28.372583,9.835395,3.366778,0.818092
tanh,Multi-threaded,1,200,800,0,2.813423,23.689732,8.599589,32.380895,11.225119,3.848190,0.934103
tanh,Multi-threaded,1,200,900,0,2.718116,26.638465,9.664098,36.387022,12.608737,4.330950,1.051688
tanh,Multi-threaded,1,200,1000,0,2.687483,29.591282,10.736915,40.391373,13.991073,4.807677,1.167951
tanh,Multi-threaded,1,256,0,0,4.450431,0.127104,0.042920,0.109836,0.033417,0.013030,0.003189
tanh,Multi-threaded,1,256,100,0,3.735724,4.280512,1.457580,9.037769,2.811339,0.882822,0.213131
tanh,Multi-threaded,1,256,200,0,3.323709,8.467152,2.884897,18.114470,5.630296,1.755959,0.423214
tanh,Multi-threaded,1,256,300,0,3.120146,12.644662,4.305726,27.106612,8.413993,2.633514,0.634931
tanh,Multi-threaded,1,256,400,0,2.975303,16.844780,5.745587,36.200402,11.232536,3.505035,0.844950
tanh,Multi-threaded,1,256,500,0,2.881738,21.043287,7.180532,45.151562,14.008231,4.378397,1.056267
tanh,Multi-threaded,1,256,600,0,2.806310,25.236314,8.614214,54.323299,16.855623,5.251808,1.267635
tanh,Multi-threaded,1,256,700,0,2.734907,29.437148,10.055546,63.362687,19.659607,6.131501,1.479741
tanh,Multi-threaded,1,256,800,0,2.741869,33.639367,11.494539,72.461193,22.485488,7.010141,1.691846
tanh,Multi-threaded,1,256,900,0,2.646856,37.818136,12.921073,81.366140,25.243301,7.882262,1.903035
tanh,Multi-threaded,1,256,1000,0,2.616633,41.975720,14.338732,90.336273,28.018395,8.753066,2.112774
tanh,Multi-threaded,2,16,0,0,4.552503,0.033614,0.021252,0.011529,0.007555,0.000653,0.000261
tanh,Multi-threaded,2,16,100,0,4.396049,1.118002,0.746226,1.086048,0.741390,0.060272,0.020503
