func,type,layers,neurons,iteration,epoc,loss,forward_cpu,forward_time,back_cpu,back_time,adam_cpu,adam_time
tanh,Single-threaded,1,16,0,0,4.443147,0.001987,0.002030,0.000477,0.000499,0.000029,0.000029
tanh,Single-threaded,1,16,100,0,4.412711,0.067700,0.069337,0.048488,0.050343,0.002971,0.002996
tanh,Single-threaded,1,16,200,0,4.301892,0.132334,0.135466,0.095232,0.098959,0.005804,0.005851
tanh,Single-threaded,1,16,300,0,3.966075,0.198748,0.203479,0.143011,0.148723,0.008673,0.008739
tanh,Single-threaded,1,16,400,0,3.651037,0.265242,0.271603,0.190716,0.198237,0.011573,0.011658
tanh,Single-threaded,1,16,500,0,3.430664,0.331655,0.339549,0.237983,0.247333,0.014414,0.014520
tanh,Single-threaded,1,16,600,0,3.290691,0.397909,0.407281,0.285367,0.296513,0.017224,0.017344
tanh,Single-threaded,1,16,700,0,3.194137,0.463434,0.474240,0.332625,0.345582,0.020080,0.020218
tanh,Single-threaded,1,16,800,0,3.180215,0.529005,0.541292,0.379963,0.394667,0.022916,0.023075
tanh,Single-threaded,1,16,900,0,3.093798,0.603688,0.617645,0.436204,0.452989,0.027073,0.027268
tanh,Single-threaded,1,16,1000,0,3.074984,0.675825,0.691537,0.487511,0.506358,0.030278,0.030496
tanh,Single-threaded,1,32,0,0,4.470299,0.004490,0.004556,0.001167,0.001189,0.000094,0.000094
tanh,Single-threaded,1,32,100,0,4.342472,0.151429,0.153135,0.114221,0.116235,0.008092,0.008122
tanh,Single-threaded,1,32,200,0,3.786382,0.302970,0.306414,0.230480,0.234569,0.016788,0.016851
tanh,Single-threaded,1,32,300,0,3.441663,0.456964,0.462111,0.351026,0.357173,0.025533,0.025629
tanh,Single-threaded,1,32,400,0,3.247317,0.601536,0.608193,0.461795,0.469747,0.032391,0.032510
tanh,Single-threaded,1,32,500,0,3.145547,0.744724,0.752966,0.571579,0.581326,0.039021,0.039166
tanh,Single-threaded,1,32,600,0,3.082539,0.885038,0.894858,0.678713,0.690362,0.045516,0.045690
tanh,Single-threaded,1,32,700,0,3.039948,1.026423,1.037818,0.786419,0.799868,0.052029,0.052226
tanh,Single-threaded,1,32,800,0,3.066923,1.169948,1.182959,0.896163,0.911468,0.058672,0.058893
tanh,Single-threaded,1,32,900,0,2.990939,1.312830,1.327415,1.005151,1.022324,0.065356,0.065604
tanh,Single-threaded,1,32,1000,0,2.968543,1.456072,1.472200,1.114957,1.133971,0.072104,0.072380
tanh,Single-threaded,1,64,0,0,4.457924,0.010595,0.010650,0.003598,0.003618,0.000262,0.000262
tanh,Single-threaded,1,64,100,0,4.143598,0.369805,0.371471,0.336346,0.338550,0.019963,0.019995
tanh,Single-threaded,1,64,200,0,3.575336,0.728629,0.731982,0.664836,0.669189,0.038601,0.038666
tanh,Single-threaded,1,64,300,0,3.295890,1.090773,1.095873,0.996109,1.002491,0.057322,0.057423
tanh,Single-threaded,1,64,400,0,3.153219,1.451350,1.458070,1.328953,1.337472,0.077563,0.077701
tanh,Single-threaded,1,64,500,0,3.072759,1.809605,1.817923,1.659472,1.670087,0.096240,0.096415
tanh,Single-threaded,1,64,600,0,3.021373,2.167547,2.177446,1.984134,1.996719,0.114507,0.114711
tanh,Single-threaded,1,64,700,0,2.969263,2.525952,2.537436,2.310343,2.325048,0.132342,0.132577
tanh,Single-threaded,1,64,800,0,2.990296,2.888388,2.901468,2.641189,2.657990,0.150775,0.151047
tanh,Single-threaded,1,64,900,0,2.901873,3.248725,3.263494,2.972792,2.991580,0.169108,0.169417
tanh,Single-threaded,1,64,1000,0,2.871996,3.611033,3.627441,3.302522,3.323264,0.188260,0.188594
tanh,Single-threaded,1,100,0,0,4.445469,0.021225,0.021299,0.010155,0.010205,0.000627,0.000627
tanh,Single-threaded,1,100,100,0,3.889130,0.725892,0.727704,0.749243,0.752734,0.040674,0.040718
tanh,Single-threaded,1,100,200,0,3.426784,1.479584,1.483551,1.555633,1.562744,0.098375,0.098482
tanh,Single-threaded,1,100,300,0,3.222386,2.240964,2.247020,2.365296,2.376312,0.157626,0.157807
tanh,Single-threaded,1,100,400,0,3.100166,2.997019,3.005179,3.167869,3.182482,0.215899,0.216124
tanh,Single-threaded,1,100,500,0,3.020798,3.752990,3.763318,3.972679,3.990997,0.271673,0.271955
