func,type,layers,neurons,iteration,epoc,loss,forward_cpu,forward_time,back_cpu,back_time,adam_cpu,adam_time
tanh,Single-threaded,1,16,0,0,4.480536,0.002178,0.002270,0.000522,0.000547,0.000026,0.000026
tanh,Single-threaded,1,16,100,0,4.417303,0.075918,0.079046,0.053324,0.056395,0.002482,0.002522
tanh,Single-threaded,1,16,200,0,4.168592,0.147673,0.153819,0.105933,0.112032,0.004933,0.005010
tanh,Single-threaded,1,16,300,0,3.754272,0.218417,0.227526,0.158701,0.167894,0.007401,0.007508
tanh,Single-threaded,1,16,400,0,3.469199,0.289221,0.301452,0.211745,0.224029,0.009929,0.010065
tanh,Single-threaded,1,16,500,0,3.309503,0.360913,0.376275,0.264845,0.280165,0.012689,0.012875
tanh,Single-threaded,1,16,600,0,3.206015,0.431625,0.450115,0.317708,0.336096,0.015174,0.015393
tanh,Single-threaded,1,16,700,0,3.142061,0.501200,0.522576,0.369902,0.391257,0.017596,0.017848
tanh,Single-threaded,1,16,800,0,3.153626,0.571814,0.596293,0.422674,0.447000,0.020150,0.020440
tanh,Single-threaded,1,16,900,0,3.078613,0.641511,0.668984,0.474792,0.502019,0.022528,0.022853
tanh,Single-threaded,1,16,1000,0,3.063595,0.711242,0.741645,0.527086,0.557310,0.024902,0.025258
tanh,Single-threaded,1,32,0,0,4.467164,0.004922,0.005016,0.001205,0.001239,0.000056,0.000057
tanh,Single-threaded,1,32,100,0,4.317729,0.168981,0.171888,0.122225,0.125204,0.005513,0.005536
tanh,Single-threaded,1,32,200,0,3.823682,0.330433,0.336259,0.243708,0.249597,0.010973,0.011038
tanh,Single-threaded,1,32,300,0,3.474082,0.490986,0.499811,0.364434,0.373374,0.016431,0.016518
tanh,Single-threaded,1,32,400,0,3.265911,0.651296,0.663122,0.485263,0.497260,0.021861,0.021996
tanh,Single-threaded,1,32,500,0,3.149662,0.811706,0.826497,0.606306,0.621344,0.027385,0.027557
tanh,Single-threaded,1,32,600,0,3.077017,0.971503,0.989331,0.726887,0.744951,0.032842,0.033052
tanh,Single-threaded,1,32,700,0,3.026114,1.131288,1.152114,0.847393,0.868381,0.038277,0.038517
tanh,Single-threaded,1,32,800,0,3.053757,1.291254,1.315037,0.968431,0.992384,0.043719,0.043994
tanh,Single-threaded,1,32,900,0,2.974105,1.451182,1.477799,1.089423,1.116287,0.049148,0.049462
tanh,Single-threaded,1,32,1000,0,2.955470,1.611907,1.641496,1.210961,1.240791,0.054613,0.054972
tanh,Single-threaded,1,64,0,0,4.398392,0.012803,0.012904,0.003387,0.003418,0.000148,0.000148
tanh,Single-threaded,1,64,100,0,4.040370,0.443259,0.446765,0.342776,0.346158,0.013410,0.013448
tanh,Single-threaded,1,64,200,0,3.521826,0.868292,0.875174,0.681521,0.688330,0.026681,0.026761
tanh,Single-threaded,1,64,300,0,3.274542,1.293599,1.303701,1.020218,1.030304,0.039937,0.040060
tanh,Single-threaded,1,64,400,0,3.141728,1.718923,1.732488,1.359138,1.372509,0.053281,0.053453
tanh,Single-threaded,1,64,500,0,3.063899,2.145606,2.162301,1.699130,1.715704,0.066574,0.066787
tanh,Single-threaded,1,64,600,0,3.007113,2.570830,2.590601,2.037520,2.057263,0.079884,0.080140
tanh,Single-threaded,1,64,700,0,2.952994,2.996092,3.018809,2.376024,2.398836,0.093141,0.093429
tanh,Single-threaded,1,64,800,0,2.965661,3.445851,3.482687,2.734928,2.769193,0.107805,0.108462
tanh,Single-threaded,1,64,900,0,2.877860,3.941088,4.022317,3.130865,3.200687,0.124411,0.126429
tanh,Single-threaded,1,64,1000,0,2.852288,4.436625,4.563579,3.527616,3.634702,0.140819,0.144234
tanh,Single-threaded,1,100,0,0,4.460120,0.029487,0.031932,0.008595,0.009362,0.000318,0.000345
tanh,Single-threaded,1,100,100,0,3.924485,1.020523,1.101889,0.859812,0.929464,0.032345,0.034616
tanh,Single-threaded,1,100,200,0,3.436884,2.009555,2.174693,1.715052,1.857850,0.064565,0.069426
tanh,Single-threaded,1,100,300,0,3.234850,2.979389,3.210445,2.550699,2.750417,0.095421,0.102270
tanh,Single-threaded,1,100,400,0,3.118740,3.943855,4.220159,3.382873,3.621287,0.126356,0.134511
tanh,Single-threaded,1,100,500,0,3.049151,4.906293,5.226981,4.213578,4.489853,0.157487,0.167066
tanh,Single-threaded,1,100,600,0,2.989831,5.870452,6.235668,5.045908,5.361284,0.188209,0.199097
tanh,Single-threaded,1,100,700,0,2.933212,6.835036,7.245334,5.876284,6.229281,0.219210,0.231292
tanh,Single-threaded,1,100,800,0,2.942316,7.800824,8.256638,6.707453,7.098632,0.249976,0.263359
tanh,Single-threaded,1,100,900,0,2.847610,8.728415,9.199970,7.505505,7.909999,0.282385,0.296275
tanh,Single-threaded,1,100,1000,0,2.810112,9.658625,10.143197,8.311460,8.728035,0.316706,0.330938
tanh,Single-threaded,1,128,0,0,4.454214,0.042290,0.043234,0.012980,0.013158,0.000423,0.000427
tanh,Single-threaded,1,128,100,0,3.871717,1.443945,1.462679,1.294776,1.310949,0.047071,0.047673
tanh,Single-threaded,1,128,200,0,3.400566,2.836846,2.871748,2.582729,2.615506,0.093389,0.094475
