func,type,layers,neurons,iteration,epoc,loss,forward_cpu,forward_time,back_cpu,back_time,adam_cpu,adam_time
tanh,Single-threaded,1,16,0,0,4.452622,0.001962,0.002014,0.000566,0.000583,0.000032,0.000032
tanh,Single-threaded,1,16,100,0,4.419977,0.068931,0.070741,0.058819,0.060762,0.003176,0.003196
tanh,Single-threaded,1,16,200,0,4.313475,0.135717,0.139370,0.116684,0.120657,0.006290,0.006330
tanh,Single-threaded,1,16,300,0,3.966292,0.204198,0.209613,0.175348,0.181343,0.009427,0.009480
tanh,Single-threaded,1,16,400,0,3.596360,0.271952,0.279157,0.233559,0.241551,0.012580,0.012646
tanh,Single-threaded,1,16,500,0,3.350439,0.339809,0.348730,0.291978,0.302055,0.015691,0.015778
tanh,Single-threaded,1,16,600,0,3.208463,0.408290,0.418993,0.350755,0.362848,0.018849,0.018955
tanh,Single-threaded,1,16,700,0,3.132411,0.475424,0.487927,0.408546,0.422734,0.022017,0.022145
tanh,Single-threaded,1,16,800,0,3.146482,0.542164,0.556465,0.466436,0.482581,0.025176,0.025325
tanh,Single-threaded,1,16,900,0,3.072590,0.608666,0.624762,0.524042,0.542201,0.028269,0.028443
tanh,Single-threaded,1,16,1000,0,3.059484,0.675417,0.693241,0.581970,0.602131,0.031343,0.031535
tanh,Single-threaded,1,32,0,0,4.430126,0.004351,0.004402,0.001430,0.001476,0.000103,0.000103
tanh,Single-threaded,1,32,100,0,4.301750,0.151310,0.153069,0.146776,0.149343,0.007582,0.007608
tanh,Single-threaded,1,32,200,0,3.811400,0.300053,0.303451,0.291284,0.296318,0.015155,0.015207
tanh,Single-threaded,1,32,300,0,3.455664,0.449649,0.454758,0.436185,0.443660,0.022699,0.022784
tanh,Single-threaded,1,32,400,0,3.250317,0.598216,0.604991,0.580955,0.590939,0.030340,0.030463
tanh,Single-threaded,1,32,500,0,3.138652,0.747691,0.756205,0.725492,0.738052,0.037781,0.037939
tanh,Single-threaded,1,32,600,0,3.069288,0.896478,0.906751,0.870833,0.885759,0.045262,0.045452
tanh,Single-threaded,1,32,700,0,3.016014,1.046060,1.058048,1.016842,1.034229,0.052653,0.052871
tanh,Single-threaded,1,32,800,0,3.036257,1.195571,1.209272,1.162200,1.182034,0.060091,0.060344
tanh,Single-threaded,1,32,900,0,2.954443,1.344426,1.359728,1.307519,1.329804,0.067481,0.067755
tanh,Single-threaded,1,32,1000,0,2.935985,1.494051,1.511047,1.453992,1.478673,0.075080,0.075391
tanh,Single-threaded,1,64,0,0,4.437203,0.011022,0.011083,0.003943,0.003970,0.000263,0.000263
tanh,Single-threaded,1,64,100,0,4.045475,0.383698,0.385855,0.399446,0.402423,0.019401,0.019432
tanh,Single-threaded,1,64,200,0,3.500646,0.758162,0.762358,0.793731,0.799616,0.038760,0.038858
tanh,Single-threaded,1,64,300,0,3.262530,1.134072,1.140348,1.188692,1.197413,0.057876,0.058011
tanh,Single-threaded,1,64,400,0,3.129002,1.510836,1.519167,1.584212,1.595828,0.076779,0.076945
tanh,Single-threaded,1,64,500,0,3.049891,1.887463,1.897931,1.981781,1.996275,0.095937,0.096139
tanh,Single-threaded,1,64,600,0,2.997677,2.265406,2.277981,2.378918,2.396285,0.115223,0.115450
tanh,Single-threaded,1,64,700,0,2.950190,2.644788,2.659406,2.778001,2.798221,0.134429,0.134692
tanh,Single-threaded,1,64,800,0,2.969935,3.026137,3.042829,3.177747,3.200870,0.153867,0.154162
tanh,Single-threaded,1,64,900,0,2.885585,3.406969,3.425670,3.579335,3.605322,0.172981,0.173319
tanh,Single-threaded,1,64,1000,0,2.860752,3.789154,3.809910,3.980104,4.009004,0.192456,0.192821
tanh,Single-threaded,1,100,0,0,4.472997,0.020727,0.020791,0.008043,0.008068,0.000920,0.000920
tanh,Single-threaded,1,100,100,0,3.971009,0.711100,0.713254,0.771189,0.774115,0.037166,0.037196
tanh,Single-threaded,1,100,200,0,3.452418,1.403091,1.407259,1.533727,1.539476,0.073587,0.073651
tanh,Single-threaded,1,100,300,0,3.233862,2.094848,2.101081,2.294481,2.303079,0.110023,0.110123
tanh,Single-threaded,1,100,400,0,3.114467,2.787827,2.796007,3.057057,3.068500,0.146333,0.146472
tanh,Single-threaded,1,100,500,0,3.038724,3.480646,3.490923,3.818501,3.832899,0.182780,0.182947
tanh,Single-threaded,1,100,600,0,2.977019,4.174298,4.186638,4.581757,4.599005,0.219199,0.219394
tanh,Single-threaded,1,100,700,0,2.913547,4.867391,4.881829,5.344973,5.365078,0.255888,0.256107
tanh,Single-threaded,1,100,800,0,2.919362,5.561600,5.578102,6.107792,6.130720,0.292482,0.292737
tanh,Single-threaded,1,100,900,0,2.821090,6.256672,6.275190,6.870459,6.896233,0.329007,0.329296
tanh,Single-threaded,1,100,1000,0,2.787660,6.950168,6.970683,7.632436,7.660976,0.365124,0.365489
