Func,Iteration,Epoc,Loss,FWtime,BWtime
tanf,0,0,4.458907,0.134028,0.037299
tanf,1000,0,2.541224,45.610123,36.939071
tanf,2000,0,2.279781,90.665998,73.371156
tanf,3000,0,2.112410,135.810508,109.925569
tanf,4000,0,1.979917,181.286657,146.777633
tanf,5000,0,1.944317,227.023040,183.770189
tanf,6000,0,1.848230,272.766236,220.777364
tanf,7000,0,1.825017,318.509725,257.786105
tanf,8000,0,1.777973,364.247959,294.795024
tanf,9000,0,1.712019,409.980417,331.805712
tanf,10000,0,1.663669,455.709750,368.809128
tanf,11000,0,1.718086,501.495827,405.915647
tanf,12000,0,1.755065,547.288947,443.046334
tanf,13000,0,1.781754,592.871788,479.999372
tanf,14000,0,1.742703,638.298413,516.838150
tanf,15000,0,1.689228,683.861642,553.765639
tanf,16000,0,1.634389,729.331067,590.608578
tanf,17000,0,1.622498,774.623092,627.311532
tanf,18000,0,1.576342,819.890951,664.009857
tanf,19000,0,1.597010,865.271071,700.791129
tanf,20000,0,1.619927,910.670878,737.546408
tanf,21000,0,1.546650,955.846387,774.165718
tanf,22000,0,1.511432,1001.026322,810.767770
tanf,23000,0,1.803291,1046.177758,847.355672
tanf,24000,0,1.711144,1091.220038,883.817913
tanf,25000,0,1.669684,1136.863427,920.768556
tanf,26000,0,1.660825,1182.688287,957.855669
tanf,27000,0,1.640246,1228.483402,994.908033
tanf,28000,0,1.628753,1274.240688,1031.911462
tanf,29000,0,1.653532,1319.995351,1068.899884
tanf,30000,0,1.552247,1365.748441,1105.897014
tanf,31000,0,1.488695,1411.353075,1142.774884
tanf,32000,0,1.489976,1456.654683,1179.462818
tanf,33000,0,1.430373,1502.059802,1216.247283
tanf,34000,0,1.464116,1547.288454,1252.842960
tanf,35000,0,1.444094,1592.623145,1289.516008
tanf,36000,0,1.463425,1637.711504,1325.990353
tanf,37000,0,1.372265,1683.058396,1362.724011
tanf,38000,0,1.395774,1728.435729,1399.484998
tanf,39000,0,1.365104,1773.646358,1436.096500
tanf,40000,0,1.397642,1819.032288,1472.857951
tanf,41000,1,1.491775,1864.839955,1509.929586
