Func,Iteration,Epoc,Loss,FWtime,BWtime
tanh,0,0,4.668427,0.005123,0.001462
tanh,1000,0,3.126972,1.674780,1.375586
tanh,2000,0,2.949740,3.347111,2.745329
tanh,3000,0,2.874605,5.076844,4.180282
tanh,4000,0,2.722165,6.905667,5.733160
tanh,5000,0,2.626050,8.533826,7.030186
tanh,6000,0,2.551827,10.321177,8.515754
tanh,7000,0,2.529946,12.210780,10.123508
tanh,8000,0,2.483712,13.935084,11.533635
tanh,9000,0,2.463563,15.753788,13.055542
tanh,10000,0,2.434257,17.307335,14.248833
tanh,11000,0,2.426214,18.986564,15.587544
tanh,12000,0,2.422748,20.552627,16.789608
tanh,13000,0,2.462226,22.114633,17.985752
tanh,14000,0,2.406218,23.831860,19.372258
tanh,15000,0,2.407593,25.401339,20.576283
tanh,16000,0,2.370553,27.028682,21.853669
tanh,17000,0,2.370989,28.699222,23.177399
tanh,18000,0,2.311808,30.280695,24.394109
tanh,19000,0,2.295304,31.870496,25.621615
tanh,20000,0,2.321717,33.741291,27.193190
tanh,21000,0,2.311374,35.647591,28.807141
tanh,22000,0,2.279106,37.214607,30.003512
tanh,23000,0,2.380479,38.999274,31.471882
tanh,24000,0,2.336609,40.746142,32.899926
tanh,25000,0,2.299554,42.564504,34.415374
tanh,26000,0,2.288921,44.276389,35.798411
tanh,27000,0,2.256320,45.838973,36.990849
tanh,28000,0,2.276065,47.468629,38.274732
tanh,29000,0,2.272681,49.022804,39.464355
tanh,30000,0,2.203062,50.643951,40.729131
tanh,31000,0,2.196719,52.638326,42.461570
tanh,32000,0,2.177071,54.211473,43.668392
tanh,33000,0,2.143841,55.935795,45.062808
tanh,34000,0,2.162078,57.476925,46.239798
tanh,35000,0,2.162175,59.062891,47.460471
tanh,36000,0,2.167806,60.763560,48.826098
tanh,37000,0,2.128271,62.496703,50.224515
tanh,38000,0,2.109244,64.097420,51.456976
tanh,39000,0,2.082820,65.888676,52.935111
tanh,40000,0,2.117556,67.451861,54.129707
tanh,41000,1,2.142389,69.003839,55.313542
tanh,42000,1,2.128381,70.754345,56.751386
tanh,43000,1,2.153777,72.555537,58.246925
tanh,44000,1,2.122556,74.481405,59.888099
tanh,45000,1,2.148481,76.291358,61.394870
tanh,46000,1,2.168692,77.855780,62.588276
tanh,47000,1,2.100572,79.517185,63.908148
tanh,48000,1,2.089927,81.283459,65.353643
tanh,49000,1,2.135051,82.881592,66.594149
tanh,50000,1,2.117076,84.573096,67.935022
tanh,51000,1,2.112428,86.193083,69.199669
tanh,52000,1,2.081053,87.842116,70.494236
tanh,53000,1,2.173869,89.637674,71.975585
tanh,54000,1,2.154087,91.290831,73.284946
tanh,55000,1,2.127053,92.889588,74.518901
tanh,56000,1,2.126234,94.603803,75.892181
tanh,57000,1,2.107477,96.172572,77.090871
tanh,58000,1,2.115786,98.089016,78.724653
tanh,59000,1,2.097946,99.665103,79.928557
tanh,60000,1,2.092151,101.458301,81.409258
tanh,61000,1,2.086435,103.021489,82.600022
tanh,62000,1,2.088724,104.812790,84.081147
tanh,63000,1,2.189416,106.683357,85.651828
tanh,64000,1,2.184171,108.262610,86.861350
tanh,65000,1,2.121009,109.823559,88.053602
tanh,66000,1,2.119588,111.393958,89.254788
tanh,67000,1,2.155608,113.117709,90.643805
tanh,68000,1,2.098554,114.676111,91.827658
tanh,69000,1,2.152603,116.241368,93.017116
tanh,70000,1,2.129311,118.033518,94.492467
tanh,71000,1,2.022338,119.848820,95.988211
tanh,72000,1,2.014050,121.489811,97.274102
tanh,73000,1,1.987403,123.299942,98.766857
tanh,74000,1,2.033971,125.090902,100.240248
tanh,75000,1,2.009342,126.977667,101.834279
tanh,76000,1,2.002969,128.900894,103.467695
tanh,77000,1,2.026357,130.453050,104.648410
tanh,78000,1,2.014981,132.079817,105.910139
tanh,79000,1,1.957837,134.187010,107.818197
tanh,80000,1,1.979583,135.946818,109.273959
tanh,81000,1,1.982678,137.583707,110.563219
tanh,82000,2,2.069993,139.158236,111.769525
tanh,83000,2,2.017932,140.848967,113.133360
tanh,84000,2,2.029791,142.693255,114.699546
tanh,85000,2,2.058275,145.065662,116.966909
tanh,86000,2,1.955525,146.901507,118.514516
tanh,87000,2,2.026759,148.469921,119.708872
tanh,88000,2,2.107092,150.126691,121.030573
tanh,89000,2,1.998885,151.746756,122.295735
tanh,90000,2,2.005928,153.491231,123.722189
tanh,91000,2,2.011262,155.210535,125.114026
tanh,92000,2,1.977048,156.968604,126.563439
tanh,93000,2,2.013234,158.569648,127.797821
tanh,94000,2,2.035035,160.122328,128.983976
tanh,95000,2,1.979337,162.181754,130.835517
tanh,96000,2,2.027214,163.805380,132.108083
tanh,97000,2,2.055474,165.577085,133.565059
tanh,98000,2,2.025675,167.307500,134.967034
tanh,99000,2,2.004500,169.162200,136.547405
