Func,Iteration,Epoc,Loss,FWtime,BWtime
tanf,0,0,4.587180,0.012232,0.004606
tanf,1000,0,2.929651,4.239907,4.495831
tanf,2000,0,2.701431,8.588438,9.176753
tanf,3000,0,2.593652,12.881931,13.778349
tanf,4000,0,2.474137,17.214287,18.457052
tanf,5000,0,2.434285,21.764981,23.437484
tanf,6000,0,2.375301,26.196629,28.227196
tanf,7000,0,2.357100,30.687386,33.101569
tanf,8000,0,2.306315,34.921766,37.604875
tanf,9000,0,2.280009,39.243472,42.230472
tanf,10000,0,2.233846,43.468353,46.708221
tanf,11000,0,2.232204,47.636830,51.136837
tanf,12000,0,2.245394,51.908367,55.723698
tanf,13000,0,2.275539,56.299789,60.460655
tanf,14000,0,2.235630,60.817246,65.355764
tanf,15000,0,2.226787,65.020311,69.798500
tanf,16000,0,2.194400,69.616271,74.886068
tanf,17000,0,2.172155,73.922669,79.508815
tanf,18000,0,2.122880,78.098769,83.915989
tanf,19000,0,2.113261,82.250951,88.272978
tanf,20000,0,2.141193,86.497001,92.785611
tanf,21000,0,2.105614,90.681486,97.242024
tanf,22000,0,2.061177,95.171456,102.144736
tanf,23000,0,2.238011,99.359356,106.574698
tanf,24000,0,2.181388,103.561182,111.047326
tanf,25000,0,2.134490,108.217963,116.225405
tanf,26000,0,2.125040,112.637266,121.050869
tanf,27000,0,2.090909,116.956918,125.704455
tanf,28000,0,2.106048,121.281454,130.386720
tanf,29000,0,2.108586,125.870460,135.430868
tanf,30000,0,2.026056,130.120960,139.975633
tanf,31000,0,1.993291,134.548964,144.768398
tanf,32000,0,1.968306,138.845207,149.378761
tanf,33000,0,1.929104,143.092541,153.927318
tanf,34000,0,1.952394,148.182355,159.773776
tanf,35000,0,1.929254,152.372540,164.209281
tanf,36000,0,1.945663,156.771688,168.920748
tanf,37000,0,1.885999,161.774638,174.622368
tanf,38000,0,1.870960,166.065938,179.219956
tanf,39000,0,1.843174,170.284269,183.704124
tanf,40000,0,1.880726,174.466731,188.141904
tanf,41000,1,1.946187,178.992162,193.109609
tanf,42000,1,1.921240,183.375098,197.855174
tanf,43000,1,1.946491,188.332096,203.488062
tanf,44000,1,1.897475,192.724297,208.237797
tanf,45000,1,1.932321,197.360220,213.385554
tanf,46000,1,1.926090,201.489533,217.735334
tanf,47000,1,1.878622,206.172892,222.970708
tanf,48000,1,1.845868,211.100924,228.578289
tanf,49000,1,1.903596,215.321130,233.082527
tanf,50000,1,1.857817,220.705234,239.407564
tanf,51000,1,1.869564,224.879459,243.817508
tanf,52000,1,1.817510,229.218154,248.474250
tanf,53000,1,1.968754,233.812101,253.539552
tanf,54000,1,1.921696,238.385527,258.559760
tanf,55000,1,1.898044,242.833803,263.404753
tanf,56000,1,1.896181,247.458473,268.548967
tanf,57000,1,1.859955,252.170123,273.797962
tanf,58000,1,1.885871,256.563343,278.571831
tanf,59000,1,1.817004,260.935139,283.305960
tanf,60000,1,1.838778,265.465737,288.279650
tanf,61000,1,1.828767,270.352690,293.802580
tanf,62000,1,1.836838,274.957247,298.869424
tanf,63000,1,2.001433,279.114880,303.274973
tanf,64000,1,1.995447,283.634237,308.253088
tanf,65000,1,1.900312,287.862802,312.785953
tanf,66000,1,1.891098,292.544267,317.955320
tanf,67000,1,1.945406,297.173333,323.048905
tanf,68000,1,1.867206,301.480084,327.680095
tanf,69000,1,1.933645,305.973578,332.589184
tanf,70000,1,1.892161,310.582538,337.685577
tanf,71000,1,1.768396,315.036167,342.558849
tanf,72000,1,1.753124,319.453403,347.375590
tanf,73000,1,1.737976,323.618814,351.788685
tanf,74000,1,1.773166,328.055449,356.620597
tanf,75000,1,1.736600,332.677769,361.723873
tanf,76000,1,1.712721,337.414388,366.987837
tanf,77000,1,1.771692,341.549908,371.331416
tanf,78000,1,1.764007,346.280778,376.571113
tanf,79000,1,1.683778,350.770855,381.466931
tanf,80000,1,1.717445,355.080970,386.106931
tanf,81000,1,1.704228,359.413969,390.752687
tanf,82000,2,1.833341,363.743488,395.373024
tanf,83000,2,1.756560,368.464846,400.635837
tanf,84000,2,1.771395,372.634210,405.066425
tanf,85000,2,1.796970,377.242932,410.168497
tanf,86000,2,1.700988,381.744561,415.092805
tanf,87000,2,1.745698,386.337121,420.162380
tanf,88000,2,1.864675,390.560629,424.676581
tanf,89000,2,1.732868,395.093691,429.620189
tanf,90000,2,1.730261,399.549748,434.467839
tanf,91000,2,1.721752,404.159697,439.573656
tanf,92000,2,1.676509,408.394591,444.102173
tanf,93000,2,1.728346,412.551110,448.484638
tanf,94000,2,1.769415,417.185959,453.612502
tanf,95000,2,1.691768,421.571186,458.352351
tanf,96000,2,1.728130,425.846313,462.920652
tanf,97000,2,1.787508,430.544444,468.160164
tanf,98000,2,1.726451,434.761366,472.660566
tanf,99000,2,1.731348,439.084543,477.300879
