Func,Iteration,Epoc,Loss,FWtime,BWtime
tanf,0,0,4.431257,0.019821,0.007745
tanf,1000,0,2.621592,7.356687,8.677839
tanf,2000,0,2.475391,14.676363,17.289610
tanf,3000,0,2.388472,21.913644,25.789340
tanf,4000,0,2.268905,29.112833,34.304435
tanf,5000,0,2.233701,36.485052,42.983777
tanf,6000,0,2.152600,43.703549,51.477244
tanf,7000,0,2.137088,50.976318,60.049121
tanf,8000,0,2.092497,58.232986,68.578149
tanf,9000,0,2.047055,65.504403,77.188999
tanf,10000,0,2.011091,72.733824,85.698261
tanf,11000,0,2.023896,80.037622,94.264520
tanf,12000,0,2.040725,87.379093,102.901241
tanf,13000,0,2.078739,94.651993,111.479130
tanf,14000,0,2.028308,101.884979,119.960222
tanf,15000,0,2.026941,109.246361,128.690683
tanf,16000,0,1.964467,116.562314,137.314046
tanf,17000,0,1.941555,123.890970,145.931509
tanf,18000,0,1.908236,131.132448,154.414678
tanf,19000,0,1.905101,138.548152,163.155844
tanf,20000,0,1.923792,145.922100,171.832373
tanf,21000,0,1.878782,153.129904,180.278659
tanf,22000,0,1.838011,160.402119,188.852464
tanf,23000,0,2.045753,167.743380,197.519781
tanf,24000,0,1.980371,175.079655,206.136679
tanf,25000,0,1.943473,182.388025,214.751002
tanf,26000,0,1.941875,189.792654,223.455651
tanf,27000,0,1.900535,197.162754,232.151704
tanf,28000,0,1.911412,204.472381,240.826245
tanf,29000,0,1.908236,211.687619,249.323913
tanf,30000,0,1.850457,219.140487,258.134573
tanf,31000,0,1.802578,226.733884,267.082628
tanf,32000,0,1.776085,234.029168,275.650020
tanf,33000,0,1.742266,241.224077,284.133776
tanf,34000,0,1.769400,248.496511,292.660902
tanf,35000,0,1.744422,255.781910,301.227252
tanf,36000,0,1.759845,263.036079,309.707547
tanf,37000,0,1.679803,270.322169,318.271211
tanf,38000,0,1.688821,277.832956,327.101337
tanf,39000,0,1.654288,285.178838,335.752897
tanf,40000,0,1.695006,292.481078,344.383591
tanf,41000,1,1.751335,299.797599,352.990229
tanf,42000,1,1.733360,307.137183,361.661992
tanf,43000,1,1.755994,314.481419,370.337590
tanf,44000,1,1.699312,321.771945,378.895082
tanf,45000,1,1.759417,329.079458,387.510394
tanf,46000,1,1.737173,336.321858,396.036013
tanf,47000,1,1.694093,343.538437,404.519449
tanf,48000,1,1.647176,350.749851,413.029307
tanf,49000,1,1.731687,357.904245,421.437719
