Func,Iteration,Epoc,Loss,FWtime,BWtime
tanh,0,0,4.606078,1.036099,0.867985
tanh,1000,0,2.281684,361.387651,786.759423
tanh,2000,0,1.995916,711.084374,1562.991354
tanh,3000,0,1.794003,1059.326824,2337.645692
tanh,4000,0,1.699517,1409.004384,3103.799687
tanh,5000,0,1.690859,1761.867521,3874.633994
tanh,6000,0,1.599664,2114.972744,4641.544101
tanh,7000,0,1.621041,2465.221540,5415.849173
tanh,8000,0,1.546739,2815.030728,6185.586934
tanh,9000,0,1.489381,3163.957769,6956.224509
tanh,10000,0,1.454353,3513.937638,7728.195473
tanh,11000,0,1.522277,3859.067819,8497.479772
tanh,12000,0,1.555458,4211.881376,9271.205422
tanh,13000,0,1.558732,4571.583591,10064.820972
tanh,14000,0,1.546711,4923.273390,10836.602097
tanh,15000,0,1.489369,5276.070367,11610.985743
tanh,16000,0,1.438311,5653.136984,12429.978048
tanh,17000,0,1.431347,6047.341838,13301.016539
tanh,18000,0,1.384874,6429.857594,14179.745675
tanh,19000,0,1.423339,6692.758878,14816.905948
tanh,20000,0,1.435497,6902.945467,15358.127415
tanh,21000,0,1.367506,7118.521014,15891.697117
tanh,22000,0,1.353725,7335.299414,16423.992666
tanh,23000,0,1.623840,7553.464440,16970.119869
tanh,24000,0,1.523677,7755.394294,17489.109948
tanh,25000,0,1.492421,7969.270131,18019.497292
tanh,26000,0,1.487293,8172.427731,18529.242389
tanh,27000,0,1.476651,8368.411982,19037.804164
tanh,28000,0,1.460638,8562.052809,19529.470258
tanh,29000,0,1.483591,8753.108321,20020.279292
tanh,30000,0,1.389209,8946.441838,20515.244487
tanh,31000,0,1.339659,9138.817116,21007.014241
tanh,32000,0,1.326745,9330.561846,21499.095342
tanh,33000,0,1.283424,9521.781282,21988.843512
tanh,34000,0,1.310008,9719.335420,22489.671264
tanh,35000,0,1.305357,9930.625174,23010.199582
tanh,36000,0,1.311029,10138.305156,23522.278970
tanh,37000,0,1.221291,10340.223406,24027.883045
tanh,38000,0,1.259932,10532.713767,24519.915906
tanh,39000,0,1.231502,10724.034906,25013.273906
tanh,40000,0,1.254542,10916.621596,25504.371366
tanh,41000,1,1.350829,11106.920195,25998.552049
tanh,42000,1,1.329414,11299.146642,26492.164184
tanh,43000,1,1.356336,11491.408482,26982.678596
tanh,44000,1,1.279221,11682.678397,27474.809677
tanh,45000,1,1.407354,11877.731444,27970.987825
tanh,46000,1,1.319013,12070.242318,28465.062243
tanh,47000,1,1.317019,12259.354065,28954.636048
tanh,48000,1,1.251502,12449.572130,29442.724353
tanh,49000,1,1.327152,12634.699690,29914.569398
